"node","cluster"
"209462_at",1
"214498_at",1
"210324_at",1
"206813_at",1
"211928_at",1
"203564_at",1
"208489_at",1
"200600_at",1
"203814_s_at",1
"207694_at",1
"202388_at",1
"210382_at",1
"204563_at",1
"206213_at",1
"203315_at",1
"208474_at",1
"204144_s_at",1
"205096_at",1
"218227_at",1
"203136_at",1
"202415_s_at",1
"211570_s_at",1
"209830_s_at",1
"218030_at",1
"207930_at",1
"218906_x_at",1
"218260_at",1
"220519_s_at",1
"206737_at",1
"200601_at",2
"208177_at",2
"217530_at",2
"211178_s_at",2
"213245_at",3
"215340_at",3
"215348_at",3
"207136_at",3
"211201_at",3
"216615_s_at",3
"217002_s_at",3
"204280_at",3
"211021_s_at",3
"38290_at",3
"217973_at",3
"205377_s_at",4
"205378_s_at",4
"210332_at",4
"207163_s_at",4
"201841_s_at",4
"209999_x_at",4
"210000_s_at",4
"210001_s_at",4
"213337_s_at",4
"212627_s_at",4
"213648_at",4
"218481_at",4
"204375_at",4
"209800_at",4
"203838_s_at",4
"203839_s_at",4
"216439_at",4
"204400_at",4
"210880_s_at",4
"218376_s_at",4
"217873_at",4
"211560_s_at",5
"202500_at",5
"204174_at",6
"201136_at",6
"1861_at",7
"209364_at",7
"204493_at",7
"211725_s_at",7
"200796_s_at",7
"200797_s_at",7
"200798_x_at",7
"214056_at",7
"214057_at",7
"205897_at",7
"213345_at",7
"219191_s_at",7
"206863_x_at",7
"206864_s_at",7
"206865_at",7
"207613_s_at",8
"213108_at",8
"220138_at",8
"205477_s_at",9
"214425_at",9
"214049_x_at",9
"214551_s_at",9
"204581_at",9
"217422_s_at",9
"220674_at",9
"38521_at",9
"203416_at",9
"206181_at",9
"219519_s_at",9
"44673_at",9
"209881_s_at",9
"211005_at",9
"206200_s_at",10
"214783_s_at",10
"200663_at",10
"215925_s_at",11
"205049_s_at",11
"207113_s_at",11
"204352_at",11
"206219_s_at",11
"207641_at",11
"205627_at",12
"204076_at",12
"204077_x_at",12
"204695_at",13
"204696_s_at",13
"221021_s_at",13
"204039_at",14
"209782_s_at",14
"209783_at",14
"205965_at",14
"208817_at",15
"208818_s_at",15
"213981_at",15
"216204_at",15
"208291_s_at",15
"202224_at",16
"202225_at",16
"202226_s_at",16
"206194_at",16
"204927_at",16
"40359_at",16
"207384_at",16
"202459_s_at",16
"202460_s_at",16
"211320_s_at",16
"206450_at",17
"206793_at",17
"208149_x_at",18
"208159_x_at",18
"210206_s_at",18
"207853_s_at",18
"220414_at",18
"201693_s_at",19
"201694_s_at",19
"202354_s_at",19
"202355_s_at",19
"202356_s_at",19
"217502_at",19
"202621_at",19
"1438_at",20
"204600_at",20
"210333_at",21
"220118_at",21
"200744_s_at",22
"200745_s_at",22
"200746_s_at",22
"206270_at",22
"200678_x_at",23
"211284_s_at",23
"216041_x_at",23
"201415_at",24
"211630_s_at",24
"219808_at",24
"221575_at",24
"59705_at",24
"206834_at",25
"205919_at",25
"217683_at",25
"206647_at",25
"220807_at",25
"202253_s_at",26
"216024_at",26
"208018_s_at",26
"202193_at",26
"210582_s_at",26
"217475_s_at",26
"221539_at",27
"201040_at",27
"215996_at",27
"210234_at",27
"212983_at",27
"206001_at",27
"202336_s_at",27
"212958_x_at",27
"214620_x_at",27
"209201_x_at",27
"211919_s_at",27
"217028_at",27
"220538_at",27
"219907_at",27
"216267_s_at",27
"205482_x_at",27
"207577_at",28
"207578_s_at",28
"216939_s_at",28
"201392_s_at",29
"201393_s_at",29
"200924_s_at",29
"205723_at",30
"205945_at",30
"217489_s_at",30
"201786_s_at",31
"203275_at",31
"208436_s_at",31
"206493_at",32
"206494_s_at",32
"216956_s_at",32
"216966_at",32
"210150_s_at",32
"201551_s_at",33
"201552_at",33
"201553_s_at",33
"213728_at",33
"208916_at",33
"218679_s_at",33
"217800_s_at",33
"220489_s_at",33
"220490_at",33
"219577_s_at",33
"220470_at",33
"204257_at",34
"216080_s_at",34
"202245_at",34
"211018_at",34
"211019_s_at",34
"205932_s_at",35
"206118_at",35
"217742_s_at",35
"219679_s_at",35
"207535_s_at",36
"209636_at",36
"211524_at",36
"211431_s_at",36
"211432_s_at",36
"220909_at",36
"207001_x_at",37
"208763_s_at",37
"214062_x_at",37
"214448_x_at",37
"207211_at",37
"207213_s_at",37
"205863_at",37
"218677_at",37
"212024_x_at",38
"212025_s_at",38
"222065_s_at",38
"200063_s_at",38
"221691_x_at",38
"221923_s_at",38
"212125_at",38
"212127_at",38
"210231_x_at",38
"213048_s_at",38
"212269_s_at",38
"214514_at",38
"215580_at",38
"215581_s_at",38
"215582_x_at",38
"200714_x_at",38
"215399_s_at",38
"204355_at",38
"212674_s_at",38
"205527_s_at",38
"217099_s_at",38
"208103_s_at",38
"221505_at",38
"219085_s_at",38
"204046_at",39
"210388_at",39
"201897_s_at",40
"222015_at",40
"202580_x_at",40
"219769_at",40
"209680_s_at",40
"203660_s_at",40
"202240_at",40
"204267_x_at",40
"212836_at",40
"202476_s_at",40
"202477_s_at",40
"213563_s_at",40
"217976_s_at",40
"214023_x_at",40
"204855_at",40
"202005_at",40
"216905_s_at",40
"216906_at",40
"219257_s_at",40
"218308_at",40
"207168_s_at",40
"214500_at",40
"214501_s_at",40
"204217_s_at",40
"34408_at",40
"207000_s_at",41
"209697_at",41
"213950_s_at",41
"32540_at",41
"32541_at",41
"201276_at",42
"201140_s_at",42
"201156_s_at",42
"217793_at",42
"34478_at",42
"205597_at",42
"205205_at",43
"203828_s_at",43
"200974_at",44
"215787_at",44
"200782_at",44
"203388_at",44
"202024_at",44
"211962_s_at",44
"211965_at",44
"213277_at",44
"213284_at",44
"207372_s_at",44
"208960_s_at",44
"208961_s_at",44
"211610_at",44
"201390_s_at",44
"200094_s_at",44
"204102_s_at",44
"201122_x_at",44
"201123_s_at",44
"213753_x_at",44
"203490_at",44
"31845_at",44
"209477_at",44
"200852_x_at",44
"203307_at",44
"203577_at",44
"208668_x_at",44
"206333_at",44
"212082_s_at",44
"214002_at",44
"200057_s_at",44
"208698_s_at",44
"210470_x_at",44
"208620_at",44
"204031_s_at",44
"213263_s_at",44
"213264_at",44
"213517_at",44
"202108_at",44
"218336_at",44
"200737_at",44
"200738_s_at",44
"217356_s_at",44
"217383_at",44
"202586_at",44
"211730_s_at",44
"202186_x_at",44
"202187_s_at",44
"203396_at",44
"201114_x_at",44
"216088_s_at",44
"202243_s_at",44
"202244_at",44
"201252_at",44
"218044_x_at",44
"218045_x_at",44
"200717_x_at",44
"212042_x_at",44
"200936_at",44
"200010_at",44
"217266_at",44
"221475_s_at",44
"221476_s_at",44
"200022_at",44
"214335_at",44
"222297_x_at",44
"200062_s_at",44
"212044_s_at",44
"200674_s_at",44
"207585_s_at",44
"200092_s_at",44
"201429_s_at",44
"213459_at",44
"214041_x_at",44
"201492_s_at",44
"201033_x_at",44
"208856_x_at",44
