"node","cluster"
"209462_at",1
"214498_at",1
"207809_s_at",1
"210324_at",1
"206813_at",1
"203564_at",1
"208489_at",1
"208018_s_at",1
"200600_at",1
"207282_s_at",1
"203814_s_at",1
"207694_at",1
"206270_at",1
"210382_at",1
"202112_at",1
"206213_at",1
"208474_at",1
"204144_s_at",1
"205096_at",1
"218227_at",1
"203136_at",1
"200645_at",1
"218034_at",1
"211570_s_at",1
"209830_s_at",1
"207930_at",1
"218906_x_at",1
"220519_s_at",1
"206737_at",1
"205377_s_at",2
"205378_s_at",2
"210332_at",2
"203872_at",3
"221355_at",3
"200601_at",4
"206390_x_at",4
"208177_at",4
"217530_at",4
"216438_s_at",4
"203683_s_at",4
"211178_s_at",4
"206769_at",4
"204150_at",4
"38487_at",4
"220208_at",4
"213245_at",5
"215340_at",5
"215348_at",5
"207136_at",5
"211201_at",5
"216615_s_at",5
"217002_s_at",5
"220538_at",5
"204280_at",5
"211021_s_at",5
"38290_at",5
"207163_s_at",6
"204493_at",6
"211725_s_at",6
"202329_at",6
"202253_s_at",6
"216024_at",6
"221539_at",6
"206883_x_at",6
"201841_s_at",6
"205798_at",6
"206493_at",6
"206494_s_at",6
"216956_s_at",6
"216966_at",6
"210150_s_at",6
"205312_at",6
"202400_s_at",6
"202401_s_at",6
"203318_s_at",6
"203319_s_at",6
"209999_x_at",6
"210000_s_at",6
"210001_s_at",6
"213337_s_at",6
"203035_s_at",6
"212627_s_at",6
"213648_at",6
"218481_at",6
"206863_x_at",6
"206864_s_at",6
"206865_at",6
"204375_at",6
"209800_at",6
"206283_s_at",6
"216925_s_at",6
"216928_at",6
"203838_s_at",6
"203839_s_at",6
"216439_at",6
"204400_at",6
"210880_s_at",6
"219907_at",6
"218376_s_at",6
"217873_at",6
"208206_s_at",6
"214367_at",6
"214368_at",6
"214369_s_at",6
"211154_at",6
"211155_s_at",6
"211831_s_at",6
"211560_s_at",7
"202500_at",7
"204174_at",8
"203028_s_at",8
"1861_at",9
"209364_at",9
"200796_s_at",9
"200797_s_at",9
"200798_x_at",9
"214056_at",9
"214057_at",9
"207613_s_at",10
"213108_at",10
"220138_at",10
"218850_s_at",10
"222353_at",10
"214049_x_at",11
"214551_s_at",11
"204581_at",11
"217422_s_at",11
"220674_at",11
"38521_at",11
"203416_at",11
"201763_s_at",11
"216038_x_at",11
"206181_at",11
"219519_s_at",11
"44673_at",11
"206200_s_at",12
"214783_s_at",12
"200663_at",12
"205477_s_at",13
"214425_at",13
"215925_s_at",13
"205049_s_at",13
"204563_at",13
"207113_s_at",13
"204352_at",13
"206219_s_at",13
"210314_x_at",13
"207641_at",13
"209881_s_at",13
"211005_at",13
"205627_at",14
"204076_at",14
"204077_x_at",14
"204695_at",15
"204696_s_at",15
"221021_s_at",15
"204039_at",16
"209782_s_at",16
"209783_at",16
"205965_at",16
"208817_at",17
"208818_s_at",17
"213981_at",17
"216204_at",17
"208291_s_at",17
"202224_at",18
"202225_at",18
"202226_s_at",18
"206194_at",18
"204989_s_at",18
"204990_s_at",18
"211905_s_at",18
"214292_at",18
"220804_s_at",18
"204927_at",18
"40359_at",18
"207384_at",18
"202459_s_at",18
"202460_s_at",18
"204855_at",18
"202005_at",18
"216905_s_at",18
"216906_at",18
"219257_s_at",18
"206450_at",19
"206793_at",19
"208149_x_at",20
"208159_x_at",20
"210206_s_at",20
"201786_s_at",21
"201641_at",21
"201693_s_at",21
"201694_s_at",21
"202354_s_at",21
"202355_s_at",21
"202356_s_at",21
"217502_at",21
"203275_at",21
"202621_at",21
"208436_s_at",21
"220118_at",21
"1438_at",22
"204600_at",22
"200678_x_at",23
"211284_s_at",23
"216041_x_at",23
"201415_at",24
"211630_s_at",24
"219808_at",24
"221575_at",24
"59705_at",24
"206834_at",25
"205919_at",25
"217683_at",25
"206647_at",25
"220807_at",25
"210514_x_at",26
"211528_x_at",26
"211529_x_at",26
"211530_x_at",26
"201040_at",27
"215996_at",27
"210234_at",27
"212983_at",27
"206001_at",27
"202336_s_at",27
"212958_x_at",27
"214620_x_at",27
"209201_x_at",27
"211919_s_at",27
"217028_at",27
"216267_s_at",27
"207577_at",28
"207578_s_at",28
"216939_s_at",28
"217973_at",28
"201392_s_at",29
"201393_s_at",29
"200924_s_at",29
"205723_at",30
"205945_at",30
"217489_s_at",30
"201551_s_at",31
"201552_at",31
"201553_s_at",31
"213728_at",31
"208916_at",31
"217800_s_at",31
"203833_s_at",31
"203834_s_at",31
"212040_at",31
"212043_at",31
"220489_s_at",31
"220490_at",31
"219577_s_at",31
"220470_at",31
"204257_at",32
"216080_s_at",32
"202245_at",32
"211018_at",32
"211019_s_at",32
"201134_x_at",33
"213846_at",33
"217491_x_at",33
"205217_at",33
"210800_at",33
"201135_at",33
"210447_at",33
"215794_x_at",33
"200093_s_at",33
"207721_x_at",33
"208826_x_at",33
"210045_at",33
"210046_s_at",33
"209036_s_at",33
"213333_at",33
"218563_at",33
"202839_s_at",33
"211407_at",33
"208714_at",33
"202388_at",33
"204330_s_at",33
"204331_s_at",33
"210008_s_at",33
"213840_s_at",33
"202004_x_at",33
"210131_x_at",33
"215088_s_at",33
"216591_s_at",33
"200883_at",33
"212600_s_at",33
"202799_at",33
"201708_s_at",33
"201709_s_at",33
"201256_at",33
"203663_s_at",33
"203522_at",33
"209077_at",33
"209078_s_at",33
"201568_at",33
"217720_at",33
"218320_s_at",33
"207889_at",33
"210063_at",33
"210862_s_at",33
"211322_s_at",33
"222216_s_at",33
"201751_at",33
"211752_s_at",33
"218948_at",33
"218949_s_at",33
"205932_s_at",34
"206118_at",34
"217742_s_at",34
"219679_s_at",34
"207535_s_at",35
"209636_at",35
"211524_at",35
"211431_s_at",35
"211432_s_at",35
"209941_at",35
"220909_at",35
"207001_x_at",36
"208763_s_at",36
"214062_x_at",36
"214448_x_at",36
"207211_at",36
"207213_s_at",36
"205863_at",36
"218677_at",36
"200782_at",37
"203388_at",37
"204608_at",37
"202024_at",37
"211962_s_at",37
"211965_at",37
"213277_at",37
"213284_at",37
"207372_s_at",37
"208960_s_at",37
"208961_s_at",37
"211610_at",37
"222015_at",37
"201390_s_at",37
"208674_x_at",37
"208675_s_at",37
"211928_at",37
"200094_s_at",37
"204102_s_at",37
"201122_x_at",37
"201123_s_at",37
"213753_x_at",37
"203490_at",37
"31845_at",37
"209477_at",37
"202012_s_at",37
"202013_s_at",37
"200019_s_at",37
"206492_at",37
"212024_x_at",37
"212025_s_at",37
"222065_s_at",37
"200744_s_at",37
"200745_s_at",37
"200746_s_at",37
"200852_x_at",37
"203307_at",37
"203577_at",37
"201673_s_at",37
"208668_x_at",37
"206333_at",37
"212082_s_at",37
"214002_at",37
"200057_s_at",37
"208698_s_at",37
"210470_x_at",37
"200063_s_at",37
"221691_x_at",37
"221923_s_at",37
"208620_at",37
"204031_s_at",37
"213263_s_at",37
"213264_at",37
