"node","cluster"
"211560_s_at",1
"204174_at",1
"209462_at",1
"214498_at",1
"207809_s_at",1
"206450_at",1
"203564_at",1
"207282_s_at",1
"203814_s_at",1
"207694_at",1
"201011_at",1
"206118_at",1
"206213_at",1
"202546_at",1
"208474_at",1
"204144_s_at",1
"203043_at",1
"205096_at",1
"203740_at",1
"218076_s_at",1
"207772_s_at",1
"211570_s_at",1
"217752_s_at",1
"203872_at",2
"221355_at",2
"200601_at",3
"216438_s_at",3
"207163_s_at",4
"204493_at",4
"211725_s_at",4
"212788_x_at",4
"213187_x_at",4
"207179_at",4
"201841_s_at",4
"212627_s_at",4
"213648_at",4
"218481_at",4
"206863_x_at",4
"206864_s_at",4
"206865_at",4
"211154_at",4
"211155_s_at",4
"211831_s_at",4
"203175_at",5
"212651_at",5
"208009_s_at",5
"221789_x_at",5
"222131_x_at",5
"65770_at",5
"207136_at",6
"204280_at",6
"211021_s_at",6
"38290_at",6
"1861_at",7
"209364_at",7
"200796_s_at",7
"200797_s_at",7
"200798_x_at",7
"214056_at",7
"214057_at",7
"207613_s_at",8
"213108_at",8
"220138_at",8
"204855_at",8
"202005_at",8
"216905_s_at",8
"216906_at",8
"219257_s_at",8
"218223_s_at",8
"218850_s_at",8
"222353_at",8
"214049_x_at",9
"214551_s_at",9
"204581_at",9
"217422_s_at",9
"220674_at",9
"38521_at",9
"203416_at",9
"201763_s_at",9
"216038_x_at",9
"204563_at",9
"206181_at",9
"219519_s_at",9
"44673_at",9
"208130_s_at",9
"209881_s_at",9
"211005_at",9
"206200_s_at",10
"214783_s_at",10
"200677_at",10
"200663_at",10
"209235_at",10
"221961_at",10
"38069_at",10
"201749_at",10
"201750_s_at",10
"210845_s_at",10
"211924_s_at",10
"214866_at",10
"200924_s_at",10
"203833_s_at",10
"203834_s_at",10
"212040_at",10
"212043_at",10
"219053_s_at",10
"204150_at",10
"38487_at",10
"205477_s_at",11
"214425_at",11
"215925_s_at",11
"205049_s_at",11
"204352_at",11
"206219_s_at",11
"207641_at",11
"205627_at",12
"204076_at",12
"204077_x_at",12
"204039_at",13
"209782_s_at",13
"209783_at",13
"205965_at",13
"208817_at",14
"208818_s_at",14
"213981_at",14
"216204_at",14
"208291_s_at",14
"202224_at",15
"202225_at",15
"202226_s_at",15
"202329_at",15
"206813_at",15
"201392_s_at",15
"201393_s_at",15
"201136_at",15
"203667_at",15
"207384_at",15
"211178_s_at",15
"202459_s_at",15
"202460_s_at",15
"204269_at",15
"220208_at",15
"208149_x_at",16
"208159_x_at",16
"210206_s_at",16
"212836_at",16
"205217_at",17
"210800_at",17
"202253_s_at",18
"216024_at",18
"201786_s_at",19
"201641_at",19
"201693_s_at",19
"201694_s_at",19
"202354_s_at",19
"202355_s_at",19
"202356_s_at",19
"217502_at",19
"203275_at",19
"202621_at",19
"208436_s_at",19
"220118_at",19
"213245_at",20
"215340_at",20
"215348_at",20
"211201_at",20
"216615_s_at",20
"217002_s_at",20
"210382_at",20
"220538_at",20
"200744_s_at",21
"200745_s_at",21
"200746_s_at",21
"200852_x_at",21
"200678_x_at",21
"211284_s_at",21
"216041_x_at",21
"203003_at",21
"203004_s_at",21
"205897_at",21
"213345_at",21
"213633_at",21
"219191_s_at",21
"201415_at",22
"211630_s_at",22
"219808_at",22
"221575_at",22
"59705_at",22
"206834_at",23
"205919_at",23
"217683_at",23
"206647_at",23
"220807_at",23
"208018_s_at",24
"202193_at",24
"210582_s_at",24
"217475_s_at",24
"220804_s_at",24
"210514_x_at",25
"211528_x_at",25
"211529_x_at",25
"211530_x_at",25
"212983_at",26
"203838_s_at",26
"203839_s_at",26
"216439_at",26
"216267_s_at",26
"207577_at",27
"207578_s_at",27
"216939_s_at",27
"217973_at",27
"206493_at",28
"206494_s_at",28
"216956_s_at",28
"216966_at",28
"210150_s_at",28
"201551_s_at",29
"201552_at",29
"201553_s_at",29
"213728_at",29
"208916_at",29
"204079_at",29
"217800_s_at",29
"219577_s_at",29
"220470_at",29
"212796_s_at",29
"215640_at",29
"215951_at",29
"203925_at",30
"200600_at",30
"204550_x_at",30
"215333_x_at",30
"208449_s_at",31
"204152_s_at",31
"204153_s_at",31
"213783_at",31
"205932_s_at",31
"208345_s_at",31
"210475_at",31
"206634_at",31
"207535_s_at",32
"209636_at",32
"211524_at",32
"214062_x_at",33
"214448_x_at",33
"205863_at",33
"218677_at",33
"206399_x_at",34
"210770_s_at",34
"214933_at",34
"211928_at",34
"212024_x_at",34
"212025_s_at",34
"222065_s_at",34
"205936_s_at",34
"200063_s_at",34
"221691_x_at",34
"221923_s_at",34
"210231_x_at",34
"213048_s_at",34
"202330_s_at",34
"219085_s_at",34
"217742_s_at",34
"219679_s_at",34
"213384_x_at",35
"208177_at",35
"217530_at",35
"212518_at",35
"202580_x_at",36
"219769_at",36
"209680_s_at",36
"203660_s_at",36
"202240_at",36
"204267_x_at",36
"217976_s_at",36
"218308_at",36
"207168_s_at",36
"214500_at",36
"214501_s_at",36
"204217_s_at",36
"34408_at",36
"207000_s_at",37
"209697_at",37
"213950_s_at",37
"32540_at",37
"32541_at",37
"201276_at",38
"201140_s_at",38
"201156_s_at",38
"202388_at",39
"206793_at",39
"200782_at",40
"203388_at",40
"204608_at",40
"202024_at",40
"211962_s_at",40
"211965_at",40
"213277_at",40
"213284_at",40
"201897_s_at",40
"208960_s_at",40
"208961_s_at",40
"211610_at",40
"222015_at",40
"201390_s_at",40
"208674_x_at",40
"208675_s_at",40
"200094_s_at",40
"204102_s_at",40
"201122_x_at",40
"201123_s_at",40
"213753_x_at",40
"206338_at",40
"203490_at",40
"31845_at",40
"209477_at",40
"202012_s_at",40
"202013_s_at",40
"200019_s_at",40
"206492_at",40
"210447_at",40
"215794_x_at",40
"201040_at",40
"215996_at",40
"203307_at",40
"203577_at",40
"201673_s_at",40
"208668_x_at",40
"206333_at",40
"212082_s_at",40
"214002_at",40
"200057_s_at",40
"208698_s_at",40
"210470_x_at",40
"208620_at",40
"204031_s_at",40
"213263_s_at",40
"213264_at",40
"213517_at",40
"202108_at",40
"201507_at",40
"218336_at",40
"200737_at",40
"200738_s_at",40
"217356_s_at",40
"217383_at",40
"202586_at",40
"211730_s_at",40
"200967_at",40
"200968_s_at",40
"202186_x_at",40
"202187_s_at",40
"203396_at",40
"201114_x_at",40
"216088_s_at",40
"202243_s_at",40
"202244_at",40
"201252_at",40
"212125_at",40
"212127_at",40
"200717_x_at",40
"212042_x_at",40
"200936_at",40
"200010_at",40
"217266_at",40
"221475_s_at",40
"221476_s_at",40
"200022_at",40
"214335_at",40
"222297_x_at",40
"200062_s_at",40
"212044_s_at",40
"200674_s_at",40
"207585_s_at",40
"200092_s_at",40
"201429_s_at",40
"213459_at",40
"214041_x_at",40
"201492_s_at",40
"201033_x_at",40
"208856_x_at",40
"211720_x_at",40
"211972_x_at",40
"214167_s_at",40
"200908_s_at",40
"217670_at",40
"204330_s_at",40
"204331_s_at",40
"210008_s_at",40
"213840_s_at",40
"221798_x_at",40
"214317_x_at",40
"217747_s_at",40
"200834_s_at",40
"214097_at",40
"200926_at",40
"201890_at",40
"209773_s_at",40
"201851_at",40
"205480_s_at",40
"202667_s_at",40
"208984_x_at",40
"215089_s_at",40
"217221_x_at",40
"215071_s_at",40
"208854_s_at",40
"208855_s_at",40
"215188_at",40
"204371_s_at",40
"204372_s_at",40
"212303_x_at",40
"201935_s_at",40
"201936_s_at",40
"200074_s_at",40
"213588_x_at",40
"219138_at",40
"217793_at",40
"34478_at",40
"201527_at",40
"216250_s_at",40
"218612_s_at",40
"217817_at",40
"217818_s_at",40
"218227_at",40
"217786_at",40
"201541_s_at",40
"219098_at",40
"201173_x_at",40
"210574_s_at",40
"210575_at",40
"202476_s_at",40
"202477_s_at",40
"213563_s_at",40
"200714_x_at",40
"215399_s_at",40
"200002_at",40
"202290_at",40
"217624_at",40
"204355_at",40
"212674_s_at",40
"215497_s_at",40
"216036_x_at",40
"40829_at",40
"212219_at",40
"212220_at",40
"212222_at",40
"213088_s_at",40
"213092_x_at",40
"214940_s_at",40
"220347_at",40
"209252_at",40
"212101_at",40
"212102_s_at",40
"212103_at",40
"205541_s_at",40
"209077_at",40
"209078_s_at",40
"212059_s_at",40
"218188_s_at",40
"210114_at",40
"211054_at",40
"211055_s_at",40
"204408_at",40
"201638_s_at",40
"205527_s_at",40
"217099_s_at",40
"218679_s_at",40
"219590_x_at",40
"222360_at",40
"204559_s_at",40
"202093_s_at",40
"221219_s_at",40
"217980_s_at",40
"221021_s_at",40
"218110_at",40
"212994_at",40
"222122_s_at",40
"209449_at",40
"218788_s_at",40
"218463_s_at",40
"218103_at",40
"209026_x_at",40
"211714_x_at",40
"212320_at",40
"214023_x_at",40
"222240_s_at",40
"222216_s_at",40
"208103_s_at",40
"221505_at",40
"202758_s_at",40
"205597_at",40
"208158_s_at",40
"209485_s_at",40
"218260_at",40
"205663_at",40
"207359_at",40
"210787_s_at",40
"212252_at",40
"213812_s_at",40
"218011_at",40
"218813_s_at",40
"200747_s_at",40
"214250_at",40
"214251_s_at",40
"202968_s_at",40
"202969_at",40
"202970_at",40
"202971_s_at",40
"211412_at",40
"211413_s_at",40
"220001_at",40
"205561_at",40
"221997_s_at",40
"218777_at",40
"218948_at",40
"218949_s_at",40
"203737_s_at",40
"218921_at",40
"52940_at",40
"207769_s_at",40
"210499_s_at",40
"214527_s_at",40
"217992_s_at",40
"200644_at",40
"202917_s_at",41
"214370_at",41
"200974_at",42
"215787_at",42
"207001_x_at",42
"208763_s_at",42
"207954_at",42
"209710_at",42
"210358_x_at",42
"208502_s_at",42
"209587_at",42
"214732_at",42
"202400_s_at",42
"202401_s_at",42
"1316_at",42
"204100_at",42
"214883_at",42
"35846_at",42
"203318_s_at",42
"203319_s_at",42
"215506_s_at",42
"200665_s_at",43
"212667_at",43
"205723_at",44
"205945_at",44
"217489_s_at",44
"207844_at",44
"212777_at",44
"212780_at",44
"205312_at",44
"208991_at",44
"208992_s_at",44
"203010_at",44
"209999_x_at",44
"210000_s_at",44
"210001_s_at",44
"213337_s_at",44
"206096_at",44
"206283_s_at",44
"216925_s_at",44
"216928_at",44
"221576_at",44
"221577_x_at",44
"204292_x_at",45
"41657_at",45
"202928_s_at",46
"40446_at",46
"205688_at",46
"218678_at",46
"209479_at",46
"213283_s_at",47
"207627_s_at",47
"209338_at",47
"209742_s_at",48
"205589_at",48
"205177_at",48
"206393_at",48
"215389_s_at",48
"205693_at",48
"204083_s_at",48
"212654_at",48
"206769_at",48
"205766_at",48
"215624_at",49
"215735_s_at",49
"206453_s_at",49
"214278_s_at",49
"214279_s_at",49
"206390_x_at",50
"203683_s_at",50
"202112_at",50
"204910_s_at",50
"204911_s_at",50
"213884_s_at",50
"213885_at",50
"210234_at",51
"206001_at",51
"209201_x_at",51
"211919_s_at",51
"217028_at",51
"209381_x_at",52
"37462_i_at",52
"203849_s_at",53
"203850_s_at",53
"203315_at",53
"209800_at",53
"204400_at",53
"210880_s_at",53
"219907_at",53
"202676_x_at",53
"210975_x_at",53
"214114_x_at",53
"218376_s_at",53
"201708_s_at",54
"201709_s_at",54
"1438_at",55
"204600_at",55
"213368_x_at",55
"215280_s_at",55
"217862_at",56
"217863_at",56
"217864_s_at",56
"209941_at",57
"210314_x_at",57
"218338_at",58
"210333_at",58
"202473_x_at",58
"202474_s_at",58
"200093_s_at",58
"207721_x_at",58
"208826_x_at",58
"210341_at",58
"215822_x_at",58
"204898_at",58
"204899_s_at",58
"204900_x_at",58
"213963_s_at",58
"216326_s_at",58
"203937_s_at",58
"203938_s_at",58
"208445_s_at",58
"211313_s_at",58
"213336_at",58
"202247_s_at",58
"211783_s_at",58
"203444_s_at",58
"209352_s_at",58
"39705_at",58
"200083_at",58
"216957_at",58
"216964_at",58
"220861_at",58
"208784_s_at",58
"214383_x_at",58
"206737_at",58
"201471_s_at",59
"213112_s_at",59
"203035_s_at",59
"207155_at",60
"211886_s_at",60
"207644_at",60
"202415_s_at",60
"201134_x_at",61
"213846_at",61
"217491_x_at",61
"201135_at",61
"210045_at",61
"210046_s_at",61
"209036_s_at",61
"213333_at",61
"218563_at",61
"202839_s_at",61
"211407_at",61
"208714_at",61
"202004_x_at",61
"210131_x_at",61
"215088_s_at",61
"216591_s_at",61
"200883_at",61
"212600_s_at",61
"202799_at",61
"203663_s_at",61
"203522_at",61
"220690_s_at",61
"201568_at",61
"217720_at",61
"218320_s_at",61
"201751_at",61
"211752_s_at",61
"207407_x_at",62
"211231_x_at",62
"202218_s_at",62
"211963_s_at",63
"201954_at",63
"202336_s_at",64
"212958_x_at",64
"214620_x_at",64
"207113_s_at",64
"211431_s_at",64
"211432_s_at",64
"203136_at",64
"218906_x_at",64
"202500_at",65
"205129_at",65
"200645_at",65
"207372_s_at",66
"204695_at",66
"204696_s_at",66
"201380_at",66
"218555_at",66
"209497_s_at",66
"206031_s_at",66
"207853_s_at",66
"220414_at",66
"218550_s_at",66
"203028_s_at",67
"217478_s_at",67
"204954_s_at",67
"217270_s_at",67
"217716_s_at",67
"210890_x_at",67
"202245_at",68
"211018_at",68
"211019_s_at",68
"218034_at",68
"207889_at",68
"210063_at",68
"210862_s_at",68
"211322_s_at",68
"221345_at",69
"204046_at",69
"210388_at",69
