"node","cluster"
"205688_at",1
"218952_at",1
"208723_at",1
"204638_at",1
"217395_at",1
"202329_at",1
"205713_s_at",1
"214024_s_at",1
"218338_at",1
"203577_at",1
"219577_s_at",1
"202758_s_at",1
"203258_at",1
"206629_at",1
"202024_at",1
"201135_at",1
"217728_at",1
"218632_at",1
"207694_at",1
"208018_s_at",1
"218679_s_at",1
"200924_s_at",1
"208457_at",1
"204855_at",1
"220427_at",1
"206522_at",1
"205932_s_at",1
"206773_at",1
"218336_at",1
"221355_at",1
"211178_s_at",1
"205674_x_at",1
"207644_at",1
"218550_s_at",1
"219708_at",1
"201527_at",1
"204989_s_at",2
"204990_s_at",2
"211905_s_at",2
"214292_at",2
"209077_at",3
"209078_s_at",3
"1316_at",3
"204100_at",3
"214883_at",3
"35846_at",3
"208668_x_at",3
"205829_at",3
"201415_at",4
"211630_s_at",4
"208817_at",4
"208818_s_at",4
"213981_at",4
"216204_at",4
"207769_s_at",5
"210499_s_at",5
"214527_s_at",5
"202093_s_at",5
"209381_x_at",5
"37462_i_at",5
"212994_at",5
"222122_s_at",5
"204559_s_at",5
"202459_s_at",5
"202460_s_at",5
"212836_at",5
"208620_at",5
"201638_s_at",5
"218110_at",5
"204031_s_at",5
"213263_s_at",5
"213264_at",5
"213517_at",5
"221021_s_at",5
"209449_at",5
"202354_s_at",5
"202355_s_at",5
"202356_s_at",5
"201935_s_at",5
"201936_s_at",5
"219194_at",6
"200974_at",6
"215787_at",6
"209742_s_at",6
"206393_at",6
"210114_at",6
"211054_at",6
"211055_s_at",6
"200057_s_at",6
"208698_s_at",6
"210470_x_at",6
"205693_at",6
"206769_at",6
"205589_at",6
"205766_at",6
"205177_at",6
"208124_s_at",6
"210124_x_at",6
"204083_s_at",6
"212654_at",6
"203872_at",6
"215389_s_at",6
"212082_s_at",6
"214002_at",6
"203814_s_at",6
"212796_s_at",6
"215640_at",6
"215951_at",6
"202968_s_at",6
"202969_at",6
"202970_at",6
"202971_s_at",6
