"node","cluster"
"204144_s_at",1
"205688_at",1
"218188_s_at",1
"208723_at",1
"217395_at",1
"210324_at",1
"207282_s_at",1
"206380_s_at",1
"218338_at",1
"218227_at",1
"219577_s_at",1
"208338_at",1
"216267_s_at",1
"203416_at",1
"203258_at",1
"201897_s_at",1
"221539_at",1
"207809_s_at",1
"209477_at",1
"218632_at",1
"210333_at",1
"200924_s_at",1
"208457_at",1
"206031_s_at",1
"206522_at",1
"207930_at",1
"220208_at",1
"221355_at",1
"209830_s_at",1
"205674_x_at",1
"220470_at",1
"221416_at",1
"218679_s_at",1
"207644_at",1
"208916_at",1
"210280_at",1
"203396_at",2
"201252_at",2
"202243_s_at",2
"202244_at",2
"214062_x_at",2
"214448_x_at",2
"201114_x_at",2
"216088_s_at",2
"212219_at",2
"212220_at",2
"212222_at",2
"201364_s_at",2
"201365_at",2
"209077_at",3
"209078_s_at",3
"201415_at",4
"211630_s_at",4
"219808_at",4
"221575_at",4
"59705_at",4
"1316_at",4
"204100_at",4
"214883_at",4
"35846_at",4
"204608_at",4
"205873_at",5
"213889_at",5
"205312_at",6
"207954_at",6
"209710_at",6
"210358_x_at",6
"206453_s_at",6
"214278_s_at",6
"214279_s_at",6
"200665_s_at",7
"212667_at",7
"206995_x_at",7
"207000_s_at",8
"209697_at",8
"213950_s_at",8
"32540_at",8
"32541_at",8
"202330_s_at",9
"220118_at",9
"218463_s_at",9
"202175_at",10
"203452_at",10
"35179_at",10
"208330_at",10
"202012_s_at",10
"202013_s_at",10
"202108_at",11
"209309_at",11
"211560_s_at",11
"206492_at",11
"205164_at",11
"36475_at",11
"220210_at",12
"211570_s_at",12
"200601_at",13
"210150_s_at",13
"206769_at",13
"206390_x_at",13
"203683_s_at",13
"204150_at",13
"38487_at",13
"221576_at",14
"221577_x_at",14
"212994_at",15
"222122_s_at",15
"212315_s_at",15
"212316_at",15
"213945_s_at",15
"213947_s_at",15
"220035_at",15
"205096_at",15
"219085_s_at",15
"200714_x_at",15
"215399_s_at",15
"205527_s_at",15
"217099_s_at",15
"218848_at",15
"212125_at",15
"212127_at",15
"215624_at",16
"215735_s_at",16
"217873_at",16
"201390_s_at",16
"218481_at",17
"217716_s_at",17
"203740_at",17
"200002_at",17
"200936_at",17
"214940_s_at",17
"220347_at",17
"212627_s_at",17
"213648_at",17
"200092_s_at",17
"200062_s_at",17
"222216_s_at",17
"201011_at",17
"200926_at",17
"217980_s_at",17
"214317_x_at",17
"217747_s_at",17
"200094_s_at",17
"204102_s_at",17
"204330_s_at",17
"204331_s_at",17
"210008_s_at",17
"213840_s_at",17
"217266_at",17
"221475_s_at",17
"221476_s_at",17
"200908_s_at",17
"217670_at",17
"203174_s_at",17
"215984_s_at",17
"201122_x_at",17
"201123_s_at",17
"213753_x_at",17
"201033_x_at",17
"208856_x_at",17
"211720_x_at",17
"211972_x_at",17
"214167_s_at",17
"200717_x_at",17
"212042_x_at",17
"205541_s_at",17
"221798_x_at",17
"200074_s_at",17
"213588_x_at",17
"219138_at",17
"200834_s_at",17
"214097_at",17
"212044_s_at",17
"208674_x_at",17
"208675_s_at",17
"200674_s_at",17
"201429_s_at",17
"213459_at",17
"214041_x_at",17
"201492_s_at",17
"218103_at",17
"200022_at",17
"214335_at",17
"222297_x_at",17
"221997_s_at",17
"209941_at",18
"200747_s_at",18
"214250_at",18
"214251_s_at",18
"203577_at",19
"206194_at",19
"202247_s_at",19
"211783_s_at",19
"202186_x_at",20
"202187_s_at",20
"208960_s_at",20
"208961_s_at",20
"211610_at",20
"202459_s_at",21
"202460_s_at",21
"209782_s_at",22
"209783_at",22
"217862_at",22
"217863_at",22
"217864_s_at",22
"208991_at",22
"208992_s_at",22
"206283_s_at",22
"216925_s_at",22
"216928_at",22
"207844_at",22
"206118_at",22
"205945_at",22
"217489_s_at",22
"200010_at",22
"218948_at",22
"218949_s_at",22
"205477_s_at",23
"214425_at",23
"201851_at",23
"206793_at",24
"202336_s_at",24
"212958_x_at",24
"214620_x_at",24
"204550_x_at",24
"215333_x_at",24
"209546_s_at",24
"221087_s_at",24
"208817_at",24
"208818_s_at",24
"213981_at",24
"216204_at",24
"208291_s_at",24
"206450_at",24
"200678_x_at",25
"211284_s_at",25
"216041_x_at",25
"204989_s_at",25
"204990_s_at",25
"211905_s_at",25
"214292_at",25
"211154_at",25
"211155_s_at",25
"211831_s_at",25
"204400_at",25
"210880_s_at",25
"207824_s_at",25
"212064_x_at",25
"202329_at",25
"205713_s_at",25
"220491_at",25
"203315_at",25
"220339_s_at",25
"201693_s_at",25
"201694_s_at",25
"205723_at",25
"201841_s_at",25
"201641_at",25
"201954_at",25
"206863_x_at",25
"206864_s_at",25
"206865_at",25
"219907_at",25
"202112_at",25
"203028_s_at",25
"206493_at",25
"206494_s_at",25
"216956_s_at",25
"216966_at",25
"211431_s_at",25
"211432_s_at",25
"202546_at",25
"206200_s_at",25
"214783_s_at",25
"201763_s_at",25
"216038_x_at",25
"219191_s_at",25
"203388_at",25
"207163_s_at",25
"205725_at",25
"206813_at",25
"218076_s_at",25
"206883_x_at",25
"208574_at",25
"200645_at",25
"209280_at",25
"37408_at",25
"212983_at",25
"202621_at",25
"207359_at",25
"210787_s_at",25
"212252_at",25
"213812_s_at",25
"201040_at",25
"215996_at",25
"208784_s_at",25
"214383_x_at",25
"218555_at",25
"204493_at",25
"211725_s_at",25
"203828_s_at",25
"220765_s_at",25
"208436_s_at",25
"209999_x_at",25
"210000_s_at",25
"210001_s_at",25
"213337_s_at",25
"214022_s_at",25
"217793_at",25
"34478_at",25
"211962_s_at",25
"211965_at",25
"213277_at",25
"213284_at",25
"222240_s_at",25
"200028_s_at",25
"205480_s_at",25
"208206_s_at",25
"214367_at",25
"214368_at",25
"214369_s_at",25
"204910_s_at",25
"204911_s_at",25
"213884_s_at",25
"213885_at",25
"203010_at",25
"206222_at",25
"211163_s_at",25
"217007_s_at",25
"201392_s_at",25
"201393_s_at",25
"211963_s_at",25
"202575_at",25
"201786_s_at",25
"217502_at",25
"203591_s_at",25
"200737_at",25
"200738_s_at",25
"217356_s_at",25
"217383_at",25
"212101_at",25
"212102_s_at",25
"212103_at",25
"201749_at",25
"201750_s_at",25
"208018_s_at",25
"213293_s_at",25
"203275_at",25
"217720_at",25
"209881_s_at",25
"211005_at",25
"217734_s_at",25
"205561_at",25
"212777_at",25
"212780_at",25
"203833_s_at",25
"203834_s_at",25
"212040_at",25
"212043_at",25
"209201_x_at",25
"211919_s_at",25
"217028_at",25
"208130_s_at",25
"208156_x_at",25
"204724_s_at",25
"204371_s_at",25
"204372_s_at",25
"212303_x_at",25
"206219_s_at",25
"217817_at",25
"217818_s_at",25
"213182_x_at",25
"213183_s_at",25
"213348_at",25
"216894_x_at",25
"219533_at",25
"219534_x_at",25
"202081_at",25
"202193_at",25
"210582_s_at",25
"217475_s_at",25
"205897_at",25
"213345_at",25
"204269_at",25
"204954_s_at",25
"217270_s_at",25
"203667_at",25
"209263_x_at",25
"209264_s_at",25
"204717_s_at",25
"215712_s_at",25
"219215_s_at",25
"216250_s_at",25
"203814_s_at",25
"205129_at",25
"211412_at",25
"211413_s_at",25
"220001_at",25
"219590_x_at",25
"222360_at",25
"217865_at",25
"222058_at",25
"203003_at",26
"203004_s_at",26
"200974_at",27
"215787_at",27
"209742_s_at",27
"206393_at",27
"205693_at",27
"205589_at",27
"207745_at",27
"211916_s_at",27
"205766_at",27
"201173_x_at",27
"210574_s_at",27
"210575_at",27
"205177_at",27
"204083_s_at",27
"212654_at",27
"203872_at",27
"215389_s_at",27
"212082_s_at",27
"214002_at",27
"218044_x_at",27
"218045_x_at",27
"220139_at",28
"203444_s_at",28
"204898_at",28
"204899_s_at",28
"204900_x_at",28
"213963_s_at",28
"200093_s_at",28
"207721_x_at",28
"208826_x_at",28
"210341_at",28
"215822_x_at",28
"202928_s_at",28
"40446_at",28
"213061_s_at",29
"213062_at",29
"200063_s_at",29
"221691_x_at",29
"221923_s_at",29
"200967_at",30
"200968_s_at",30
"200083_at",31
"216957_at",31
"216964_at",31
"220861_at",31
"204267_x_at",31
"210114_at",31
"211054_at",31
"211055_s_at",31
"200057_s_at",31
"208698_s_at",31
"210470_x_at",31
"202240_at",31
"204695_at",31
"204696_s_at",31
"218308_at",31
"207372_s_at",31
"219769_at",31
"201935_s_at",31
"201936_s_at",31
"213088_s_at",31
"213092_x_at",31
"218137_s_at",31
"202224_at",32
"202225_at",32
"202226_s_at",32
"205107_s_at",32
"216326_s_at",33
"203937_s_at",33
"203938_s_at",33
"203035_s_at",33
"220566_at",33
"212931_at",33
"215511_at",33
"209352_s_at",33
"39705_at",33
"217742_s_at",33
"219679_s_at",33
"205377_s_at",34
"205378_s_at",34
"210332_at",34
"201541_s_at",35
"207168_s_at",35
"214500_at",35
"214501_s_at",35
"205952_at",36
"218012_at",36
"219529_at",36
"202473_x_at",37
"202474_s_at",37
"207384_at",38
"204722_at",38
"204723_at",38
"219330_at",38
"220331_at",39
"202218_s_at",39
"207407_x_at",39
"211231_x_at",39
"207001_x_at",39
"208763_s_at",39
"206489_s_at",40
"206490_at",40
"210750_s_at",40
"213059_at",40
"213498_at",40
"202839_s_at",41
"211407_at",41
"211752_s_at",41
"201256_at",41
"201134_x_at",41
"213846_at",41
"217491_x_at",41
"200883_at",41
"212600_s_at",41
"218320_s_at",41
"203663_s_at",41
"208714_at",41
"218011_at",41
"202004_x_at",41
"210131_x_at",41
"215088_s_at",41
"216591_s_at",41
"201568_at",41
"218563_at",41
"217983_s_at",41
"217984_at",41
"205936_s_at",42
"201673_s_at",42
"207694_at",42
"217786_at",43
"210231_x_at",43
"213048_s_at",43
"215071_s_at",44
"207627_s_at",44
"209338_at",44
"207933_at",45
"213707_s_at",45
"206634_at",45
"204099_at",45
"206270_at",45
"206213_at",45
"219922_s_at",45
"210560_at",45
"207155_at",45
"211886_s_at",45
"208449_s_at",45
"219483_s_at",45
"205254_x_at",45
"205255_x_at",45
"202580_x_at",45
"204152_s_at",45
"204153_s_at",45
"213783_at",45
"205932_s_at",45
"121_at",45
"207921_x_at",45
"207923_x_at",45
"207924_x_at",45
"209552_at",45
"213917_at",45
"214528_s_at",45
"221990_at",45
"207662_at",45
"211273_s_at",45
"211274_at",45
"201527_at",45
"219194_at",46
"221789_x_at",46
"222131_x_at",46
"65770_at",46
"212651_at",46
"203175_at",46
"208124_s_at",46
"210124_x_at",46
"203838_s_at",46
"203839_s_at",46
"216439_at",46
"208103_s_at",47
"221505_at",47
"207769_s_at",48
"210499_s_at",48
"214527_s_at",48
"202093_s_at",48
"209381_x_at",48
"37462_i_at",48
"204559_s_at",48
"212836_at",48
"208620_at",48
"201380_at",48
"202586_at",48
"211730_s_at",48
"201638_s_at",48
"218752_at",48
"218110_at",48
"204031_s_at",48
"213263_s_at",48
"213264_at",48
"213517_at",48
"221021_s_at",48
"209449_at",48
"219098_at",48
"202354_s_at",48
"202355_s_at",48
"202356_s_at",48
"208149_x_at",48
"208159_x_at",48
"210206_s_at",48
"204292_x_at",49
"41657_at",49
"220414_at",49
"204638_at",50
"208502_s_at",50
"209587_at",50
"206737_at",50
"201681_s_at",50
"210469_at",50
"202415_s_at",50
"217752_s_at",51
"203307_at",51
"210803_at",51
"211177_s_at",51
"204174_at",51
"203925_at",51
"206662_at",52
"209276_s_at",52
"202799_at",52
"220604_x_at",52
"209036_s_at",52
"213333_at",52
"210447_at",53
"215794_x_at",53
"202014_at",54
"37028_at",54
"219170_at",54
"207230_at",54
"202400_s_at",54
"202401_s_at",54
"203737_s_at",54
"214732_at",54
"204079_at",54
"213283_s_at",54
"211178_s_at",54
"207584_at",54
"210045_at",55
"210046_s_at",55
"205829_at",55
"1438_at",56
"204600_at",56
"219053_s_at",57
"201551_s_at",57
"201552_at",57
"201553_s_at",57
"213728_at",57
"221083_at",58
"205428_s_at",58
"205845_at",58
"221321_s_at",58
"213368_x_at",59
"215280_s_at",59
"208489_at",60
"208514_at",60
"206399_x_at",60
"210770_s_at",60
"214933_at",60
"210845_s_at",61
"211924_s_at",61
"214866_at",61
"208445_s_at",62
"211313_s_at",62
"213336_at",62
"204355_at",62
"212674_s_at",62
"220519_s_at",63
"205421_at",63
"212518_at",63
"201140_s_at",63
"201156_s_at",63
"202253_s_at",63
"216024_at",63
"201276_at",63
"212788_x_at",63
"213187_x_at",63
"216615_s_at",64
"217002_s_at",64
"219282_s_at",64
"202476_s_at",65
"202477_s_at",65
"213563_s_at",65
"214023_x_at",65
"217976_s_at",65
"218906_x_at",65
"203849_s_at",65
"203850_s_at",65
"209026_x_at",65
"211714_x_at",65
"212320_at",65
"207682_s_at",65
"208128_x_at",65
"211928_at",65
"203660_s_at",65
"202667_s_at",65
"218030_at",65
"218336_at",65
"209680_s_at",65
"212796_s_at",65
"215640_at",65
"215951_at",65
"202968_s_at",65
"202969_at",65
"202970_at",65
"202971_s_at",65
"205744_at",65
"201136_at",65
"216057_at",65
"202024_at",66
"207502_at",66
"222015_at",67
"208854_s_at",67
"208855_s_at",67
"215188_at",67
"208177_at",68
"217530_at",68
"200600_at",68
"219434_at",69
"210514_x_at",69
"211528_x_at",69
"211529_x_at",69
"211530_x_at",69
"202500_at",70
"215497_s_at",70
"216036_x_at",70
"40829_at",70
"220807_at",71
"206647_at",71
"205919_at",71
"217683_at",71
"217973_at",71
"219257_s_at",71
"218260_at",71
"201135_at",71
"206834_at",71
"220690_s_at",71
"207804_s_at",72
"208439_s_at",72
"202917_s_at",72
"214370_at",72
"202295_s_at",73
"210520_at",73
"210521_s_at",73
"214417_s_at",73
"1861_at",73
"209364_at",73
"207196_s_at",73
