"node","cluster"
"210300_at",1
"212540_at",1
"220570_at",1
"207221_at",1
"205983_at",1
"208267_at",1
"204857_at",1
"206743_s_at",1
"201387_s_at",1
"209832_s_at",1
"221413_at",1
"206103_at",1
"204175_at",1
"202337_at",1
"220496_at",1
"216952_s_at",1
"212767_at",1
"209531_at",2
"214457_at",2
"206724_at",2
"214644_at",2
"219441_s_at",2
"201480_s_at",2
"204229_at",3
"204230_s_at",3
"206607_at",4
"214515_at",4
"206660_at",4
"210024_s_at",4
"214436_at",4
"210587_at",5
"205755_at",5
"210746_s_at",6
"210328_at",6
"205155_s_at",7
"205348_s_at",7
"207634_at",7
"202847_at",8
"214732_at",8
"211560_s_at",9
"206834_at",9
"209908_s_at",10
"209909_s_at",10
"220406_at",10
"220407_s_at",10
"202366_at",11
"201509_at",11
"210014_x_at",11
"210418_s_at",11
"207226_at",12
"203113_s_at",12
"213087_s_at",12
"214394_x_at",12
"214395_x_at",12
"203948_s_at",12
"203949_at",12
"200991_s_at",13
"207584_at",13
"203920_at",13
"218832_x_at",13
"221861_at",13
"43511_s_at",13
"49111_at",13
"208260_at",13
"209990_s_at",14
"209991_x_at",14
"211679_x_at",14
"217077_s_at",14
"202067_s_at",15
"202068_s_at",15
"217005_at",15
"217103_at",15
"217173_s_at",15
"210803_at",16
"211177_s_at",16
"201569_s_at",17
"201570_at",17
"205297_s_at",18
"220638_s_at",18
"202949_s_at",19
"206479_at",19
"214410_at",19
"204253_s_at",19
"204254_s_at",19
"204255_s_at",19
"213692_s_at",19
"206789_s_at",19
"207618_s_at",20
"213240_s_at",20
"214399_s_at",20
"211045_s_at",21
"211046_at",21
"221023_s_at",21
"211916_s_at",22
"219431_at",22
"220185_at",23
"220636_at",23
"221668_s_at",23
"208894_at",23
"210982_s_at",23
