"node","cluster"
"210300_at",1
"212540_at",1
"220570_at",1
"207221_at",1
"205983_at",1
"208267_at",1
"204857_at",1
"206743_s_at",1
"201387_s_at",1
"209832_s_at",1
"221413_at",1
"206103_at",1
"204175_at",1
"202337_at",1
"220496_at",1
"216952_s_at",1
"212767_at",1
"209531_at",2
"214457_at",2
"206724_at",2
"214644_at",2
"219441_s_at",2
"201480_s_at",2
"204229_at",3
"204230_s_at",3
"200991_s_at",4
"206607_at",4
"214515_at",4
"207584_at",4
"202949_s_at",4
"206660_at",4
"203920_at",4
"218832_x_at",4
"221861_at",4
"43511_s_at",4
"49111_at",4
"202067_s_at",4
"202068_s_at",4
"217005_at",4
"217103_at",4
"217173_s_at",4
"208260_at",4
"204253_s_at",4
"204254_s_at",4
"204255_s_at",4
"213692_s_at",4
"206789_s_at",4
"210587_at",5
"205755_at",5
"205155_s_at",6
"205348_s_at",6
"207634_at",6
"202847_at",7
"214732_at",7
"210746_s_at",8
"211560_s_at",8
"206834_at",8
"210328_at",8
"209908_s_at",9
"209909_s_at",9
"220406_at",9
"220407_s_at",9
"202366_at",10
"201509_at",10
"210014_x_at",10
"210418_s_at",10
"207226_at",11
"203113_s_at",11
"213087_s_at",11
"214394_x_at",11
"214395_x_at",11
"203948_s_at",11
"203949_at",11
"210024_s_at",12
"214436_at",12
"209990_s_at",13
"209991_x_at",13
"211679_x_at",13
"217077_s_at",13
"210803_at",14
"211177_s_at",14
"201569_s_at",15
"201570_at",15
"205297_s_at",16
"220638_s_at",16
"206479_at",17
"214410_at",17
"207618_s_at",18
"213240_s_at",18
"214399_s_at",18
"211045_s_at",19
"211046_at",19
"221023_s_at",19
"211916_s_at",20
"219431_at",20
"220185_at",21
"220636_at",21
"221668_s_at",21
"208894_at",21
"210982_s_at",21
