"node","cluster"
"ACHE",1
"AP2A1",1
"APLP1",1
"ASIP",1
"C8G",1
"CD68",1
"CTF1",1
"DBH",1
"DDX11",1
"EPHB3",1
"FANCG",1
"GJA8",1
"HLA-G",1
"IRF2",1
"ITGA2B",1
"MSN",1
"MYOG",1
"NQO2",1
"PLAUR",1
"POU3F4",1
"PPP3CC",1
"S100A8",1
"STAT4",1
"UNG",1
"VWF",1
"ZP2",1
"VAMP8",1
"SQSTM1",1
"CLDN6",1
"PIGQ",1
"KCNQ4",1
"DYRK1B",1
"POM121",1
"NUBP2",1
"RABAC1",1
"PIM2",1
"USP22",1
"PIP5K1C",1
"FIS1",1
"KCNK9",1
"RAPSN",1
"SLC9A3R2",1
"F11R",1
"NDFIP1",1
"GIT1",1
"LCN1",1
"FATE1",1
"KLC2",1
"CNDP2",1
"LIM2",1
"WNT11",1
"ZP3",1
"TJP3",1
"PIGL",1
"KCNH3",1
"ACTA1",2
"ACTA2",2
"CHRNG",2
"ITGB4",2
"ACTN4",3
"PF4",3
"SLC34A1",3
"TMSB4X",3
"VEGFB",3
"TMSB4Y",3
"STAB1",3
"ADAMTS13",3
"AKT1",4
"HSPB1",4
"IL7R",4
"LAMA5",4
"ZNF148",4
"PIAS3",4
"HRK",4
"SYNGAP1",4
"CLSTN3",4
"KRT16",4
"EFS",4
"FRS3",4
"OPTC",4
"MICAL1",4
"RASGRP2",4
"THPO",4
"ALAS2",5
"DNAJB2",5
"ACP5",6
"ALOX5AP",6
"ANXA11",6
"CYBA",6
"TBXAS1",6
"ATP6AP1",7
"BRI3",7
"BAD",8
"BID",8
"MCL1",8
"BBC3",8
"CACNA1A",9
"CAMK2A",9
"HAND1",9
"EPN3",9
"LIMD1",9
"CD7",10
"CD22",10
"CD72",10
"CD79A",10
"EMD",10
"PRRG2",10
"SELL",10
"SLAMF1",10
"SIGLEC1",10
"TRAF5",10
"VAV1",10
"CDA",11
"ENTPD4",11
"CEBPA",12
"DBP",12
"BATF",12
"COMT",13
"PNMT",13
"TH",13
"CRK",14
"CSK",14
"GP9",14
"HOXC4",14
"RASSF7",14
"PGLYRP1",14
"PSTPIP1",14
"PTPRU",14
"CLCN7",15
"ECE1",15
"ECHS1",16
"ALKBH7",16
"ADAR",17
"BST2",17
"EGR1",17
"GTF2F1",17
"IFIT2",17
"IRF3",17
"IRF7",17
"UBE2V1",17
"GDF15",17
"ZBTB32",17
"IRF2BP2",17
"GATA2",18
"PITX1",18
"SPI1",18
"GRN",19
"UGP2",19
"CD53",20
"GGT1",20
"GCLM",20
"GSS",20
"PEPD",20
"SCLY",20
"GSTM1",20
"HBD",21
"HBE1",21
"HBZ",21
"HBQ1",21
"CYGB",21
"DNM2",22
"HCK",22
"CD63",23
"HK3",23
"HLA-DMA",23
"HLA-DQA2",23
"HLA-DRB1",23
"IFI30",23
"OSBPL1A",23
"KIR2DL1",23
"HRAS",24
"PAM",24
"TMEM115",24
"ADCY1",25
"ARR3",25
"FSHR",25
"HTR4",25
"ADM2",25
"DCXR",25
"CNTFR",26
"IL6R",26
"IGF2R",27
"LAMP1",27
"SLC1A5",27
"SLC3A2",27
"VPS28",27
"BET1L",27
"RNF149",27
"TGOLN2",27
"DNAJC5",27
"ABCA7",27
"FADS3",28
"LSS",28
"MSX1",29
"WAC",29
"COX7C",30
"TIMM8A",30
"IDH2",30
"MDH2",30
"NDUFA3",30
"NDUFB7",30
"NDUFB10",30
"NDUFV1",30
"MRPS12",30
"SDHC",30
"UQCRC2",30
"CLPP",30
"NIPSNAP1",30
"COX7A2L",30
"COX5A",30
"CCS",30
"TXN2",30
"UQCRQ",30
"CHCHD2",30
"NDUFB11",30
"MRPS24",30
"MRPL52",30
"SARDH",30
"CHCHD4",30
"JOSD1",30
"ACAD9",30
"NDUFS7",30
"QRSL1",30
"NFKB2",31
"TNF",31
"TYRO3",31
"PCGF6",31
"TRIM46",31
"NFKBIB",32
"S100A12",32
"S100A14",32
"NPM1",33
"MCM3AP",33
"PLCB2",34
"PROK2",34
"UTS2R",35
"FFAR2",35
"PLCB3",35
"RGS2",35
"CDC25A",36
"CKS1B",36
"CSNK1E",36
"DYNC1H1",36
"FOXM1",36
"INCENP",36
"KIFC1",36
"PCNT",36
"PLK1",36
"RANGAP1",36
"PKMYT1",36
