"node","cluster"
"TFAP4",1
"PCSK1N",1
"MT4",1
"ZP2",1
"GRIN3B",1
"RGS2",1
"SELL",1
"CNGB1",1
"PHC1",1
"GDF15",1
"SCLY",1
"USP22",1
"ZBTB32",1
"TJP3",1
"ABCA7",1
"UBE2R2",1
"PAIP2",1
"DHH",1
"TNNT3",1
"MTA2",1
"RHPN1",1
"PF4",1
"NPM1",1
"CRK",1
"SLAMF1",1
"GABARAP",1
"MUS81",1
"BRSK1",1
"OR2Z1",1
"BID",1
"CHDH",1
"KIF1A",1
"ARFRP1",1
"GLUD2",1
"CNGA2",1
"EPHB3",1
"ALAS2",1
"RAB11B",1
"PPFIA3",1
"KCNE1",1
"TCF7",1
"BAZ1B",1
"GATA2",1
"PRODH",1
"ENTPD4",1
"COMT",1
"S100A8",1
"LCE2A",1
"FCN1",1
"SARDH",1
"NR5A1",1
"VPS28",1
"MYBBP1A",1
"SERPINB5",1
"CXCR4",1
"FTSJ3",1
"OBSCN",1
"MT1X",1
"KHSRP",1
"MGAM",1
"TMSB4X",1
"GRIK5",1
"LY6H",1
"TBX1",1
"CHRNG",1
"NUMA1",1
"DDX11",1
"FXYD2",1
"SCNN1D",1
"FOXH1",1
"ATP6V1F",1
"MPZ",1
"LCE2C",1
"RTN4R",2
"LRG1",2
"RTN4RL2",2
"OPTC",2
"IGFALS",2
"NIPSNAP1",3
"EXT2",3
"TXN2",4
"THRA",4
"MDH2",4
"HMGN2",4
"USP11",5
"RAB24",5
"SF3A2",6
"LPIN2",6
"CD22",7
"CD79A",7
"SPI1",8
"BIN2",8
"ZFPM1",8
"ALOX5AP",8
"HAND1",9
"TBX5",9
"IRX4",10
"SLC25A23",10
"EGR1",11
"PITX1",11
"STARD7",11
"NPY",12
"SERPINA6",12
"PEPD",13
"MARS",13
"PCSK4",13
"ASL",13
"CFP",14
"ADAMTSL2",14
"ADAMTS4",14
"ADAMTS13",14
"DGCR6L",15
"PYCR2",15
"GSS",16
"GGT1",16
"VTN",17
"ACTN4",17
"ZC3H7B",17
"VEGFB",17
"PPP3CC",18
"ILKAP",18
"PORCN",18
"ADAM15",18
"CREB3L1",18
"EFNA4",18
"CAB39",19
"SPHK1",19
"GTF2H4",20
"CHTF18",20
"ITGB4",21
"VWF",21
"ITGA2B",21
"SLC29A2",21
"SPARC",22
"SCARF1",22
"P2RX3",23
"ACHE",23
"DBP",24
"PIAS1",24
"STAT3",24
"IL32",24
"STAT5A",24
"STAT4",24
"PIAS3",24
"QRSL1",24
"NDRG2",24
"PRAM1",24
"AMBP",25
"APOL1",25
"CHPF",26
"B3GAT3",26
"CHCHD2",26
"NDUFB7",27
"NDUFS7",27
"UQCRC2",27
"NDUFB10",27
"NDUFB11",27
"ACAD9",27
"NDUFV1",27
"SDHC",27
"NDUFA3",27
"RNASET2",27
"PDXP",28
"CTSH",28
"COMP",28
"TYRO3",28
"SH3GL1",28
"BAD",28
"TNFRSF10C",28
"MICAL1",28
"NES",28
"MCL1",28
"ECE1",28
"NDP",28
"BBC3",28
"LRRC20",28
"TP73",28
"EFS",29
"TSC2",29
"CSK",29
"NCK2",29
"TPSG1",29
"MYOG",29
"CNTFR",29
"LAMA5",29
"HRK",29
"CYBA",29
"PRKCG",29
"DAXX",29
"AKT1",29
"NONO",29
"SCGB1A1",29
"ARHGAP17",29
"ANXA5",29
"ORMDL3",29
"TTLL11",29
"TSSC4",29
"ISYNA1",29
"UGP2",29
"CRTC2",29
"TLX1",29
"CSF3R",29
"LAT",29
"KCTD17",29
"TBCA",29
"GCAT",29
"LIMD1",29
"SLC1A5",29
"THOC2",30
"GEMIN7",30
"GEMIN4",30
"ZFP36L1",30
"CD53",31
"UCN3",31
"LPXN",31
"SRF",32
"MEF2D",32
"PLCB2",33
"PLCB3",33
"PIP5K1C",33
"PIK3R5",33
"PLCD1",33
"F11R",34
"CLDN6",34
"SLURP1",35
"LY6E",35
"PPIB",36
"DDA1",36
"COL9A3",36
"TUBGCP2",37
"HSPBP1",37
"PPP2R5A",37
"SMARCD3",37
"PKMYT1",37
"DYNC1LI1",37
"CENPH",37
"HIPK4",37
"PLK1",37
"TBC1D2B",37
"CDC25A",37
"CYP4A11",37
"CAMKK2",37
"TSC22D3",37
"NUDC",37
"TACC3",37
"DNAH11",37
"RANGAP1",37
"CSNK1E",37
"SLC39A7",37
"FANCG",37
"INCENP",37
"ZNF148",37
"KLF6",37
"APEX2",37
"AGPAT1",37
"DUSP23",37
"DYRK2",37
"CNTROB",37
"DNAJC9",37
"PPP1R15A",38
"HDAC3",38
"ANP32E",38
"THPO",39
"PI3",39
"TMEM115",39
"CTF1",39
"IL13",39
"SOX14",39
"IL6R",39
"ELF4",39
"SLC39A4",39
"SYTL1",39
"NQO2",39
"P2RY8",39
"SCTR",40
"FFAR2",40
"SHKBP1",40
"PROK2",40
"ADCY1",40
"GP9",40
"GNB2",40
"GNAI2",40
"UTS2R",40
"P2RY11",40
"NPW",40
"HTR3A",40
"HTR4",40
"GRM4",40
"CORT",40
"GPR20",40
"GNB1",40
"SMYD3",40
"ADM2",40
"FSHR",40
"CPE",40
"TRIM47",40
"ASIP",40
"TRPV2",40
"PTPRU",40
"ZNF414",40
"IL7R",41
"SIGLEC1",41
"KCNK3",42
"TSPYL2",42
"CLIC3",42
"CABP2",43
"CALB2",43
"CALML5",43
"ACP5",44
"MRC2",44
"ANXA11",45
"OR5A2",45
"HRAS",45
"OR6N1",45
"DIRAS3",45
"DIRAS2",45
"RTN2",45
"NPM3",45
"PGLYRP1",46
"SCN3B",46
"VANGL1",46
"CLCN7",46
"DTX3L",47
"KRT16",47
"DCXR",47
"ANAPC2",47
"SOCS1",47
"TNFAIP2",47
"UBE2V1",47
"HECTD3",47
"RNF130",47
"OAZ2",47
"TFCP2",47
"PCGF6",47
"ASB2",47
"RNF149",47
"H2AFY",47
"DRAP1",48
"KLC2",48
"EPPK1",48
"COX7C",49
"COX5A",49
"UBL5",49
"UQCRQ",49
"OS9",50
"CRTAP",50
"POM121",51
"PRMT5",51
"KLF16",52
"DNMT3L",52
"PPRC1",52
"SAP30",52
"HIST1H2AA",52
"HINT1",52
"HOXC4",52
"HCFC1",52
"HIST1H2AC",52
"MYT1",52
"FOXK1",52
"MTA1",52
"BCL9L",52
"TAF1C",52
"SIN3B",52
"ATXN7L3",52
"TCF20",52
"SUDS3",52
"PADI4",52
"AQP7",52
"DHX30",52
"PHF1",52
"WAC",52
"STK11",53
"PIM2",53
"WNT10B",54
"FGF8",54
"WNT11",54
"DLG5",54
"HARS2",55
"CNDP2",55
"DALRD3",55
"TXLNA",55
"HSPB1",56
"PFDN1",56
"ODF3",56
"FSD1",57
"CDON",57
"SP1",57
"TPST2",57
"SALL2",57
"NFATC4",57
"DYRK1B",57
"PSTPIP1",57
"LPA",57
"TREM1",58
"VPS37C",58
"LAMP1",58
"CYHR1",58
"CACNA1H",59
"KCNK4",59
"FRG1",60
"MYL2",60
"CHRNA10",60
"TNNI2",60
"MYL3",60
"RAPSN",60
"TCAP",60
"TNNI1",60
"TPM2",60
"TNNT2",60
"MYL6",60
"TUBB2B",61
"PDCL3",61
"TUBB",61
"PLP2",61
"PLAUR",62
"CD207",62
"RHOT2",63
"FGD3",63
"RHOBTB1",63
"RHOG",63
"TNK2",63
"ARHGEF16",63
"ARHGAP9",63
"TNIP1",64
"EIF4EBP1",64
"GBX2",65
"FOXM1",65
"TNFSF13",66
"PRMT8",66
"TREX1",66
"PPAN",66
"ARF1",67
"RAB5C",67
"RAB5B",67
"ARL16",67
"ZNHIT1",68
"DNM2",68
"CRABP2",68
"POU3F1",68
"KIF25",69
"DYNC1H1",69
"SURF4",69
"KIFC1",69
"BET1L",69
"IGF2R",70
"CDKN1C",70
"ASNA1",71
"GUCA2B",71
"PQBP1",72
"PAF1",72
"LSM7",72
"POLD3",72
"PCBP1",72
"TRAPPC5",72
"POLR2L",72
"TSEN54",72
"CPSF1",72
"XAB2",72
"PCBP2",72
"CTNNBL1",72
"LSM2",72
"GTF2F1",72
"EIF4G3",72
"POLR2J2",72
"INVS",73
"KCNQ4",73
"FETUB",73
"ARR3",73
"HELT",73
"KCNJ11",73
"PCNT",73
"RAB3GAP2",73
"GJA8",74
"CACNA1A",74
"CACNA2D4",74
"SLC34A1",75
"MFNG",75
"MSN",75
"GRN",76
"MMP15",76
"BST2",76
"LILRA4",76
"TRIM56",76
"IRF3",76
"IRF7",76
"IFITM1",76
"TRIM3",76
"HLA-G",76
"IRF2BP2",76
"ADAR",76
"IFIT2",76
"TRIM22",76
"IRF2",76
"IFI30",76
"CKS1B",77
"RRM2",77
"NT5M",77
"MAZ",78
"HK3",78
"STAC3",78
"IDH2",78
"DNAJB2",78
"GAL3ST1",78
"ENTPD2",78
"WDTC1",78
"ATP6AP1",78
"WDR6",78
"TBXAS1",78
"FLII",78
"RASSF7",78
"LCE3C",78
"SLC37A1",78
"SEMA4G",79
"ACTA2",79
"TMSB4Y",79
"SEMA4F",79
"ACTA1",79
"SQSTM1",79
"KCNIP2",79
"WDR81",79
"CYP46A1",80
"ECHS1",80
"PLA2G2F",80
"HSD17B1",80
"FTCD",81
"RFXANK",81
"NKX6-2",81
"PGK1",81
"PSMA4",82
"PSMC4",82
