"node","cluster"
"RTN4R",1
"TFAP4",1
"GSS",1
"PCSK1N",1
"USP11",1
"MT4",1
"ZP2",1
"COMP",1
"PIGL",1
"GRIN3B",1
"DGCR6L",1
"CHRNA10",1
"PHC1",1
"GDF15",1
"LAMA5",1
"SCLY",1
"CAB39",1
"RIPK1",1
"USP22",1
"MARS",1
"ITGA2B",1
"TJP3",1
"ABCA7",1
"PAIP2",1
"RHPN1",1
"NPM1",1
"PPIB",1
"CRK",1
"GABARAP",1
"DRAP1",1
"MUS81",1
"HCFC1",1
"BRSK1",1
"CNDP2",1
"ARFRP1",1
"GLUD2",1
"CNGA2",1
"FOXK1",1
"TSSC4",1
"EPHB3",1
"ALAS2",1
"RAB11B",1
"CACNA1H",1
"KCNE1",1
"TCF7",1
"BAZ1B",1
"PYCR2",1
"PRODH",1
"ASNA1",1
"ENTPD4",1
"AP2A1",1
"HLA-G",1
"CYB561",1
"S100A6",1
"S100A12",1
"LCE2A",1
"FCN1",1
"SARDH",1
"POU3F4",1
"HLA-DQA2",1
"CSNK2B",1
"VPS28",1
"SLC3A2",1
"HOMER3",1
"CXCR4",1
"FTSJ3",1
"CPE",1
"MT1X",1
"ZP3",1
"KHSRP",1
"AGPAT1",1
"MGAM",1
"STAB1",1
"GRIK5",1
"SURF4",1
"LY6H",1
"TBX1",1
"CHRNG",1
"NUMA1",1
"DDX11",1
"ATXN7L3",1
"PSTPIP1",1
"FXYD2",1
"LRRC20",1
"FOXH1",1
"ATP6V1F",1
"NT5M",1
"LCE2C",1
"PSMA4",2
"PSMC4",2
"PSMB4",2
"PSMA7",2
"PSME4",2
"ITGB4",3
"RAPSN",3
"TXN2",4
"THRA",4
"PCSK4",4
"MDH2",4
"HMGN2",4
"SRMS",5
"CSK",5
"SF3A2",6
"LPIN2",6
"RAB24",6
"CD22",7
"CD79A",7
"SEMA4G",8
"FIS1",8
"ACTA2",8
"FRG1",8
"MYL2",8
"TMSB4Y",8
"HIPK4",8
"CABP2",8
"TCAP",8
"SEMA4F",8
"ACTA1",8
"TNNT2",8
"SQSTM1",8
"KCTD17",8
"MYL6",8
"TBCA",8
"DYRK2",8
"SCNN1D",8
"WDR81",8
"SPI1",9
"BIN2",9
"TAL1",9
"SOX14",9
"ZFPM1",9
"ALOX5AP",9
"HARS2",10
"GLRX",10
"IRX4",11
"SMARCD3",11
"SLC25A23",11
"MMP15",12
"EGR1",12
