"node","cluster"
"PIGQ",1
"TFAP4",1
"TXN2",1
"USP11",1
"MT4",1
"ZP2",1
"C8G",1
"PIGL",1
"NCK2",1
"GRIN3B",1
"RGS2",1
"EGR1",1
"MYOG",1
"CHPF",1
"PHC1",1
"GDF15",1
"CD63",1
"RIPK1",1
"USP22",1
"LPIN2",1
"NUBP2",1
"CHTF18",1
"ABCA7",1
"P2RX3",1
"PAIP2",1
"PPIB",1
"GABARAP",1
"DRAP1",1
"DLGAP1",1
"PRMT5",1
"STK11",1
"GLUD2",1
"EPHB3",1
"ALAS2",1
"PPFIA3",1
"KCNE1",1
"DNAJB2",1
"PLAUR",1
"TCF7",1
"EIF4EBP1",1
"PYCR2",1
"PRODH",1
"SPN",1
"RRM2",1
"WDTC1",1
"NKX6-2",1
"CRTC2",1
"S100A8",1
"LCE2A",1
"ATP6AP1",1
"EMD",1
"ZNF503",1
"POU3F1",1
"NR5A1",1
"SLC3A2",1
"USP5",1
"MT1X",1
"ZP3",1
"KHSRP",1
"EIF4G3",1
"VAV1",1
"GRIK5",1
"ADAMTS13",1
"TBX1",1
"GCAT",1
"TREX1",1
"NUMA1",1
"DDX11",1
"FXYD2",1
"BET1L",1
"FOXH1",1
"MPZ",1
"LCE2C",1
"SAMD8",1
"PSMA4",2
"PSMC4",2
"PSMB4",2
"NFKBIB",2
"PSMA7",2
"PSME4",2
"OAZ2",2
"TIMM13",3
"CHCHD2",3
"VTN",4
"FETUB",4
"LCN1",4
"SPI1",5
"TAL1",5
"SOX14",5
"ZFPM1",5
"PPP3CC",6
"CALB2",6
"CREB3L1",6
"UNG",7
"ZBTB32",7
"MUS81",7
"PEPD",8
"MARS",8
"AZGP1",8
"FHIT",8
"CFP",9
"FCN2",9
"ADAMTS4",9
"GSS",10
"GGT1",10
"SCLY",10
"PCSK4",10
"ASL",10
"CD68",11
"TNFRSF13B",11
"CHRNA10",12
"RAPSN",12
"SPARC",13
"ACTN4",13
"LAMA5",13
"SCARF1",13
"TMSB4Y",13
"VEGFB",13
"CAB39",14
"CSNK2B",14
"EXOSC5",15
"SEC61A1",15
"MPHOSPH6",15
"RPL35",15
"RPL8",15
"MOV10L1",15
"SMG6",15
