"node","cluster"
"PCK2",1
"SLC17A7",1
"IRAK2",1
"USP37",1
"DPEP1",1
"TRPV5",1
"ASGR1",1
"UCHL1",1
"CDT1",1
"KCNAB3",1
"RAC3",1
"BRSK1",1
"CABP4",1
"SP1",1
"ZNF593",1
"GABBR2",1
"LDLR",1
"TXNRD2",1
"PELI3",1
"RHPN1",1
"SAMM50",1
"CLEC1B",1
"KCNH6",1
"RIMS2",1
"MTG1",1
"REM1",2
"MPO",2
"CDC34",3
"UBE2E3",3
"FBXL2",3
"GSTZ1",4
"LRRC24",4
"ISLR2",4
"LRRC38",4
"SUPT5H",4
"DGCR8",5
"LMNB2",5
"CBL",6
"ZNRF3",6
"INHBE",7
"ITIH3",7
"HOXA2",8
"MAD1L1",8
"CBX4",8
"CENPH",8
"HIST1H2AK",8
"PMF1",8
"EPB42",9
"GNMT",9
"F2RL3",10
"CHRM1",10
"OR1E1",10
"OR1J2",10
"OR5C1",10
"OR7G1",10
"RILP",11
"SPTBN2",11
"DYNC1I1",11
"PDCD1",11
"CACNA1E",11
"ALAS2",12
"HBD",12
"AMH",13
"TGFB2",13
"BMPER",13
"ACADS",14
"IDH3B",14
"NFKBIE",15
"LRRK1",15
"CD79B",15
"HIST1H2BN",16
"EEF1D",16
"SNX17",17
"LPA",17
"NR1H3",17
"ARRB1",17
"AVPR1B",17
"CBLC",17
"LAMB2",17
"RETN",18
"CRTC2",18
"FHL2",19
"TRPM1",19
"VDR",19
"POU2F1",19
"IGLL1",20
"CARD11",20
"BCS1L",21
"KRT4",21
"SPTBN4",22
"DNAI2",22
"HLA-DRA",22
"MYO1A",23
"PLEKHG5",23
"ARHGAP10",23
