"node","cluster"
"ACHE",1
"AP2A1",1
"APLP1",1
"ARF1",1
"ASIP",1
"C8G",1
"CD68",1
"DBH",1
"DDX11",1
"EPHB3",1
"FANCG",1
"GJA8",1
"HLA-G",1
"MSN",1
"MYOG",1
"NQO2",1
"PLAUR",1
"POU3F4",1
"PPP3CC",1
"S100A8",1
"SCTR",1
"STAT4",1
"UNG",1
"ZP2",1
"VAMP8",1
"RIPK1",1
"SQSTM1",1
"CLDN6",1
"PIGQ",1
"KCNQ4",1
"DYRK1B",1
"POM121",1
"GABARAP",1
"USP22",1
"HSPBP1",1
"FIS1",1
"KCNK9",1
"RAPSN",1
"SLC9A3R2",1
"F11R",1
"NDFIP1",1
"GIT1",1
"LCN1",1
"RNF149",1
"FATE1",1
"CNDP2",1
"LIM2",1
"WNT11",1
"ZP3",1
"TJP3",1
"PIGL",1
"KCNH3",1
"ACTA1",2
"CHRNG",2
"ITGB4",2
"ACTN4",3
"TMSB4X",3
"VEGFB",3
"STAB1",3
"ADAMTS13",3
"ADCY1",4
"ARR3",4
"FSHR",4
"GRM4",4
"HTR3A",4
"NPY",4
"CXCR4",4
"RGS14",4
"ADM2",4
"NPW",4
"AKT1",5
"FLII",5
"HSPB1",5
"IL7R",5
"ZNF148",5
"PIAS3",5
"PIM2",5
"TMSB4Y",5
"TRIM3",5
"HRK",5
"SYNGAP1",5
"CLSTN3",5
"KRT16",5
"TAL1",5
"EFS",5
"FRS3",5
"OPTC",5
"MICAL1",5
"RASGRP2",5
"BRSK1",5
"THPO",5
"ALAS2",6
"DNAJB2",6
"ACP5",7
"ALOX5AP",7
"ANXA11",7
"CYBA",7
"TBXAS1",7
"BAD",8
"BID",8
"MCL1",8
"BBC3",8
"CACNA1A",9
"CAMK2A",9
"HAND1",9
"EPN3",9
"LIMD1",9
"CD7",10
"CD22",10
"CD72",10
"CD79A",10
"EMD",10
"PRRG2",10
"SELL",10
"SLAMF1",10
"SIGLEC1",10
"VAV1",10
"TNFSF13",10
"CDA",11
"ENTPD4",11
"CEBPA",12
"DBP",12
"BATF",12
"COMT",13
"PNMT",13
"TH",13
"CRK",14
"CSK",14
"CTF1",14
"GP9",14
"HOXC4",14
"ITGA2B",14
"TP73",14
"RASSF7",14
"PGLYRP1",14
"PSTPIP1",14
"LPIN2",14
"SERPINB5",14
"ST14",14
"SPHK1",14
"SYTL1",14
"PTPRU",14
"CLCN7",15
"ECE1",15
"TGOLN2",15
"ECHS1",16
"WDTC1",16
"TRPC4AP",16
"ALKBH7",16
"ADAR",17
"BST2",17
"EGR1",17
"GTF2F1",17
"IFIT2",17
"IRF3",17
"UBE2V1",17
"ZBTB32",17
"IRF2BP2",17
"GATA2",18
"PITX1",18
"CD53",19
"GGT1",19
"GCLM",19
"GSS",19
"SCLY",19
"GSTM1",19
"HBD",20
"HBE1",20
"HBZ",20
"HBQ1",20
"CYGB",20
"DNM2",21
"HCK",21
"HLA-DRA",22
"S100A6",22
"CD63",23
"HK3",23
"HLA-DMA",23
"HLA-DQA2",23
"HLA-DRB1",23
"IFI30",23
"OSBPL1A",23
"KIR2DL1",23
"HRAS",24
"PAM",24
"SLC34A1",24
"TNK2",24
"TMEM115",24
"SNX15",24
"HTR4",25
"DCXR",25
"IRF2",26
"IRF7",26
"GDF15",26
"ANXA5",27
"LAMA5",27
"IGF2R",28
"LAMP1",28
"SLC1A5",28
"SLC3A2",28
"VPS28",28
"BET1L",28
"DNAJC5",28
"FADS3",29
"LSS",29
"MSX1",30
"WAC",30
"COX7C",31
"TIMM8A",31
"IDH2",31
"MDH2",31
"NDUFA3",31
"NDUFB7",31
"NDUFB10",31
"NDUFV1",31
"SDHC",31
"UQCRC2",31
"CLPP",31
"NIPSNAP1",31
"COX7A2L",31
"COX5A",31
"CCS",31
"TXN2",31
"UQCRQ",31
"CHCHD2",31
"NDUFB11",31
"MRPS24",31
"SARDH",31
"CHCHD4",31
"JOSD1",31
"ACAD9",31
"NDUFS7",31
"NFKB2",32
"TNF",32
"TYRO3",32
"PCGF6",32
"TRIM46",32
"NFKBIB",33
"S100A12",33
"S100A14",33
"NPM1",34
"MCM3AP",34
"UTS2R",35
"FFAR2",35
"PLCB2",35
"PLCB3",35
"PRKCG",35
"RGS2",35
"PIP5K1C",35
"PROK2",35
"CDC25A",36
