"node","cluster"
"ACHE",0
"ALAS2",0
"ALOX5AP",0
"ANXA11",0
"APLP1",0
"ARR3",0
"ASIP",0
"CDA",0
"CNGA2",0
"CTSL",0
"CYP4A11",0
"DBH",0
"DDX11",0
"TIMM8A",0
"FANCG",0
"HLA-G",0
"HTR4",0
"LAMA5",0
"MSN",0
"NFKB2",0
"POU3F4",0
"PPP2R5A",0
"PPP3CC",0
"S100A8",0
"SPARC",0
"STAT4",0
"STK11",0
"SURF4",0
"TNF",0
"WNT3",0
"ZP2",0
"NIPSNAP1",0
"PIAS1",0
"VAMP8",0
"CLDN6",0
"KCNQ4",0
"ZBED1",0
"POM121",0
"MPHOSPH6",0
"IFI30",0
"GABARAP",0
"USP22",0
"ZBTB32",0
"DHH",0
"FIS1",0
"NDUFB11",0
"UBE2R2",0
"PRMT8",0
"OR6N1",0
"RAPSN",0
"CPE",0
"F11R",0
"NDFIP1",0
"FATE1",0
"KCNK9",0
"CNDP2",0
"IL32",0
"ZP3",0
"TJP3",0
"KCNH3",0
"CDON",0
"OR5A2",0
"ACTA1",2
"CHRNG",2
"ACTN4",3
"TMSB4X",3
"VEGFB",3
"ADAMTS13",3
"AP2A1",4
"NFATC4",4
"PPP1R1B",4
"AKT1",5
"TLX1",5
"HSPB1",5
"PAM",5
"PIM2",5
"HRK",5
"BBC3",5
"FRS3",5
"THPO",5
"BAD",12
"BID",12
"MCL1",12
"CACNA1A",13
"HK3",13
"CAMK2A",14
"HAND1",14
"CD53",15
"GCLM",15
"PLP2",15
"SIGLEC1",15
"GSTM1",15
"PTTG1IP",16
"CD63",16
"CLCN7",16
"ECE1",16
"HLA-DMA",16
"TGOLN2",16
"VPS37C",16
"STAB1",16
"AMBP",17
"CD22",17
"CD72",17
"CD79A",17
"EMD",17
"PRRG2",17
"SELL",17
"SLAMF1",17
"TRAF5",17
"VAV1",17
"TNFRSF13B",17
"CEBPA",19
"DBP",19
"BATF",19
"COMT",21
"PNMT",21
"TH",21
"CRK",22
"CTF1",22
"ITGA2B",22
"EPN3",22
"ECHS1",28
"WDTC1",28
"TRPC4AP",28
"EGR1",29
"GTF2F1",29
"IRF2BP2",29
"ARRB2",31
"FSHR",31
"HTR3A",31
"SCTR",31
"ADM2",31
"DCXR",31
"GATA2",32
"PITX1",32
"ZNF490",32
"GGT1",33
"GSS",33
"SPN",33
"HBD",34
"HBE1",34
"HBZ",34
"LSS",34
"SARDH",34
"HBQ1",34
"CYGB",34
"CSK",35
"DNM2",35
"HCK",35
"LIMK2",35
"SRMS",35
"TP73",35
"PSTPIP1",35
"LAT",35
"VTN",35
"HLA-DRA",36
"HLA-DRB1",36
"S100A6",36
"DAXX",38
"HRAS",38
"SLC34A1",38
"TNK2",38
"TMEM115",38
"SNX15",38
"ADAR",40
"BST2",40
"IFIT2",40
"IRF2",40
"IRF3",40
"IRF7",40
"UBE2V1",40
"DYRK1B",40
"GDF15",40
"IGF2R",42
"LAMP1",42
"SLC1A5",42
"SLC3A2",42
"VPS28",42
"BET1L",42
"RNF149",42
"FGF8",44
"MFNG",44
"MSX1",44
"MYOG",45
"NFKBIB",45
"S100A12",45
"S100A14",45
"COX7C",46
"NDUFA3",46
"NDUFB7",46
"NDUFB10",46
"NDUFV1",46
"SDHC",46
"UQCRC2",46
"COX5A",46
"CCS",46
"UQCRQ",46
"CHCHD2",46
"CHCHD4",46
"NDUFS7",46
"NPM1",48
"UNG",48
"PEPD",49
"SCLY",49
"CYBA",50
"PLAUR",50
"UTS2R",51
"FFAR2",51
"PLCB2",51
"PLCB3",51
"PRKCG",51
"RGS2",51
"PROK2",51
"CDC25A",52
"CSNK1E",52
"FOXM1",52
"INCENP",52
"KIFC1",52
"PCNT",52
"PLK1",52
"PKMYT1",52
"POLD3",52
"TUBGCP2",52
"DYNC1LI1",52
"CAB39",52
"TACC3",52
"CENPH",52
"H2AFY",52
"RTN2",52
"SNCB",52
"CALML5",52
"CNTROB",52
"RAB5B",56
"RAB5C",56
"UBL5",56
"CD7",57
"RELB",57
"ACTA2",58
"ANXA5",58
"ARF1",58
"ASL",58
"ASNA1",58
"ZFP36L1",58
"ENTPD2",58
"CKS1B",58
"KLF6",58
"CSNK2B",58
"DDOST",58
"DYNC1H1",58
"EEF1G",58
"EEF2",58
"EIF4A2",58
"EIF5A",58
"ELAVL3",58
"ELF4",58
"EXT2",58
"FAU",58
"FHIT",58
"FLII",58
"FRG1",58
"GLUD2",58
"GNAI2",58
"GNB1",58
"GNB2",58
"GNL1",58
"GTF2H4",58
"GYS1",58
"HINT1",58
"HLA-DQA2",58
"HMGN2",58
"DNAJB2",58
"IDH2",58
"MARS",58
"MDH2",58
"MSI1",58
"MYL6",58
"NQO2",58
"NONO",58
"P2RY11",58
"PCBP1",58
"PCBP2",58
"PFDN1",58
"PFDN2",58
"PGK1",58
"POLR2L",58
"PPIB",58
"PSMA4",58
"PSMA7",58
"PSMB4",58
"PSMC4",58
"RANGAP1",58
"RPL4",58
"RPL7",58
"RPL8",58
"RPL10",58
"RPL11",58
"RPL15",58
"RPL18",58
"RPL30",58
"RPL27A",58
"RPL32",58
"RPL36AL",58
"RPL37",58
"RPL37A",58
"RPL41",58
"RPLP0",58
"RPLP2",58
"MRPS12",58
"RPN1",58
"RPS2",58
"RPS9",58
"RPS21",58
"RPS23",58
"RRM2",58
"SET",58
"SH3GL1",58
"TBCA",58
"UGP2",58
"ZNF35",58
"SLC39A7",58
"SF3A2",58
"CLPP",58
"RBM10",58
"HIST1H2AC",58
"STK24",58
"TPST2",58
"KHSRP",58
"EIF4G3",58
"LIMD1",58
"BAZ1B",58
"RPL14",58
"RAB11B",58
"ATP6V1F",58
"LPXN",58
"ENTPD4",58
"TSSC4",58
"ARPC5",58
"ARPC4",58
"ARPC1B",58
"NUBP2",58
"NPM3",58
"PRMT5",58
"ZNHIT1",58
"MYBBP1A",58
"AGPAT1",58
"NUDC",58
"OS9",58
"RPL35",58
"PDAP1",58
"DHX30",58
"EXOSC7",58
"PSME4",58
"DNAJC9",58
"SMG6",58
"HARS2",58
"RPL13A",58
"KPNA6",58
"GSPT2",58
"TXN2",58
"TIMM13",58
"INVS",58
"APEX2",58
"CPSF1",58
"PYCR2",58
"SEC61A1",58
"GEMIN4",58
"EXOSC3",58
"BIN2",58
"DPH5",58
"LSM7",58
"PAF1",58
"KLHDC4",58
"MRPL16",58
"CTNNBL1",58
"PPAN",58
"EXOSC5",58
"XAB2",58
"PLSCR3",58
"THOC2",58
"LSM2",58
"MRPL17",58
"CHTF18",58
"SMYD3",58
"MRPS24",58
"PDCL3",58
"MUS81",58
"RBM4B",58
"FTSJ3",58
"MRPL52",58
"TRAPPC5",58
"TUBB",58
"HIST1H2AA",58
"TUBB2B",58
"ARFRP1",58
"USP5",58
"ISYNA1",58
"ANP32E",58
"SHKBP1",58
"POLR2J2",58
"TSEN54",58
"ZNF598",58
"RFXANK",58
"SLC44A4",58
"ORMDL3",58
"JOSD1",58
"OSBPL1A",58
"HIPK4",58
"MRPL21",58
"PCBP3",58
"CAMKK2",58
"SH3GLB2",58
"KIR2DL1",58
"GEMIN7",58
"NUMA1",58
"DYRK2",58
"PADI4",58
"KCTD17",58
"REEP4",58
"QRSL1",58
"ABCA7",58
"PQBP1",58
"DUSP23",58
"CHDH",58
"PAIP2",58
"PPRC1",58
"SIGIRR",58
"LRRC20",58
"EFHD2",58
"TBC1D2B",58
"SDSL",58
"DTX3L",58
"MARCKSL1",58
"POU3F1",60
"SIX3",60
"GP9",61
"SOS1",61
"LPIN2",61
"ARHGEF16",61
"FGD3",61
"BCL3",62
"TSC22D3",62
"SP1",62
"THRA",62
"ZNF148",62
"DIRAS3",62
"CNTFR",64
"IL6R",64
"IL7R",64
"IL13",64
"SPI1",64
"STAT3",64
"STAT5A",64
"SERPINB5",64
"ST14",64
"SPHK1",64
"PLEKHO1",64
"SYTL1",64
"TAL1",64
"ZFPM1",64
"WAC",64
"ATXN7L3",64
"FTL",68
"MEF2D",68
"PHF1",68
"SRF",68
"TFAP4",68
"NES",68
"CCDC28A",68
"SALL2",69
"TFCP2",69
"MYL2",71
"MYL3",71
"TNNI1",71
"TNNI2",71
"TNNT2",71
"TNNT3",71
"TPM2",71
"TMSB4Y",71
"TCAP",71
"TSC2",72
"NDRG2",72
"PF4",73
"VWF",73
"TRIM3",73
"WNT10B",75
"WNT11",75
"ADCY1",77
"GRM4",77
"NPY",77
"CXCR4",77
"RGS14",77
"NPW",77
"KIF1A",78
"NCK2",78
"PIP5K1C",78
"KRT16",78
"EFS",78
"FASTK",78
"OPTC",78
"MICAL1",78
"EPHB3",80
"PPFIA3",80
"RIPK1",83
"TNFSF13",83
"NR5A1",84
"HDAC3",84
"KLHDC3",84
"PCGF6",84
"SQSTM1",85
"PIAS3",85
"TBX5",86
"FOXH1",86
"HSPBP1",86
"MYT1",88
"MTA1",88
"MTA2",88
"KLF16",88
"ITGB4",94
"CRTAP",94
"TYRO3",95
"RABAC1",95
"KLC2",95
"USP11",96
"WDR6",96
"FOXK1",96
"HCFC1",98
"SAP30",98
"TAF1C",98
"SIN3B",98
"SUDS3",98
"RCOR2",98
"ATP6AP1",100
"BRI3",100
"PHC1",102
"USP2",102
"ANAPC2",102
"RHOG",107
"RHOBTB1",107
"SH3BP1",107
"ARHGAP17",107
"PDXP",107
"ARHGAP9",107
"RHOT2",107
"SLC9A3R2",111
"RASGRP2",111
"HOXC4",115
"RASSF7",115
"GIT1",115
"PTPRU",115
"GRN",116
"CACNA2D4",116
"CES2",118
"NT5M",118
"CSF3R",120
"EIF4EBP1",120
"POR",120
"SOCS1",120
"TNIP1",120
"ILKAP",120
"ADAM15",120
"BRSK1",120
"ACAD9",122
"DDA1",122
"DLX5",123
"GBX2",123
"LHX2",123
"SMARCD3",125
"PGLYRP1",125
"DRAP1",125
"PLA2G2F",125
"ALX4",125
