"node","cluster"
"ACHE",0
"AP2A1",0
"APLP1",0
"ASIP",0
"C8G",0
"CACNA1A",0
"CD68",0
"CTF1",0
"DBH",0
"DDX11",0
"ECHS1",0
"EPHB3",0
"FANCG",0
"NR5A1",0
"GJA8",0
"UTS2R",0
"HLA-G",0
"HTR4",0
"IRF7",0
"ITGA2B",0
"MSN",0
"NQO2",0
"PLAUR",0
"POU3F4",0
"PPP3CC",0
"S100A8",0
"SCTR",0
"SELL",0
"TFCP2",0
"UNG",0
"WNT10B",0
"ZP2",0
"NCK2",0
"VAMP8",0
"SQSTM1",0
"CLDN6",0
"PIGQ",0
"KCNQ4",0
"DYRK1B",0
"POM121",0
"PIM2",0
"USP22",0
"KCNK9",0
"RAPSN",0
"SLC9A3R2",0
"F11R",0
"NDFIP1",0
"GIT1",0
"LCN1",0
"RNF149",0
"SPN",0
"FATE1",0
"KLC2",0
"DDA1",0
"LIM2",0
"ZP3",0
"TJP3",0
"PIGL",0
"KCNH3",0
"ACTA1",2
"CHRNG",2
"ACTN4",3
"TMSB4Y",3
"ADAMTS13",3
"ADCY1",4
"ARR3",4
"FSHR",4
"GRM4",4
"HTR3A",4
"NPY",4
"CXCR4",4
"RGS14",4
"ADM2",4
"NPW",4
"RASGRP2",4
"DCXR",4
"AKT1",6
"CSK",6
"FLII",6
"HSPB1",6
"IL7R",6
"ZNF148",6
"PIAS3",6
"SYNGAP1",6
"CLSTN3",6
"KRT16",6
"EFS",6
"FRS3",6
"OPTC",6
"MICAL1",6
"BRSK1",6
"ALAS2",7
"DNAJB2",7
"ACP5",8
"ALOX5AP",8
"ANXA11",8
"CYBA",8
"TBXAS1",8
"BAD",11
"BID",11
"MCL1",11
"HRK",11
"BBC3",11
"CAMK2A",14
"HAND1",14
"LIMD1",14
"CD7",16
"CD22",16
"CD72",16
"CD79A",16
"EMD",16
"PRRG2",16
"SIGLEC1",16
"TNF",16
"TRAF5",16
"VAV1",16
"CDA",17
"ENTPD4",17
"CEBPA",18
"DBP",18
"BATF",18
"COMT",19
"PNMT",19
"TH",19
"CRK",20
"HOXC4",20
"RASSF7",20
"PGLYRP1",20
"LPIN2",20
"SERPINB5",20
"ST14",20
"SPHK1",20
"SYTL1",20
"PTPRU",20
"CLCN7",24
"ECE1",24
"TGOLN2",24
"PHC1",26
"USP2",26
"ADAR",27
"BST2",27
"EGR1",27
"GTF2F1",27
"IFIT2",27
"IRF3",27
"UBE2V1",27
"GDF15",27
"ZBTB32",27
"IRF2BP2",27
"GATA2",31
"PITX1",31
"SPI1",31
"FFAR2",34
"RGS2",34
"CD53",35
"GGT1",35
"GCLM",35
"GSS",35
"PEPD",35
"SCLY",35
"HBD",36
"HBE1",36
"HBZ",36
"HBQ1",36
"CYGB",36
"DNM2",37
"HCK",37
"HLA-DRA",38
"S100A6",38
"CD63",39
"HK3",39
"HLA-DMA",39
"HLA-DQA2",39
"HLA-DRB1",39
"IFI30",39
"EPN3",39
"OSBPL1A",39
"KIR2DL1",39
"HRAS",41
"PAM",41
"SLC34A1",41
"TNK2",41
"ADAM15",41
"TMEM115",41
"CNTFR",43
"IL6R",43
"CTSL",44
"IRF2",44
"ANXA5",47
"LAMA5",47
"IGF2R",48
"LAMP1",48
"SLC1A5",48
"SLC3A2",48
"VPS28",48
"BET1L",48
"DNAJC5",48
"ABCA7",48
"FADS3",49
"LSS",49
"MSX1",51
"WAC",51
"COX7C",52
"TIMM8A",52
"GLUD2",52
"IDH2",52
"MDH2",52
"NDUFA3",52
"NDUFB7",52
"NDUFB10",52
"NDUFV1",52
"MRPS12",52
"SDHC",52
"UQCRC2",52
"CLPP",52
"NIPSNAP1",52
"COX7A2L",52
"COX5A",52
"CCS",52
"TXN2",52
"TIMM13",52
"UQCRQ",52
"FIS1",52
"CHCHD2",52
"NDUFB11",52
"MRPL16",52
"MRPL17",52
"MRPS24",52
"MRPL52",52
"SARDH",52
"CHCHD4",52
"JOSD1",52
"ACAD9",52
"NDUFS7",52
"ALKBH7",52
"QRSL1",52
"SDSL",52
"MARCKSL1",52
"NFKB2",53
"TYRO3",53
"PCGF6",53
"TRIM46",53
"TSC22D3",54
"NFKBIB",54
"S100A12",54
"S100A14",54
"NPM1",56
"MCM3AP",56
"PLCB2",58
"PRKCG",58
"CACNA2D4",58
"CDC25A",59
"CKS1B",59
"FOXM1",59
"INCENP",59
"KIFC1",59
"PCNT",59
"PLK1",59
"PKMYT1",59
"POLD3",59
"TUBGCP2",59
"DYNC1LI1",59
"CAB39",59
"TACC3",59
"CENPH",59
"H2AFY",59
"RTN2",59
"SNCB",59
"CALML5",59
"CNTROB",59
"PLP2",60
"LST1",60
"VTN",60
"RAB5B",63
"RAB5C",63
