"node","cluster"
"ACHE",0
"ANXA11",0
"APLP1",0
"ARR3",0
"ASIP",0
"CACNA1A",0
"CDA",0
"CNGA2",0
"DAXX",0
"DBH",0
"DDX11",0
"FANCG",0
"NR5A1",0
"FFAR2",0
"GSS",0
"HLA-G",0
"HSPB1",0
"MSN",0
"NFKB2",0
"NPM1",0
"PITX1",0
"PLAUR",0
"POU3F4",0
"PPP2R5A",0
"PPP3CC",0
"S100A8",0
"SPARC",0
"SPI1",0
"STAT4",0
"STK11",0
"TFCP2",0
"UGP2",0
"ZP2",0
"PIAS1",0
"VAMP8",0
"HDAC3",0
"CLDN6",0
"PIGQ",0
"KCNQ4",0
"ZBED1",0
"ENTPD4",0
"POM121",0
"MPHOSPH6",0
"IFI30",0
"USP22",0
"TXN2",0
"ZBTB32",0
"DHH",0
"FIS1",0
"UBE2R2",0
"PRMT8",0
"NDRG2",0
"OR6N1",0
"RAPSN",0
"CPE",0
"F11R",0
"NDFIP1",0
"KCNK9",0
"PNMT",0
"CNDP2",0
"ZP3",0
"TJP3",0
"PIGL",0
"KCNH3",0
"CDON",0
"OR5A2",0
"ACTA1",2
"ACTA2",2
"ACTN4",3
"TMSB4X",3
"AP2A1",4
"NFATC4",4
"PPP1R1B",4
"ADCY1",5
"AKT1",5
"TLX1",5
"PAM",5
"HRK",5
"BBC3",5
"FRS3",5
"RASGRP2",5
"WAC",5
"ALOX5AP",6
"GGT1",6
"SPN",6
"BAD",11
"BID",11
"MCL1",11
"CAMK2A",13
"HAND1",13
"CD53",14
"GCLM",14
"PLP2",14
"SIGLEC1",14
"TBXAS1",14
"GSTM1",14
"PTTG1IP",15
"CD63",15
"CLCN7",15
"ECE1",15
"HLA-DMA",15
"TGOLN2",15
"OSBPL1A",15
"VPS37C",15
"STAB1",15
"CD22",16
"CD72",16
"CD79A",16
"SELL",16
"SLAMF1",16
"TRAF5",16
"VAV1",16
"TNFRSF13B",16
"CEBPA",18
"DBP",18
"BATF",18
"CKS1B",19
"RTN2",19
"COMT",21
"TH",21
"CRK",22
"CTF1",22
"IGF2R",22
"ITGA2B",22
"SLC3A2",22
"PGLYRP1",22
"EPN3",22
"THPO",22
"TIMM8A",26
"QRSL1",26
"ECHS1",27
"WDTC1",27
"TRPC4AP",27
"ADAMTS13",27
"EGR1",28
"IRF3",28
"FOXK1",28
"IRF2BP2",28
"FSHR",30
"HTR3A",30
"SCTR",30
"GATA2",32
"ZNF490",32
"ALAS2",35
"HBD",35
"HBE1",35
"HBZ",35
"SARDH",35
"HBQ1",35
"CYGB",35
"CSK",36
"DNM2",36
"HCK",36
"LIMK2",36
"SRMS",36
"TP73",36
"TYRO3",36
"PIM2",36
"LAT",36
"VTN",36
"HLA-DRA",37
"HLA-DRB1",37
"S100A6",37
"HRAS",39
