"node","cluster"
"ACHE",0
"AP2A1",0
"APLP1",0
"ARF1",0
"ASIP",0
"C8G",0
"CACNA1A",0
"CD68",0
"CTF1",0
"DBH",0
"DDX11",0
"ECHS1",0
"EPHB3",0
"FANCG",0
"NR5A1",0
"GJA8",0
"UTS2R",0
"HLA-G",0
"HTR4",0
"IRF7",0
"ITGA2B",0
"MSN",0
"NQO2",0
"PLAUR",0
"POU3F4",0
"PPP3CC",0
"S100A8",0
"SCTR",0
"SELL",0
"TFCP2",0
"UNG",0
"WNT10B",0
"ZP2",0
"NCK2",0
"VAMP8",0
"SQSTM1",0
"CLDN6",0
"PIGQ",0
"KCNQ4",0
"POM121",0
"RABAC1",0
"PIM2",0
"USP22",0
"KCNK9",0
"THOC2",0
"RAPSN",0
"SLC9A3R2",0
"F11R",0
"NDFIP1",0
"GIT1",0
"LCN1",0
"SPN",0
"FATE1",0
"KLC2",0
"DDA1",0
"LIM2",0
"SERINC2",0
"ZP3",0
"TJP3",0
"PIGL",0
"KCNH3",0
"ACTA1",2
"CHRNG",2
"ACTN4",3
"SLC34A1",3
"TMSB4Y",3
"ADCY1",4
"ARR3",4
"FSHR",4
"GRM4",4
"HTR3A",4
"NPY",4
"CXCR4",4
"RGS14",4
"ADM2",4
"NPW",4
"RASGRP2",4
"DCXR",4
"AKT1",6
"HSPB1",6
"IL7R",6
"ZNF148",6
"SYNGAP1",6
"CLSTN3",6
"KRT16",6
"EFS",6
"FRS3",6
"OPTC",6
"MICAL1",6
"BRSK1",6
"ALAS2",7
"DNAJB2",7
"ACP5",8
"ALOX5AP",8
"ANXA11",8
"CYBA",8
"TBXAS1",8
"BAD",12
"BID",12
"MCL1",12
"HRK",12
"BBC3",12
"CAMK2A",15
"HAND1",15
"CD7",17
"CD22",17
"CD72",17
"CD79A",17
"EMD",17
"PRRG2",17
"SIGLEC1",17
"TNF",17
"TRAF5",17
"VAV1",17
"CDA",18
"ENTPD4",18
"CEBPA",19
"DBP",19
"BATF",19
"COMT",20
"PNMT",20
"TH",20
"CRK",21
"HOXC4",21
"RASSF7",21
"PGLYRP1",21
"PTPRU",21
"CLCN7",25
"ECE1",25
"TGOLN2",25
"PHC1",27
"USP2",27
"ADAR",28
"BST2",28
"EGR1",28
"GTF2F1",28
"IFIT2",28
"IRF3",28
"UBE2V1",28
"ZBTB32",28
"IRF2BP2",28
"GATA2",32
"PITX1",32
"SPI1",32
"FFAR2",35
"RGS2",35
"CD53",36
"GGT1",36
"GSS",36
"PEPD",36
"SCLY",36
"HBD",37
"HBE1",37
"HBZ",37
"HBQ1",37
"CYGB",37
"CSK",38
"DNM2",38
"HCK",38
"HLA-DRA",39
"S100A6",39
"CD63",40
"HK3",40
"HLA-DMA",40
"HLA-DQA2",40
"HLA-DRB1",40
"IFI30",40
"EPN3",40
"OSBPL1A",40
"KIR2DL1",40
"HRAS",42
"PAM",42
"SOS1",42
"LPIN2",42
"ARHGEF16",42
"FGD3",42
"TNK2",42
"TMEM115",42
"CNTFR",44
"IL6R",44
"CTSL",45
"IRF2",45
"GDF15",45
"ANXA5",48
"LAMA5",48
"IGF2R",49
"LAMP1",49
"SLC1A5",49
"SLC3A2",49
"VPS28",49
"PDXP",49
"BET1L",49
"RNF149",49
"DNAJC5",49
"ABCA7",49
"FADS3",50
"LSS",50
"MSX1",52
"STAT4",52
"WAC",52
"COX7C",53
"TIMM8A",53
"GLUD2",53
"IDH2",53
"MDH2",53
"NDUFA3",53
"NDUFB7",53
"NDUFB10",53
"NDUFV1",53
"MRPS12",53
"SDHC",53
"UQCRC2",53
"CLPP",53
"NIPSNAP1",53
"COX7A2L",53
"COX5A",53
"CCS",53
"TXN2",53
"TIMM13",53
"UQCRQ",53
"APEX2",53
"FIS1",53
"CHCHD2",53
"NDUFB11",53
"MRPL16",53
"MRPL17",53
"MRPS24",53
"MRPL52",53
"SARDH",53
"CHCHD4",53
"JOSD1",53
"ACAD9",53
"NDUFS7",53
"ALKBH7",53
"QRSL1",53
"SDSL",53
"MARCKSL1",53
"NFKB2",54
"TYRO3",54
"PCGF6",54
"TRIM46",54
"TSC22D3",55
"NFKBIB",55
"S100A12",55
"S100A14",55
"NPM1",57
"MCM3AP",57
"PLCB2",59
"PRKCG",59
"CACNA2D4",59
"CDC25A",60
"CKS1B",60
"DYNC1H1",60
"FOXM1",60
"INCENP",60
"KIFC1",60
"PCNT",60
"PLK1",60
"RANGAP1",60
"PKMYT1",60
"POLD3",60
"TUBGCP2",60
"DYNC1LI1",60
"CAB39",60
"TACC3",60
"CENPH",60
"H2AFY",60
"RTN2",60
"SNCB",60
"CALML5",60
"CNTROB",60
"PLP2",61
"LST1",61
"VTN",61
"RAB5B",64
