"node","cluster"
"ACHE",1
"ANXA11",1
"APLP1",1
"ASIP",1
"CACNA1A",1
"CDA",1
"CNGA2",1
"DAXX",1
"DBH",1
"DDX11",1
"FANCG",1
"NR5A1",1
"GATA2",1
"FFAR2",1
"GSS",1
"HINT1",1
"HLA-G",1
"HSPB1",1
"MSN",1
"NFKB2",1
"PLAUR",1
"POU3F4",1
"PPP2R5A",1
"PPP3CC",1
"S100A8",1
"SPARC",1
"SPI1",1
"STAT4",1
"TFCP2",1
"TRAF5",1
"UGP2",1
"WNT3",1
"ZP2",1
"NIPSNAP1",1
"PIAS1",1
"VAMP8",1
"CLDN6",1
"PIGQ",1
"KCNQ4",1
"ZBED1",1
"ENTPD4",1
"POM121",1
"MPHOSPH6",1
"USP22",1
"ZBTB32",1
"GEMIN4",1
"DHH",1
"FIS1",1
"UBE2R2",1
"NDRG2",1
"OR6N1",1
"S100A6",1
"CPE",1
"F11R",1
"NDFIP1",1
"RNF149",1
"KCNK9",1
"PNMT",1
"CNDP2",1
"ZP3",1
"TJP3",1
"PIGL",1
"KCNH3",1
"CDON",1
"OR5A2",1
"ACTA1",2
"ACTA2",2
"ACTN4",3
"TMSB4X",3
"ADAMTS13",3
"AP2A1",4
"NFATC4",4
"PPP1R1B",4
"ADCY1",5
"AKT1",5
"TLX1",5
"MYT1",5
"PAM",5
"HRK",5
"BBC3",5
"SNCB",5
"CALML5",5
"BRSK1",5
"CNTROB",5
"TMEM115",5
"WAC",5
"ALOX5AP",6
"GGT1",6
"SPN",6
"BAD",7
"BID",7
"MCL1",7
"CAMK2A",8
"HAND1",8
"CD53",9
"PLP2",9
"SIGLEC1",9
"TBXAS1",9
"GSTM1",9
"PTTG1IP",10
"CD63",10
"CLCN7",10
"ECE1",10
"TGOLN2",10
"VPS37C",10
"STAB1",10
"CD22",11
"CD72",11
"CD79A",11
"EMD",11
"PRRG2",11
"SELL",11
"SLAMF1",11
"TNFRSF13B",11
"CEBPA",12
"DBP",12
"BATF",12
"CKS1B",13
"RTN2",13
"COMT",14
"TH",14
"CRK",15
"CTF1",15
"ITGA2B",15
"PGLYRP1",15
"EPN3",15
"TIMM8A",16
"QRSL1",16
"ECHS1",17
"WDTC1",17
"TRPC4AP",17
"EGR1",18
"IRF3",18
"FOXK1",18
"IRF2BP2",18
"FSHR",19
"HTR3A",19
"SCTR",19
"UTS2R",20
"PROK2",20
"ALAS2",21
"HBD",21
"HBE1",21
"HBZ",21
"SARDH",21
"HBQ1",21
"CYGB",21
"CSK",22
"DNM2",22
"HCK",22
"LIMK2",22
"SRMS",22
"TP73",22
"TYRO3",22
"PIM2",22
"LAT",22
"VTN",22
"CTSL",23
"HLA-DMA",23
"OSBPL1A",23
"HLA-DRA",24
"HLA-DRB1",24
"KIR2DL1",24
"HRAS",25
"TNK2",25
"ARR3",26
"HTR4",26
"ADM2",26
"DCXR",26
"IGF2R",27
"SLC3A2",27
"ADAR",28
"BST2",28
"GTF2F1",28
"IFIT2",28
"IRF2",28
"IRF7",28
"DYRK1B",28
"GDF15",28
"CHRNG",29
"LAMA5",29
"CYBA",30
"LAMP1",30
"SLC1A5",30
"VPS28",30
"BET1L",30
"TBC1D2B",30
"MSX1",31
"POU3F1",31
"SIX3",31
"COX7C",32
"FHIT",32
"GLUD2",32
"IDH2",32
"MDH2",32
"NDUFA3",32
"NDUFB7",32
"NDUFB10",32
"NDUFV1",32
"SDHC",32
"UQCRC2",32
"CLPP",32
"COX5A",32
"CCS",32
"TIMM13",32
"UQCRQ",32
"CHCHD2",32
"NDUFB11",32
"CHCHD4",32
"JOSD1",32
"NDUFS7",32
"SDSL",32
"NPM1",33
"IFI30",33
"GCLM",34
"PEPD",34
"SCLY",34
"PITX1",35
"ZNF490",35
"PLCB3",36
"RGS2",36
"SLC34A1",36
"CDC25A",37
"CSNK1E",37
"FOXM1",37
"INCENP",37
"KIFC1",37
"PCNT",37
"PLK1",37
"STK11",37
"PKMYT1",37
"POLD3",37
"TUBGCP2",37
"DYNC1LI1",37
"CAB39",37
"SERPINB5",37
"ST14",37
"SPHK1",37
"PLEKHO1",37
"SYTL1",37
"TACC3",37
"CENPH",37
"H2AFY",37
"RAB5B",38
"RAB5C",38
"USP11",38
"RAB11B",38
"UBL5",38
"RASGRP2",38
"ANXA5",39
"ARF1",39
"ASL",39
"ASNA1",39
"ZFP36L1",39
"CSNK2B",39
"DYNC1H1",39
"EEF1G",39
"EEF2",39
"EIF4A2",39
"EIF5A",39
"ELAVL3",39
"ELF4",39
"EXT2",39
"FAU",39
"FLII",39
"FRG1",39
"GNAI2",39
"GNB1",39
"GNB2",39
"GNL1",39
"GTF2H4",39
"GYS1",39
"HK3",39
"HMGN2",39
"MARS",39
"MSI1",39
"MYL6",39
"NQO2",39
"NONO",39
"PCBP1",39
"PCBP2",39
"PFDN1",39
"PFDN2",39
"PGK1",39
"POLR2L",39
"PPIB",39
"PSMA4",39
"PSMA7",39
"PSMB4",39
"PSMC4",39
"RANGAP1",39
"RPL4",39
"RPL7",39
"RPL8",39
"RPL10",39
"RPL11",39
"RPL15",39
"RPL18",39
"RPL30",39
"RPL27A",39
"RPL32",39
"RPL36AL",39
"RPL37",39
"RPL37A",39
"RPL41",39
"RPLP0",39
"RPLP2",39
"MRPS12",39
"RPN1",39
"RPS2",39
"RPS9",39
"RPS21",39
"RPS23",39
"RRM2",39
"SET",39
"SH3GL1",39
"TBCA",39
"UNG",39
"SF3A2",39
"RBM10",39
