"node","cluster"
"ACHE",1
"AP2A1",1
"ALAS2",1
"APLP1",1
"ARF1",1
"ASIP",1
"C8G",1
"CACNA1A",1
"CHRNG",1
"DDX11",1
"ECE1",1
"PHC1",1
"MSX1",1
"MYOG",1
"NFKB2",1
"NQO2",1
"PLAUR",1
"POR",1
"POU3F4",1
"PPP3CC",1
"S100A8",1
"SELL",1
"STAT4",1
"SURF4",1
"TBCA",1
"TBX5",1
"TFCP2",1
"TSC2",1
"UNG",1
"ZP2",1
"RIPK1",1
"PIGQ",1
"USP2",1
"KCNQ4",1
"NUBP2",1
"APEX2",1
"ANAPC2",1
"FIS1",1
"VPS28",1
"UBE2R2",1
"THOC2",1
"RAPSN",1
"F11R",1
"NDFIP1",1
"LCN1",1
"RNF149",1
"DDA1",1
"TNIP1",1
"ZP3",1
"PIGL",1
"KCNH3",1
"ACTA1",2
"KLF6",2
"ACTN4",3
"TMSB4X",3
"VEGFB",3
"STAB1",3
"ADCY1",4
"FSHR",4
"GRM4",4
"HTR3A",4
"HTR4",4
"NPY",4
"SCTR",4
"CXCR4",4
"RGS14",4
"ADM2",4
"NPW",4
"DCXR",4
"AKT1",5
"HSPB1",5
"IL7R",5
"LAMA5",5
"PAM",5
"ZNF148",5
"SOCS1",5
"PIAS3",5
"SLC44A4",5
"SLC9A3R2",5
"HRK",5
"PIM2",5
"SYNGAP1",5
"CLSTN3",5
"KRT16",5
"TAL1",5
"EFS",5
"FRS3",5
"FASTK",5
"MICAL1",5
"RASGRP2",5
"BRSK1",5
"THPO",5
"DIRAS3",5
"TMEM115",5
"ALOX5AP",6
"ANXA11",6
"RHOG",7
"LPIN2",7
"RHOBTB1",7
"SH3BP1",7
"ARHGEF16",7
"ARHGAP17",7
"PDXP",7
"ARHGAP9",7
"FGD3",7
"RHOT2",7
"BAD",8
"BID",8
"EIF4EBP1",8
"MCL1",8
"NFATC4",8
"BBC3",8
"PPP1R1B",8
"CAMK2A",9
"LIMD1",9
"HAND1",9
"AMBP",10
"CD22",10
"SLAMF1",10
"CD68",11
"ADAMTS13",11
"CD72",12
"CD79A",12
"EMD",12
"TRAF5",12
"VAV1",12
"TNFSF13",12
"TNFRSF13B",12
"CEBPA",13
"DBP",13
"ZBTB32",13
"CRK",14
"CSK",14
"CTF1",14
"DNM2",14
"GP9",14
"HOXC4",14
"GIT1",14
"LAT",14
"PTPRU",14
"COMT",15
"DBH",15
"ECHS1",16
"ALKBH7",16
"EGR1",17
"GTF2F1",17
"DLX5",18
"FGF8",18
"MFNG",18
"GATA2",19
"SPI1",19
"BATF",19
"GNB1",20
"GNB2",20
"CACNA2D4",20
"GCLM",21
"GSS",21
"PEPD",21
"SCLY",21
"GSTM1",21
"HBD",22
"HBE1",22
"HBZ",22
"SARDH",22
"HBQ1",22
"CYGB",22
"HCK",23
"PLP2",23
"TP73",23
"PSTPIP1",23
"VTN",23
"CD63",24
"HK3",24
"HLA-DMA",24
"HLA-DQA2",24
"HLA-DRA",24
"HLA-DRB1",24
"HLA-G",24
"VAMP8",24
"IFI30",24
"S100A6",24
"TBXAS1",24
"LST1",24
"OSBPL1A",24
"KIR2DL1",24
"DAXX",25
"GNAI2",25
"HRAS",25
"SLC34A1",25
"TNK2",25
"BST2",26
"IRF2",26
"ADAR",27
"IFIT2",27
"IRF3",27
"IRF7",27
"UBE2V1",27
"GDF15",27
"IRF2BP2",27
"IGF2R",28
"LAMP1",28
"SLC1A5",28
"SLC3A2",28
"ATP6V1F",28
"BET1L",28
"TGOLN2",28
"DNAJC5",28
"FADS3",29
"LSS",29
"PLA2G2F",29
"CD7",30
"CD53",30
"MSN",30
"SIGLEC1",30
"CRTAP",30
"ASL",31
"COX7C",31
"TIMM8A",31
"FHIT",31
"GYS1",31
"HINT1",31
"DNAJB2",31
"IDH2",31
"MDH2",31
"NDUFA3",31
"NDUFB7",31
"NDUFB10",31
"NDUFV1",31
"SDHC",31
"UQCRC2",31
"CLPP",31
"COX7A2L",31
"COX5A",31
"CCS",31
"ZNHIT1",31
"TXN2",31
"DHRS7B",31
"UQCRQ",31
"CHCHD2",31
"NDUFB11",31
"MRPS24",31
"ISYNA1",31
"CHCHD4",31
"ACAD9",31
"NDUFS7",31
"NPM1",32
"GEMIN7",32
"CDC25A",33
"CKS1B",33
