"node","cluster"
"ACHE",0
"ACTA1",0
"ACTN4",0
"APLP1",0
"ASIP",0
"C8G",0
"CD72",0
"CHRNG",0
"DDX11",0
"ECE1",0
"EGR1",0
"NR5A1",0
"GJA8",0
"GYS1",0
"HINT1",0
"HLA-G",0
"ITGA2B",0
"LAMA5",0
"MYOG",0
"NQO2",0
"POR",0
"PPP3CC",0
"S100A8",0
"SLC1A5",0
"STAT4",0
"TBX5",0
"TFCP2",0
"TSC2",0
"VAV1",0
"WNT3",0
"ZP2",0
"RIPK1",0
"PIGQ",0
"KCNQ4",0
"POM121",0
"NUBP2",0
"GABARAP",0
"APEX2",0
"ANAPC2",0
"FIS1",0
"VPS28",0
"KCNK9",0
"THOC2",0
"RAPSN",0
"SLC9A3R2",0
"F11R",0
"NDFIP1",0
"GIT1",0
"LCN1",0
"RNF149",0
"PCGF6",0
"KLC2",0
"DDA1",0
"LIM2",0
"TNIP1",0
"ZP3",0
"PIGL",0
"KCNH3",0
"UNC93A",0
"AKT1",4
"HSPB1",4
"PAM",4
"UGP2",4
"ZNF148",4
"PIAS3",4
"SLC44A4",4
"HRK",4
"PIM2",4
"SYNGAP1",4
"CLSTN3",4
"FRS3",4
"RASGRP2",4
"NUMA1",4
"PADI4",4
"KCTD17",4
"BRSK1",4
"THPO",4
"DIRAS3",4
"TMEM115",4
"ALAS2",5
"AGPAT1",5
"ALOX5AP",6
"ANXA11",6
"PLP2",6
"AP2A1",8
"ARF1",8
"RHOG",9
"DNAJB2",9
"LPIN2",9
"RHOBTB1",9
"ARHGEF16",9
"ARHGAP17",9
"ARHGAP9",9
"FGD3",9
"RHOT2",9
"ATP6AP1",11
"BRI3",11
"BAD",12
"BID",12
"EIF4EBP1",12
"MCL1",12
"SOCS1",12
"BBC3",12
"CACNA1A",14
"HK3",14
"CAMK2A",15
"LIMD1",15
"HAND1",15
"CD68",16
"ADAMTS13",16
"CD79A",18
"EMD",18
"SLAMF1",18
"CEBPA",19
"ZBTB32",19
"CRK",21
"CSK",21
"CTF1",21
"DNM2",21
"GP9",21
"HOXC4",21
"LAT",21
"PTPRU",21
"ACP5",22
"CYBA",22
"COMT",23
"DBH",23
"ECHS1",26
"ALKBH7",26
"DLX5",28
"FGF8",28
"DBP",30
"GATA2",30
"SPI1",30
"BATF",30
"EPHB3",32
"GNAI2",32
"PPFIA3",32
"CAMKK2",32
"GNB1",33
"GNB2",33
"NFATC4",33
"PPP1R1B",33
"GRN",34
"CACNA2D4",34
"GCLM",35
"GSS",35
"PEPD",35
"SCLY",35
"ACAD9",35
"GSTM1",35
"HBD",37
"HBE1",37
"HBZ",37
"SARDH",37
"HBQ1",37
"CYGB",37
"HCK",38
"TP73",38
"PSTPIP1",38
"VTN",38
"CD63",40
"HLA-DMA",40
"HLA-DQA2",40
"HLA-DRA",40
"HLA-DRB1",40
"VAMP8",40
"IFI30",40
"S100A6",40
"TBXAS1",40
"LST1",40
"OSBPL1A",40
"KIR2DL1",40
"HRAS",42
"TNK2",42
"ADCY1",43
"FSHR",43
"GRM4",43
"HTR3A",43
"HTR4",43
"NPY",43
"SCTR",43
"CXCR4",43
"RGS14",43
"ADM2",43
"NPW",43
"DCXR",43
"IGF2R",44
"SLC3A2",44
"BET1L",44
"ADAR",45
"BST2",45
"IFIT2",45
"IRF2",45
"IRF3",45
"IRF7",45
"UBE2V1",45
"IRF2BP2",45
"LAMP1",48
"ATP6V1F",48
"DNAJC5",48
"FADS3",49
"LSS",49
"PLA2G2F",49
"CD7",50
"CD53",50
"MSN",50
"SLC34A1",50
"SIGLEC1",50
"MSX1",51
"GBX2",51
"ASL",53
"COX7C",53
"TIMM8A",53
"GLUD2",53
"IDH2",53
"MDH2",53
"NDUFA3",53
"NDUFB7",53
"NDUFB10",53
"NDUFV1",53
"SDHC",53
"UQCRC2",53
"COX7A2L",53
"COX5A",53
"CCS",53
"ZNHIT1",53
"TXN2",53
"DHRS7B",53
"UQCRQ",53
"CHCHD2",53
"NDUFB11",53
"CHCHD4",53
"NDUFS7",53
"BCL3",54
"NFKB2",54
"TNF",54
"TYRO3",54
"TRIM46",54
"NPM1",56
"GEMIN7",56
"PLAUR",57
"TGOLN2",57
"UTS2R",58
"FFAR2",58
"PLCB2",58
"PLCB3",58
"PRKCG",58
"RGS2",58
"NIPSNAP1",58
"PIP5K1C",58
"PROK2",58
"CDC25A",59
"CKS1B",59
"DYNC1H1",59
"FANCG",59
"FOXM1",59
"INCENP",59
"KIFC1",59
"PCNT",59
"PLK1",59
"PKMYT1",59
"POLD3",59
"NUDC",59
"TUBGCP2",59
"DYNC1LI1",59
"CAB39",59
"NDRG2",59
"TACC3",59
"CENPH",59
"SHKBP1",59
"H2AFY",59
"SNCB",59
"CALML5",59
"CNTROB",59
"CLCN7",62
"EXT2",62
"RAB5B",62
"RAB5C",62
"SURF4",62
"RAB11B",62
"BIN2",62
"SMAP1",62
"ARFRP1",62
"YIF1B",62
"ORMDL3",62
"VPS37C",62
"ABCA7",62
"SDSL",62
"ANXA5",63
"ASNA1",63
"ZFP36L1",63
"PTTG1IP",63
"ENTPD2",63
"CSNK2B",63
"DDOST",63
"EEF1G",63
"EEF2",63
"EIF4A2",63
"EIF5A",63
"ELF4",63
"FAU",63
"FRG1",63
"GNL1",63
"GTF2F1",63
"GTF2H4",63
"HMGN2",63
"LIMK2",63
"MARS",63
"MSI1",63
"MYL6",63
"NONO",63
"P2RY11",63
"PCBP1",63
"PCBP2",63
"PFDN2",63
"PGK1",63
"POLR2L",63
"PPIB",63
"PPP2R5A",63
"PSMA4",63
"PSMA7",63
"PSMB4",63
"PSMC4",63
"RANGAP1",63
"RPL4",63
"RPL7",63
"RPL8",63
"RPL10",63
"RPL11",63
"RPL15",63
"RPL18",63
"RPL30",63
"RPL27A",63
"RPL32",63
"RPL37",63
"RPL37A",63
"RPL41",63
"RPLP0",63
"RPLP2",63
"MRPS12",63
"RPN1",63
"RPS2",63
"RPS9",63
"RPS21",63
"RPS23",63
"RRM2",63
"SET",63
"SH3GL1",63
"TBCA",63
"UNG",63
"SLC39A7",63
"SF3A2",63
"CLPP",63
"RBM10",63
"HIST1H2AC",63
"STK24",63
"TPST2",63
"KHSRP",63
"EIF4G3",63
"RPL14",63
"ZBED1",63
"LPXN",63
"MPHOSPH6",63
"NPM3",63
"PRMT5",63
"MYBBP1A",63
"OS9",63
"RPL35",63
"PDAP1",63
"DHX30",63
"EXOSC7",63
"PSME4",63
"DNAJC9",63
"SMG6",63
"HARS2",63
"RPL13A",63
"KPNA6",63
"GSPT2",63
"TIMM13",63
"INVS",63
"CPSF1",63
"PYCR2",63
"SEC61A1",63
"EXOSC3",63
"DPH5",63
"LSM7",63
"PAF1",63
"MRPL16",63
"CTNNBL1",63
"PRMT8",63
"PPAN",63
"EXOSC5",63
"XAB2",63
"PDXP",63
"PLSCR3",63
"LSM2",63
"MRPL17",63
"CHTF18",63
"MRPS24",63
"PDCL3",63
"MUS81",63
"RBM4B",63
"FTSJ3",63
"MRPL52",63
"TRAPPC5",63
"TUBB",63
"HIST1H2AA",63
"TUBB2B",63
"USP5",63
"ISYNA1",63
"ANP32E",63
"TSEN54",63
"ZNF598",63
"JOSD1",63
"MRPL21",63
"PCBP3",63
"DYRK2",63
"REEP4",63
"QRSL1",63
"PQBP1",63
"DUSP23",63
"CHDH",63
"PAIP2",63
"PPRC1",63
"SIGIRR",63
"THOC6",63
"DTX3L",63
"CD22",65
"SELL",65
"MFNG",66
"POU3F1",66
"SIX3",66
"SMARCD3",68
"ALX4",68
"CNTFR",69
"SOS1",69
"SH3BP1",69
"KRT16",69
"EFS",69
"FASTK",69
"MICAL1",69
"ACTA2",70
"KLF6",70
"TSC22D3",70
"PITX1",70
"SALL2",70
"SP1",70
"SRF",70
"THRA",70
"ITGB4",71
"PF4",71
"SPARC",71
"TMSB4X",71
"TRIM3",71
"CRTAP",71
"ARRB2",72
"CSF3R",72
"IL6R",72
"IL7R",72
"RELB",72
"STAT3",72
"STAT5A",72
"DGCR6",72
"SERPINB5",72
"ST14",72
"SPHK1",72
"SYTL1",72
"RASL10B",72
"TAL1",72
"GDF15",72
"ZFPM1",72
"ADAM15",72
"IL32",72
"WAC",72
"CSNK1E",74
"STK11",74
"DYRK1B",74
"FTL",76
"MEF2D",76
"PHF1",76
"TFAP4",76
"NES",76
"MYL2",78
"MYL3",78
"TNNI1",78
"TNNI2",78
"TNNT2",78
"TNNT3",78
"TPM2",78
"TMSB4Y",78
"TCAP",78
"VEGFB",81
"VWF",81
"STAB1",81
"WNT10B",83
"WNT11",83
"USP11",85
"WDR6",85
"FOXK1",85
"KIF1A",86
"NCK2",86
"ARPC4",86
"DAXX",87
"IL13",87
"PIAS1",87
"MYT1",89
"ZNF35",89
