"node","cluster"
"ACHE",1
"ACTN4",1
"ALAS2",1
"APLP1",1
"ARF1",1
"ARR3",1
"ASIP",1
"CACNA1A",1
"CKS1B",1
"DAXX",1
"DBH",1
"DDX11",1
"TIMM8A",1
"FANCG",1
"NR5A1",1
"HLA-G",1
"HTR4",1
"MSN",1
"NFKB2",1
"NQO2",1
"PLAUR",1
"POU3F4",1
"PPP2R5A",1
"PPP3CC",1
"RELB",1
"S100A8",1
"SPARC",1
"SPI1",1
"STAT4",1
"STK11",1
"WNT3",1
"ZP2",1
"NIPSNAP1",1
"PIAS1",1
"CLDN6",1
"PIGQ",1
"KCNQ4",1
"ZBED1",1
"POM121",1
"MPHOSPH6",1
"USP22",1
"ZBTB32",1
"GEMIN4",1
"DHH",1
"FIS1",1
"KCNK9",1
"NDUFB11",1
"UBE2R2",1
"PRMT8",1
"OR6N1",1
"F11R",1
"NDFIP1",1
"CNDP2",1
"ZP3",1
"TJP3",1
"PIGL",1
"KCNH3",1
"CDON",1
"OR5A2",1
"ACTA1",2
"CHRNG",2
"LAMA5",2
"AP2A1",3
"NFATC4",3
"PPP1R1B",3
"AKT1",4
"TLX1",4
"HSPB1",4
"PAM",4
"PIM2",4
"HRK",4
"BBC3",4
"FRS3",4
"ALOX5AP",5
"ANXA11",5
"CYBA",5
"RHOG",6
"RHOBTB1",6
"ARHGEF16",6
"ARHGAP9",6
"FGD3",6
"RHOT2",6
"BAD",7
"BID",7
"MCL1",7
"CAMK2A",8
"HAND1",8
"CD7",9
"CD53",9
"GCLM",9
"SIGLEC1",9
"TBXAS1",9
"GSTM1",9
"PTTG1IP",10
"CD63",10
"CLCN7",10
"ECE1",10
"TGOLN2",10
"VPS37C",10
"STAB1",10
"CD22",11
"CD72",11
"CD79A",11
"EMD",11
"PRRG2",11
"SELL",11
"SLAMF1",11
"TRAF5",11
"VAV1",11
"TNFRSF13B",11
"CDA",12
"ENTPD4",12
"CEBPA",13
"DBP",13
"BATF",13
"CNGA2",14
"UNC93A",14
"COMT",15
"PNMT",15
"TH",15
"CRK",16
"CSK",16
"CTF1",16
"GP9",16
"ITGA2B",16
"SOS1",16
"PGLYRP1",16
"PSTPIP1",16
"LPIN2",16
"EPN3",16
"LAT",16
"THPO",16
"ADAMTS13",16
"ECHS1",17
"WDTC1",17
"TRPC4AP",17
"EGR1",18
"GTF2F1",18
"IRF3",18
"FOXK1",18
"IRF2BP2",18
"ADCY1",19
"ARRB2",19
"FSHR",19
"HTR3A",19
"SCTR",19
"ADM2",19
"DCXR",19
"GATA2",20
"ZNF490",20
"FFAR2",21
"PLCB2",21
"PRKCG",21
"PROK2",21
"GGT1",22
"GSS",22
"HBD",23
"HBE1",23
"HBZ",23
"SARDH",23
"HBQ1",23
"CYGB",23
"DNM2",24
"HCK",24
"LIMK2",24
"SRMS",24
"TP73",24
"HLA-DRA",25
"S100A6",25
"HLA-DMA",26
"HLA-DQA2",26
"HLA-DRB1",26
"IFI30",26
"OSBPL1A",26
"KIR2DL1",26
"HRAS",27
"TNK2",27
"TMEM115",27
"ADAR",28
"BST2",28
"IFIT2",28
"IRF2",28
"IRF7",28
"DYRK1B",28
"GDF15",28
"IGF2R",29
"LAMP1",29
"SLC1A5",29
"SLC3A2",29
"VPS28",29
"BET1L",29
"RNF149",29
"VTN",29
"TBC1D2B",29
"FGF8",30
"MFNG",30
"MSX1",30
"POU3F1",30
"SIX3",30
"MYOG",31
"NFKBIB",31
"S100A12",31
"S100A14",31
"COX7C",32
"NDUFA3",32
"NDUFB7",32
"NDUFB10",32
"NDUFV1",32
"SDHC",32
"UQCRC2",32
"CLPP",32
"COX5A",32
"CCS",32
"UQCRQ",32
"CHCHD2",32
"CHCHD4",32
"JOSD1",32
"NDUFS7",32
"HK3",33
"NPM1",33
"UNG",33
"PEPD",34
"SCLY",34
"UTS2R",35
"PLCB3",35
"RGS2",35
"SLC34A1",35
"CDC25A",36
"CSNK1E",36
"FOXM1",36
"INCENP",36
"KIFC1",36
"PCNT",36
"PLK1",36
"PKMYT1",36
"POLD3",36
"TUBGCP2",36
"DYNC1LI1",36
"CAB39",36
"SERPINB5",36
"ST14",36
"SPHK1",36
"PLEKHO1",36
"SYTL1",36
"TACC3",36
"CENPH",36
"H2AFY",36
"RTN2",36
"SNCB",36
"CALML5",36
"CNTROB",36
"RAB5B",37
"RAB5C",37
"UBL5",37
"ANXA5",38
"ASL",38
"ASNA1",38
"ZFP36L1",38
"ENTPD2",38
"KLF6",38
"CSNK2B",38
"DDOST",38
"DYNC1H1",38
"EEF1G",38
"EEF2",38
"EIF4A2",38
"EIF5A",38
"ELAVL3",38
"ELF4",38
"EXT2",38
"FAU",38
"FHIT",38
"FLII",38
"FRG1",38
"GLUD2",38
"GNAI2",38
"GNB1",38
"GNB2",38
"GNL1",38
"GTF2H4",38
"GYS1",38
"HINT1",38
"HMGN2",38
"IDH2",38
"MARS",38
"MDH2",38
"MSI1",38
"MYL6",38
"NONO",38
"P2RY11",38
"PCBP1",38
"PCBP2",38
"PFDN1",38
"PFDN2",38
"PGK1",38
"POLR2L",38
"PPIB",38
"PSMA4",38
"PSMA7",38
"PSMB4",38
"PSMC4",38
"RANGAP1",38
"RPL4",38
"RPL7",38
"RPL8",38
"RPL10",38
"RPL11",38
"RPL15",38
"RPL18",38
"RPL30",38
"RPL27A",38
"RPL32",38
"RPL36AL",38
"RPL37",38
"RPL37A",38
"RPL41",38
"RPLP0",38
"RPLP2",38
"MRPS12",38
"RPN1",38
"RPS2",38
"RPS9",38
"RPS21",38
"RPS23",38
"RRM2",38
"SET",38
"SH3GL1",38
"TBCA",38
"UGP2",38
"SLC39A7",38
"SF3A2",38
"USP11",38
"RBM10",38
"HIST1H2AC",38
"STK24",38
"TPST2",38
"KHSRP",38
"EIF4G3",38
