"node","cluster"
"ABCA4",1
"CBL",1
"CDC34",1
"CHRM1",1
"LDLR",1
"POU2F1",1
"PYCR1",1
"OR1E1",1
"CDT1",1
"DERL3",1
"ABCB11",1
"SAMM50",1
"CD79B",1
"FBXL2",1
"PELI3",1
"SNX17",1
"HIST1H2BN",1
"OR5C1",1
"SERINC5",1
"ALAS2",2
"ARRB1",2
"ACADS",3
"BCS1L",3
"TXNRD2",3
"IRAK2",4
"MAP3K14",4
"RAC3",5
"PLEKHG5",5
"NRBP1",5
"CLEC1B",5
"ARHGAP10",5
"DYNC1I1",6
"SPTBN2",6
"UCHL1",7
"HIST1H2AK",7
"HBD",8
"GNMT",8
"SP1",9
"VDR",9
"LAMB2",10
"F2RL3",10
"RILP",11
"SPTBN4",11
"IDH3B",12
"SUPT5H",12
"ADSSL1",12
"DGCR8",13
"LMNB2",13
