"node","cluster"
"CBL",0
"CDC34",0
"CHRM1",0
"LDLR",0
"POU2F1",0
"PYCR1",0
"SLC35D2",0
"CDT1",0
"DERL3",0
"ABCB11",0
"SAMM50",0
"CD79B",0
"FBXL2",0
"PELI3",0
"SNX17",0
"HIST1H2BN",0
"B3GNT7",0
"SERINC5",0
"ALAS2",1
"ARRB1",1
"DYNC1I1",5
"SPTBN4",5
"ACADS",6
"BCS1L",6
"IDH3B",6
"TXNRD2",6
"SUPT5H",6
"ADSSL1",6
"IRAK2",7
"MAP3K14",7
"RAC3",11
"PLEKHG5",11
"SPTBN2",12
"RILP",12
"UCHL1",13
"HIST1H2AK",13
"OR1E1",14
"OR1J2",14
"OR5C1",14
"ABCA4",15
"LY6D",15
"DGCR8",19
"LMNB2",19
"HBD",24
"GNMT",24
"LAMB2",27
"F2RL3",27
"SP1",30
"VDR",30
"MYO1A",31
"NRBP1",31
"CLEC1B",31
"ARHGAP10",31
