"node","cluster"
"ABCA4",0
"CBL",0
"CDC34",0
"CHRM1",0
"LDLR",0
"POU2F1",0
"PYCR1",0
"SLC35D2",0
"CDT1",0
"DERL3",0
"ABCB11",0
"SAMM50",0
"CD79B",0
"FBXL2",0
"PELI3",0
"SNX17",0
"HIST1H2BN",0
"B3GNT7",0
"SERINC5",0
"ALAS2",2
"ARRB1",2
"ACADS",3
"BCS1L",3
"TXNRD2",3
"IDH3B",7
"SUPT5H",7
"ADSSL1",7
"IRAK2",8
"MAP3K14",8
"MYO1A",12
"RAC3",12
"PLEKHG5",12
"NRBP1",12
"CLEC1B",12
"ARHGAP10",12
"DYNC1I1",13
"SPTBN2",13
"RILP",13
"SPTBN4",13
"UCHL1",14
"HIST1H2AK",14
"OR1E1",15
"OR1J2",15
"OR5C1",15
"DGCR8",18
"LMNB2",18
"HBD",23
"GNMT",23
"SP1",26
"VDR",26
"LAMB2",27
"F2RL3",27
