"node","cluster"
"PIGQ",1
"TFAP4",1
"USP11",1
"MT4",1
"ZP2",1
"C8G",1
"PIGL",1
"HAND1",1
"NCK2",1
"GRIN3B",1
"RGS2",1
"SELL",1
"EGR1",1
"NPY",1
"CLPP",1
"PHC1",1
"CD63",1
"USP22",1
"LPIN2",1
"ZBTB32",1
"ABCA7",1
"P2RX3",1
"PAIP2",1
"PPIB",1
"IL13",1
"IL7R",1
"GABARAP",1
"DRAP1",1
"DLGAP1",1
"ARFRP1",1
"MDH2",1
"GLUD2",1
"EPHB3",1
"ALAS2",1
"PPFIA3",1
"KIR2DL1",1
"KCNE1",1
"PLAUR",1
"TCF7",1
"EIF4EBP1",1
"PYCR2",1
"GATA2",1
"PRODH",1
"ECHS1",1
"NKX6-2",1
"S100A8",1
"LCE2A",1
"ATP6AP1",1
"EMD",1
"ZNF503",1
"SET",1
"POU3F1",1
"NR5A1",1
"SLC3A2",1
"SOS1",1
"DLG5",1
"USP5",1
"MT1X",1
"ZP3",1
"KHSRP",1
"EIF4G3",1
"SLC25A23",1
"GRIK5",1
"LY6H",1
"TBX1",1
"DDX11",1
"FXYD2",1
"SCNN1D",1
"FOXH1",1
"SLC1A5",1
"DOC2A",1
"ATP6V1F",1
"MPZ",1
"LCE2C",1
"SAMD8",1
"TIMM13",2
"JOSD1",2
"CD22",3
"CD79A",3
"CD72",3
"VTN",4
"LCN1",4
"TXN2",5
"SPI1",5
"TAL1",5
"SOX14",5
"ZFPM1",5
"HARS2",6
"TXLNA",6
"SPARC",7
"SCARF1",7
"PPP3CC",8
"CALB2",8
"UNG",9
"MUS81",9
"NIPSNAP1",10
"CHPF",10
"ALX4",10
"PEPD",11
"MARS",11
"CFP",12
"FCN2",12
"ADAMTS13",12
"GSS",13
"GGT1",13
"SCLY",13
"THRA",13
"FTCD",13
"PCSK4",13
"ASL",13
"SDSL",13
"SARDH",13
"GCLM",13
"SRMS",14
"CD68",14
"TNFRSF13B",14
"GAL3ST1",14
"CHRNA10",15
"RAPSN",15
"ACTN4",16
"TMSB4Y",16
"VEGFB",16
"GDF15",17
"FTL",17
"LAMA5",18
"EPPK1",18
"COL9A3",18
"THOC2",19
"NUP210",19
"POM121",19
