"node","cluster"
"TFAP4",1
"TXN2",1
"PCSK1N",1
"MT4",1
"ZP2",1
"C8G",1
"HAND1",1
"GRIN3B",1
"RGS2",1
"NPY",1
"CD68",1
"PHC1",1
"GDF15",1
"HSPBP1",1
"CD63",1
"CAB39",1
"USP22",1
"LPIN2",1
"ZBTB32",1
"TJP3",1
"ABCA7",1
"UBE2R2",1
"SRF",1
"B3GAT3",1
"TM4SF5",1
"MEF2D",1
"RHPN1",1
"PF4",1
"NPM1",1
"PAM",1
"IL7R",1
"GABARAP",1
"HCFC1",1
"GYS1",1
"PRMT5",1
"ARFRP1",1
"GLUD2",1
"CNGA2",1
"EEF1G",1
"ALAS2",1
"VWCE",1
"PPFIA3",1
"KCNE1",1
"UGP2",1
"BAZ1B",1
"GATA2",1
"IGF2R",1
"AP2A1",1
"HLA-G",1
"CRTC2",1
"S100A12",1
"LCE2A",1
"EMD",1
"FCN1",1
"SET",1
"TIMM8A",1
"ECE1",1
"HCK",1
"CORT",1
"VPS28",1
"SLC3A2",1
"GABRD",1
"MYBBP1A",1
"CHCHD2",1
"FTSJ3",1
"DLG5",1
"EPPK1",1
"OBSCN",1
"MT1X",1
"MGAM",1
"SLC25A23",1
"GRIK5",1
"LY6H",1
"TREX1",1
"KIFC1",1
"NUMA1",1
"DDX11",1
"FXYD2",1
"SCNN1D",1
"FOXH1",1
"ATP6V1F",1
"MPZ",1
"CRB2",1
"LCE2C",1
"RTN4R",2
"CHAD",2
"LRG1",2
"RTN4RL2",2
"OPTC",2
"IGFALS",2
"USP11",3
"RAB24",3
"KPNA6",3
"ACP5",4
"MRC2",4
"PIGL",5
"LTBP3",5
"VTN",6
"LCN1",6
"SPI1",7
"TAL1",7
"CSF3R",7
"EGR1",8
"BST2",8
"PITX1",8
"CD53",8
"LILRA4",8
"TRIM56",8
"IRF3",8
"IRF7",8
"IFITM1",8
"STARD7",8
"IRF2BP2",8
"ADAR",8
"IFIT2",8
"TRIM22",8
"IRF2",8
"PPP3CC",9
"ILKAP",9
"CREB3L1",9
"GJA8",10
"FTL",10
"UNG",11
"MUS81",11
"CES2",11
"CFP",12
"THSD1",12
"ADAMTS4",12
"ADAMTS13",12
"GSS",13
"GGT1",13
"PCSK4",13
"GCLM",13
"CHRNA10",14
"RAPSN",14
"ACTN4",15
"TMSB4Y",15
"VEGFB",15
"USP2",16
"ZFYVE1",16
"RGS14",16
"PLCB2",17
"PLCB3",17
"PIP5K1C",17
"PIK3R5",17
"PLCD1",17
"PEPD",18
"MARS",18
"SPARC",19
"SCARF1",19
"SIX3",20
"P2RX3",20
"PRKCG",21
"TRIM47",21
"THPO",22
"DBP",22
"MYOG",22
"PIAS1",22
"SMARCD3",22
"STAT3",22
"CTF1",22
"IL32",22
"STAT5A",22
"STAT4",22
"IL6R",22
"PIAS3",22
"QRSL1",22
"NDRG2",22
"PRAM1",22
"PDXP",23
"AMBP",23
"APOL1",23
"TNFRSF10C",23
"MICAL1",23
"DNAJC5",23
"TSPAN1",23
"CTSH",24
"COMP",24
"NUBP2",24
"TYRO3",24
"FETUB",24
"SH3GL1",24
"BAD",24
"ARR3",24
"TNIP1",24
"MCL1",24
"NDP",24
"BBC3",24
"TP73",24
"ITGB4",25
"EFS",25
"TSC2",25
"CSK",25
"FSD1",25
"HAMP",25
"TPSG1",25
"CNTFR",25
"PI3",25
"HSPB1",25
"HRK",25
"FRS3",25
"VWF",25
"CYBA",25
"ITGA2B",25
"CDON",25
"THRA",25
"DAXX",25
"AKT1",25
"NONO",25
"SCGB1A1",25
"ARHGAP17",25
"HK3",25
"ANXA5",25
"DCXR",25
"OR5A2",25
"SOX14",25
"OR2Z1",25
"BID",25
"TTLL11",25
"ZFPM1",25
"OR4C46",25
"OR6N1",25
"ISYNA1",25
"EIF4EBP1",25
"HELT",25
"KCNJ11",25
"CD300A",25
"PGK1",25
"LAT",25
"WDR6",25
"KCTD17",25
"CXCR4",25
"EIF4G3",25
"ELF4",25
"CDKN1C",25
"IER2",25
"NFATC4",25
"DYRK1B",25
"PFDN2",25
"LIMD1",25
"TSPAN4",25
"SLC39A4",25
"LPXN",25
"OR1M1",25
"SYTL1",25
"NQO2",25
"PADI4",25
"AQP7",25
"DPH5",25
"RASSF7",25
"LCE3C",25
"SLC1A5",25
"TNNT3",26
"PTMS",26
"MTA2",27
"MTA1",27
"PLA2G2F",27
"F11R",28
"CLDN6",28
"SLURP1",29
"LY6E",29
"TIMM13",30
"JOSD1",30
"NIPSNAP1",30
"CHCHD4",30
"PPIB",31
"CRTAP",31
"COL9A3",31
"PPP2R5A",32
"PKMYT1",32
"CENPH",32
"PLK1",32
"TBC1D2B",32
"CDC25A",32
"CAMKK2",32
"OS9",32
"NUDC",32
"TACC3",32
"RANGAP1",32
"PCNT",32
"FANCG",32
"INCENP",32
"APEX2",32
"DUSP23",32
"DYRK2",32
"DNAJC9",32
"BIN2",33
"CRK",33
"KLHDC3",33
"STAB1",33
"GIT1",33
"EFNA4",33
"DOC2A",33
"PPP1R15A",34
"HDAC3",34
"ANP32E",34
"CNGB1",35
"ACHE",35
"COX7C",36
"HINT1",36
"ZNHIT1",37
"H2AFY",37
"TMEM115",38
"IL13",38
"UNC93A",39
"KCNK9",39
"KCNK3",39
"TSPYL2",39
"CLIC3",39
"ANXA11",40
"HRAS",40
"SLC34A1",40
"ADAM15",40
"UCN3",40
"PAX8",40
"NPM3",40
"PGLYRP1",41
"BRSK1",41
"CYP46A1",42
"FADS2",42
"ASL",42
"CYP4A11",42
"TSC22D3",42
"TBXAS1",42
"DRAP1",43
"KLC2",43
"KLF16",44
"DNMT3L",44
"PPRC1",44
"SAP30",44
"HIST1H2AA",44
"HOXC4",44
"HIST1H2AC",44
"TCF7",44
"TAF1C",44
"TFCP2",44
"PCGF6",44
"TCF20",44
"SUDS3",44
"DHX30",44
"PHF1",44
"WAC",44
"DLX5",45
"SCN3B",45
"WNT10B",45
"FGF8",45
"PORCN",45
"DGCR6",45
"ALX4",45
"ZP3",45
"EVX1",45
"SEMA4G",46
"RHOT2",46
"RHOBTB1",46
"RHOG",46
"SEMA4F",46
"TNK2",46
"NDUFB7",47
"NDUFS7",47
"COX7A2L",47
"UQCRC2",47
"NDUFB10",47
"NDUFB11",47
"ACAD9",47
"COX5A",47
"NDUFV1",47
"SDHC",47
"UQCRQ",47
"NDUFA3",47
"RNASET2",47
"UTS2R",48
"CPE",48
"PQBP1",49
"PAF1",49
"SF3A2",49
"LSM7",49
"GTF2H4",49
"CHTF18",49
"POLD3",49
"PCBP1",49
"TRAPPC5",49
"POLR2L",49
"TSEN54",49
"ZMAT5",49
"XAB2",49
"UBL5",49
"PCBP2",49
"CTNNBL1",49
"LSM2",49
"GTF2F1",49
"POLR2J2",49
"SRMS",50
"STK11",50
"LIMK2",50
"PIM2",50
"WNT3",51
"WNT11",51
"HARS2",52
"CNDP2",52
"GNL1",52
"FTCD",53
"MDH2",53
"IDH2",53
"SP1",54
"TPST2",54
"SALL2",54
"PSTPIP1",54
"NCK2",55
"ARPC1B",55
"EPHB3",55
"TREM1",56
"VPS37C",56
"LAMP1",56
"SLC29A2",56
"CYHR1",56
"LIM2",57
"CACNA1H",57
"CACNA2D4",57
"KCNK4",57
"PLAUR",58
"CD207",58
"THOC2",59
"NUP210",59
"POM121",59
"GEMIN4",59
"THOC6",59
"CPSF1",59
"FOXM1",60
"ATXN7L3",60
"RABAC1",61
"VAMP8",61
"EPN3",61
"SLC22A3",61
"RAB5C",61
"ARPC5",61
"RAB5B",61
"SYT8",61
"TGOLN2",61
"ARPC4",61
"BLOC1S3",61
"KRTAP11-1",62
"KRTAP6-2",62
"KRTAP23-1",62
"KRTAP19-6",62
"KRTAP6-3",62
"RAB11B",63
"DNM2",63
"CRABP2",63
"POU3F1",63
"PRRT1",64
"TUBGCP2",64
"TUBB2B",64
"PDCL3",64
"ARF1",64
"DYNC1LI1",64
"KIF1A",64
"DNAH11",64
"TUBB",64
"KIF25",64
"DYNC1H1",64
"CSNK1E",64
"SLC39A7",64
"SURF4",64
"TBCA",64
"BET1L",64
"PLP2",64
"CNTROB",64
"RAB3GAP2",64
"PRODH",65
"TBX1",65
"ASNA1",66
"GUCA2B",66
"MMP15",67
"OSBPL1A",67
"TRIM46",67
"TRIM3",67
"HLA-DRB1",67
"HLA-DMA",67
"HLA-DQA2",67
"HLA-DRA",67
"IFI30",67
"SLAMF1",68
"SPN",68
"CATSPER3",69
"CACNA1A",69
"MFNG",70
"MSN",70
"CKS1B",71
"MYT1",71
"RRM2",71
"NT5M",71
"PYCR2",72
"COMT",72
"LPA",72
"GRN",73
"STAC3",73
"DNAJB2",73
"ENTPD2",73
"WDTC1",73
"ATP6AP1",73
"SLC37A1",73
"ACTA2",74
"FRG1",74
"MYL2",74
"TNNI2",74
"MYL3",74
"MYO1A",74
"TCAP",74
"LIMS2",74
"MYO18B",74
"TNNI1",74
"TPM2",74
"ACTA1",74
"TNNT2",74
"SQSTM1",74
"MYL6",74
"WDR81",74
"SPHK1",75
"NES",75
"ECHS1",76
"DHRS7B",76
"HSD17B1",76
"RFXANK",77
"NKX6-2",77
"FCN2",78
"S100A8",78
"PSMA4",79
"PSMC4",79
"PSMB4",79
"NFKBIB",79
"PSMA7",79
"PSME4",79
"OAZ2",79
"SCLY",80
"SNCB",80
"SDSL",80
"HMGN2",80
"SARDH",80
"GCAT",80
"BCL3",81
"POU3F4",81
"TBX5",82
"BCL9L",82
"NR5A1",82
"EXOSC5",83
"SEC61A1",83
"MPHOSPH6",83
"RPL35",83
"RPL8",83
"MOV10L1",83
"SMG6",83
"EXOSC7",83
"RPL37",83
"RPL30",83
"MRPL17",83
"RPN1",83
"RPS23",83
"MRPL16",83
"RPS9",83
