"node","cluster"
"TFAP4",0
"PCSK1N",0
"MT4",0
"ZP2",0
"GRIN3B",0
"RGS2",0
"SELL",0
"CNGB1",0
"PHC1",0
"GDF15",0
"SCLY",0
"USP22",0
"ZBTB32",0
"TJP3",0
"ABCA7",0
"UBE2R2",0
"PAIP2",0
"DHH",0
"TNNT3",0
"MTA2",0
"RHPN1",0
"PF4",0
"NPM1",0
"CRK",0
"SLAMF1",0
"GABARAP",0
"MUS81",0
"BRSK1",0
"OR2Z1",0
"BID",0
"CHDH",0
"KIF1A",0
"ARFRP1",0
"GLUD2",0
"CNGA2",0
"EPHB3",0
"ALAS2",0
"RAB11B",0
"PPFIA3",0
"KCNE1",0
"TCF7",0
"BAZ1B",0
"GATA2",0
"PRODH",0
"ENTPD4",0
"COMT",0
"S100A8",0
"LCE2A",0
"FCN1",0
"SARDH",0
"NR5A1",0
"VPS28",0
"MYBBP1A",0
"SERPINB5",0
"CXCR4",0
"FTSJ3",0
"OBSCN",0
"MT1X",0
"KHSRP",0
"MGAM",0
"TMSB4X",0
"GRIK5",0
"LY6H",0
"TBX1",0
"CHRNG",0
"NUMA1",0
"DDX11",0
"FXYD2",0
"SCNN1D",0
"FOXH1",0
"ATP6V1F",0
"MPZ",0
"LCE2C",0
"RTN4R",1
"LRG1",1
"RTN4RL2",1
"OPTC",1
"IGFALS",1
"NIPSNAP1",3
"EXT2",3
"TXN2",4
"THRA",4
"MDH2",4
"HMGN2",4
"USP11",6
"RAB24",6
"SF3A2",9
"LPIN2",9
"CD22",10
"CD79A",10
"SPI1",11
"BIN2",11
"ZFPM1",11
"ALOX5AP",11
"HAND1",12
"TBX5",12
"IRX4",13
"SLC25A23",13
"EGR1",17
"PITX1",17
"STARD7",17
"NPY",18
"SERPINA6",18
"PEPD",19
"MARS",19
"PCSK4",19
"ASL",19
"CFP",20
"ADAMTSL2",20
"ADAMTS4",20
"ADAMTS13",20
"DGCR6L",21
"PYCR2",21
"GSS",22
"GGT1",22
"VTN",25
"ACTN4",25
"ZC3H7B",25
"VEGFB",25
"PPP3CC",27
"ILKAP",27
"PORCN",27
"ADAM15",27
"CREB3L1",27
"EFNA4",27
"CAB39",29
"SPHK1",29
"GTF2H4",30
"CHTF18",30
"ITGB4",32
"VWF",32
"ITGA2B",32
"SLC29A2",32
"SPARC",35
"SCARF1",35
"P2RX3",38
"ACHE",38
"DBP",39
"PIAS1",39
"STAT3",39
"IL32",39
"STAT5A",39
"STAT4",39
"PIAS3",39
"QRSL1",39
"NDRG2",39
"PRAM1",39
"AMBP",40
"APOL1",40
"CHPF",42
"B3GAT3",42
"CHCHD2",42
"NDUFB7",44
"NDUFS7",44
"UQCRC2",44
"NDUFB10",44
"NDUFB11",44
"ACAD9",44
"NDUFV1",44
"SDHC",44
"NDUFA3",44
"RNASET2",44
"PDXP",45
"CTSH",45
"COMP",45
"TYRO3",45
"SH3GL1",45
"BAD",45
"TNFRSF10C",45
"MICAL1",45
"NES",45
"MCL1",45
"ECE1",45
"NDP",45
"BBC3",45
"LRRC20",45
"TP73",45
"EFS",46
"TSC2",46
"CSK",46
"NCK2",46
"TPSG1",46
"MYOG",46
"CNTFR",46
"LAMA5",46
"HRK",46
"CYBA",46
"PRKCG",46
"DAXX",46
"AKT1",46
"NONO",46
"SCGB1A1",46
"ARHGAP17",46
"ANXA5",46
"ORMDL3",46
"TTLL11",46
"TSSC4",46
"ISYNA1",46
"UGP2",46
"CRTC2",46
"TLX1",46
"CSF3R",46
"LAT",46
"KCTD17",46
"TBCA",46
"GCAT",46
"LIMD1",46
"SLC1A5",46
"THOC2",47
"GEMIN7",47
"GEMIN4",47
"ZFP36L1",47
"CD53",48
"UCN3",48
"LPXN",48
"SRF",49
"MEF2D",49
"PLCB2",52
"PLCB3",52
"PIP5K1C",52
"PIK3R5",52
"PLCD1",52
"F11R",54
"CLDN6",54
"SLURP1",55
"LY6E",55
"PPIB",58
"DDA1",58
"COL9A3",58
"TUBGCP2",59
"HSPBP1",59
"PPP2R5A",59
"SMARCD3",59
"PKMYT1",59
"DYNC1LI1",59
"CENPH",59
"HIPK4",59
"PLK1",59
"TBC1D2B",59
"CDC25A",59
"CYP4A11",59
"CAMKK2",59
"TSC22D3",59
"NUDC",59
"TACC3",59
"DNAH11",59
"RANGAP1",59
"CSNK1E",59
"SLC39A7",59
"FANCG",59
"INCENP",59
"ZNF148",59
"KLF6",59
"APEX2",59
"AGPAT1",59
"DUSP23",59
"DYRK2",59
"CNTROB",59
"DNAJC9",59
"PPP1R15A",61
"HDAC3",61
"ANP32E",61
"THPO",62
"PI3",62
"TMEM115",62
"CTF1",62
"IL13",62
"SOX14",62
"IL6R",62
"ELF4",62
"SLC39A4",62
"SYTL1",62
"NQO2",62
"P2RY8",62
"SCTR",63
