"node","cluster"
"PIGQ",0
"RTN4R",0
"TFAP4",0
"THPO",0
"PCSK1N",0
"ACP5",0
"MT4",0
"C8G",0
"WNT3",0
"PIGL",0
"HAND1",0
"GRIN3B",0
"RGS2",0
"GJA8",0
"CNGB1",0
"PHC1",0
"GDF15",0
"HSPBP1",0
"CD63",0
"USP22",0
"LPIN2",0
"NUBP2",0
"TJP3",0
"SCARF1",0
"ABCA7",0
"P2RX3",0
"GEMIN7",0
"CD53",0
"RHPN1",0
"ACHE",0
"HINT1",0
"IL7R",0
"GABARAP",0
"DRAP1",0
"HCFC1",0
"DLGAP1",0
"ARFRP1",0
"GLUD2",0
"CNGA2",0
"EPHB3",0
"ALAS2",0
"PPFIA3",0
"KCNE1",0
"UGP2",0
"BAZ1B",0
"PYCR2",0
"PRODH",0
"SPN",0
"CACNA1A",0
"CRTC2",0
"S100A8",0
"LCE2A",0
"ATP6AP1",0
"EMD",0
"SET",0
"CSNK2B",0
"CORT",0
"VPS28",0
"MYBBP1A",0
"CHCHD2",0
"FTSJ3",0
"DLG5",0
"EPPK1",0
"OBSCN",0
"CPE",0
"RBM10",0
"MT1X",0
"KHSRP",0
"MSX1",0
"STAB1",0
"SLC25A23",0
"GRIK5",0
"LY6H",0
"CHRNG",0
"SLC9A3R2",0
"KIFC1",0
"NUMA1",0
"DDX11",0
"FXYD2",0
"BET1L",0
"FOXH1",0
"ATP6V1F",0
"MPZ",0
"CRB2",0
"LCE2C",0
"NDUFB7",5
"NDUFS7",5
"COX7A2L",5
"COX7C",5
"UQCRC2",5
"NDUFB10",5
"NDUFB11",5
"ACAD9",5
"COX5A",5
"NDUFV1",5
"SDHC",5
"UQCRQ",5
"NDUFA3",5
"GSS",6
"ASL",6
"USP11",8
"RAB24",8
"KPNA6",8
"ZP2",11
"PROK2",11
"VTN",15
"LCN1",15
"SPI1",16
"ZFPM1",16
"HAMP",20
"EGR1",20
"PITX1",20
"LILRA4",20
"TRIM56",20
"SOX14",20
"IRF3",20
"IRF7",20
"IFITM1",20
"STARD7",20
"TRIM3",20
"IRF2BP2",20
"ADAR",20
"IFIT2",20
"TRIM22",20
"IRF2",20
"IFI30",20
"TSPAN4",20
"PPP3CC",21
"ILKAP",21
"EIF4EBP1",21
"NPY",23
"SERPINA6",23
"CFP",24
"THSD1",24
"ADAMTS4",24
"ADAMTS13",24
"GGT1",25
"PCSK4",25
"DLX5",26
"PIAS1",26
"LTBP3",26
"CD68",27
"MRC2",27
"CHRNA10",28
"RAPSN",28
"ACTN4",31
"LAMA5",31
"TMSB4Y",31
"VEGFB",31
"USP2",35
"RGS14",35
"PLCB2",36
"PLCB3",36
"PIP5K1C",36
"SMYD3",36
"PIK3R5",36
"PLCD1",36
"PEPD",39
"MARS",39
"ITGB4",41
"ITGA2B",41
"SLC29A2",41
"UNG",42
"ZBTB32",42
"MUS81",42
"DBP",47
"MYOG",47
"SMARCD3",47
"STAT3",47
"MTA1",47
"STAT5A",47
"STAT4",47
"PIAS3",47
"QRSL1",47
"NDRG2",47
"PDXP",48
"COMP",48
"AMBP",48
"APOL1",48
"CRTAP",48
"TNFRSF10C",48
"DNAJC5",48
"NDP",48
"TSPAN1",48
"SRF",49
"MEF2D",49
"BIN2",50
"ALOX5AP",50
"TYRO3",51
"SH3GL1",51
"KCNJ11",51
"EFS",52
"TSC2",52
"CSK",52
"FSD1",52
"NCK2",52
"HSPB1",52
"PPP1R1B",52
"CHAD",52
"RIPK1",52
"SIX3",52
"PRKCG",52
"DAXX",52
"AKT1",52
"NONO",52
"ARHGAP17",52
"ANXA5",52
"DCXR",52
"OR5A2",52
"ARR3",52
"OR2Z1",52
"TNIP1",52
"IL32",52
"OR4C46",52
"OR6N1",52
"ISYNA1",52
"CD300A",52
"PGK1",52
"WDR6",52
"KCTD17",52
