"node","cluster"
"RTN4R",1
"ITGB4",1
"TFAP4",1
"PCSK1N",1
"USP11",1
"MT4",1
"ZP2",1
"CSK",1
"PIGL",1
"HARS2",1
"GRIN3B",1
"DGCR6L",1
"PHC1",1
"GDF15",1
"SCLY",1
"CAB39",1
"RIPK1",1
"USP22",1
"ZBTB32",1
"TJP3",1
"ABCA7",1
"UBE2R2",1
"PAIP2",1
"RHPN1",1
"PF4",1
"NPM1",1
"PPIB",1
"CRK",1
"GABARAP",1
"DRAP1",1
"MUS81",1
"HCFC1",1
"BRSK1",1
"STK11",1
"CNDP2",1
"ARFRP1",1
"GLUD2",1
"CNGA2",1
"TSSC4",1
"EPHB3",1
"ALAS2",1
"RAB11B",1
"KCNE1",1
"TCF7",1
"BAZ1B",1
"PYCR2",1
"GATA2",1
"PRODH",1
"ASNA1",1
"ENTPD4",1
"AP2A1",1
"ADAR",1
"S100A6",1
"LCE2A",1
"FCN1",1
"SARDH",1
"POU3F4",1
"NR5A1",1
"CSNK2B",1
"VPS28",1
"MYBBP1A",1
"HOMER3",1
"CXCR4",1
"CPE",1
"RBM10",1
"USP5",1
"MT1X",1
"MGAM",1
"STAB1",1
"GRIK5",1
"SURF4",1
"LY6H",1
"TBX1",1
"NUMA1",1
"DDX11",1
"PSTPIP1",1
"FXYD2",1
"LRRC20",1
"FOXH1",1
"ATP6V1F",1
"NT5M",1
"LCE2C",1
"NIPSNAP1",2
"EXT2",2
"TREX1",2
"TXN2",3
"GLRX",3
"THRA",3
"MDH2",3
"HMGN2",3
"CD22",4
"CD79A",4
"SPI1",5
"BIN2",5
"TAL1",5
"ZFPM1",5
"ALOX5AP",5
"IRX4",6
"SMARCD3",6
"SLC25A23",6
"EGR1",7
"IRF3",7
"IRF2BP2",7
"NPY",8
"SERPINA6",8
"SEC61A1",9
"EMD",9
"DDOST",9
"PEPD",10
"MARS",10
"GSS",11
"GGT1",11
"SDSL",11
"GAL3ST1",11
"GCLM",11
"CHRNA10",12
"RAPSN",12
"CNGB1",13
"CALML5",13
"ACTN4",14
"ZC3H7B",14
"VEGFB",14
"PPP3CC",15
"ILKAP",15
"NTAN1",15
"PORCN",15
"ADAM15",15
"CREB3L1",15
"HRK",16
"BID",16
"VWF",17
"ITGA2B",17
"SPARC",18
"SCARF1",18
"P2RX3",19
"ACHE",19
"BCL3",20
"DBP",20
"PIAS1",20
