"node","cluster"
"PIGQ",0
"TFAP4",0
"TXN2",0
"USP11",0
"MT4",0
"ZP2",0
"C8G",0
"PIGL",0
"NCK2",0
"GRIN3B",0
"RGS2",0
"EGR1",0
"PHC1",0
"GDF15",0
"CD63",0
"RIPK1",0
"USP22",0
"LPIN2",0
"NUBP2",0
"ABCA7",0
"P2RX3",0
"AMBP",0
"PAIP2",0
"PPIB",0
"LRG1",0
"HINT1",0
"IL7R",0
"GABARAP",0
"DRAP1",0
"DLGAP1",0
"STK11",0
"GLUD2",0
"EPHB3",0
"PPFIA3",0
"KIR2DL1",0
"KCNE1",0
"DNAJB2",0
"TCF7",0
"EIF4EBP1",0
"PYCR2",0
"PRODH",0
"RRM2",0
"ECHS1",0
"NKX6-2",0
"CRTC2",0
"S100A8",0
"LCE2A",0
"ATP6AP1",0
"EMD",0
"ZNF503",0
"POU3F1",0
"NR5A1",0
"SLC3A2",0
"USP5",0
"MT1X",0
"ZP3",0
"KHSRP",0
"GRIK5",0
"TBX1",0
"TREX1",0
"NUMA1",0
"DDX11",0
"FXYD2",0
"FOXH1",0
"SLC1A5",0
"MPZ",0
"LCE2C",0
"SAMD8",0
"PSMA4",2
"PSMC4",2
"PPP2R5A",2
"PSMB4",2
"NFKBIB",2
"PSMA7",2
"PSME4",2
"OAZ2",2
"TIMM13",4
"CHCHD2",4
"CD22",9
"CD79A",9
"VTN",12
"FETUB",12
"LCN1",12
"SPI1",13
"SOX14",13
"ZFPM1",13
"SPARC",14
"SCARF1",14
"PPP3CC",19
"CALB2",19
"UNG",20
"ZBTB32",20
"MUS81",20
"CHPF",21
"B3GAT3",21
"EXT2",21
"PEPD",22
"MARS",22
"AZGP1",22
"FHIT",22
"CFP",23
"FCN2",23
"ADAMTS4",23
"ADAMTS13",23
"GSS",24
"GGT1",24
"SCLY",24
"THRA",24
"PCSK4",24
"ASL",24
"SDSL",24
"GCLM",24
"CD68",25
"TRAF5",25
"TNFRSF13B",25
"GAL3ST1",25
"CHRNA10",26
"RAPSN",26
"ACTN4",28
"LAMA5",28
"TMSB4Y",28
"VEGFB",28
"CAB39",31
"RASL10B",31
"CSNK2B",31
"PLCB2",33
"PIP5K1C",33
"PDZD4",37
"ITGB4",37
"ITGA2B",37
"COL9A3",37
"SLC29A2",37
"EXOSC5",38
"SEC61A1",38
"MPHOSPH6",38
"RPL35",38
"RPL8",38
"MOV10L1",38
"SMG6",38
"ZC3H7B",38
"EXOSC7",38
"RPL37",38
"RPL30",38
"MRPL17",38
"RPN1",38
"RPS23",38
"MRPL16",38
"RPS9",38
"ORMDL3",38
"EEF2",38
"MRPS12",38
"RPL15",38
"RPL4",38
"TRAPPC5",38
"MRPS24",38
"RPLP2",38
"EXOSC3",38
"EIF4A2",38
"ARFRP1",38
"EEF1G",38
"EIF5A",38
"ZFP36L1",38
"RPLP0",38
"RPL7",38
"GSPT2",38
"RPL10",38
"RPS2",38
"RPL14",38
"RPS21",38
"RPL27A",38
"MRPL52",38
"MRPL21",38
"CRABP2",38
"KPNA6",38
"RPL11",38
"DDOST",38
"GNL1",38
"RPL13A",38
"RPL32",38
"RPL37A",38
"RPL41",38
"RPL18",38
"INVS",40
"UBE2R2",40
"DTX3L",40
"KRT16",40
"ANAPC2",40
"OS9",40
"SOCS1",40
"TNFAIP2",40
"UBE2V1",40
"HECTD3",40
"MIB2",40
"RNF130",40
"ASB2",40
"RNF149",40
"THPO",42
"DBP",42
"PIAS1",42
"STAT3",42
"CTF1",42
"STAT5A",42
"STAT4",42
"IL6R",42
"CSF3R",42
"FTL",42
"QRSL1",42
"PRAM1",42
"P2RY8",42
"PNMT",45
"APOL1",45
"COMT",45
"PAH",45
"BCL3",46
"EFS",46
"SRMS",46
"MMP15",46
"TSC2",46
"MAZ",46
"CSK",46
"TPSG1",46
"MYOG",46
"CNTFR",46
"HSPB1",46
"VWF",46
"CYBA",46
"PRKCG",46
"DAXX",46
"AKT1",46
"NONO",46
"SCGB1A1",46
"ANXA5",46
"MRC2",46
"TTLL11",46
"IL32",46
"OR4C46",46
"ISYNA1",46
"UGP2",46
"PLAUR",46
"APOL3",46
"CD300A",46
"WDTC1",46
"PGK1",46
"WDR6",46
"CXCR4",46
"EPPK1",46
"PIM2",46
"SLC9A3R2",46
"TSPAN4",46
"SLC39A4",46
"OR1M1",46
"SYTL1",46
"NQO2",46
"NPM3",46
"PADI4",46
"AQP7",46
"DPH5",46
"LCE3C",46
"ATP6V1F",46
"CD53",47
"LPXN",47
"SRF",48
"MEF2D",48
"ACTA2",49
"FRG1",49
"MYL2",49
"TNNI2",49
"TNNT3",49
"MYL3",49
"CABP2",49
"MYO1A",49
"TCAP",49
"NUDC",49
"TNNI1",49
"TPM2",49
"ACTA1",49
"TNNT2",49
"MYL6",49
"PTMS",49
"HBQ1",50
"HBZ",50
"HBE1",50
"CYGB",50
"DCXR",50
"ALAS2",50
"DDA1",50
"HBD",50
"DHRS7B",50
"NPM1",51
"STAC3",51
"PKMYT1",53
"PLK1",53
"TBC1D2B",53
"CDC25A",53
"BRSK1",53
"CKS1B",53
"CAMKK2",53
"TSC22D3",53
"TACC3",53
"PCNT",53
"SMAP1",53
"INCENP",53
"EIF4G3",53
"DUSP23",53
"DYRK2",53
"DNAJC9",53
"CRK",54
"KLHDC3",54
"UCN3",54
"STAB1",54
"LIMK2",54
"EFNA4",54
"VPS37C",55
"LAMP1",55
"ZFYVE1",55
"PPP1R15A",57
"DNMT3L",57
"MTA2",57
"CENPH",57
"SAP30",57
"HDAC3",57
"MYT1",57
"MTA1",57
"BCL9L",57
"PIAS3",57
"SUDS3",57
"PHF1",57
"ZNHIT1",59
"H2AFY",59
"KCNK3",61
"TSPYL2",61
"CLIC3",61
"KLF16",64
"HCFC1",64
"ANXA11",65
"OR5A2",65
"HRAS",65
"SPHK1",65
"ADAM15",65
"CREB3L1",65
"PGLYRP1",66
"SCN3B",66
"VANGL1",66
"VWCE",66
"CYP46A1",67
"CYP4A11",67
"HK3",69
"GYS1",69
"IDH2",69
"MGAM",69
"HRK",70
"BID",70
"FADS2",71
"CHDH",71
"POR",71
"LSS",71
"HIST1H2AA",72
"PRMT5",72
"HIST1H2AC",72
"TFCP2",72
"PCGF6",72
"ATXN7L3",72
"DLX5",73
"WNT3",73
"SIX3",73
"BARHL1",73
"WNT10B",73
"LTBP3",73
"GBX2",73
"TBX5",73
"FGF8",73
"PORCN",73
"DGCR6",73
"ALX4",73
"MSX1",73
"PAX8",73
"NDUFB7",74
"NDUFS7",74
"COX7A2L",74
"COX7C",74
"UQCRC2",74
"NDUFB10",74
"NDUFB11",74
"ACAD9",74
"COX5A",74
"NDUFV1",74
"UBL5",74
"SDHC",74
"UQCRQ",74
"NDUFA3",74
"FIS1",75
"ANP32E",75
"PQBP1",76
"PAF1",76
"SF3A2",76
"LSM7",76
"GTF2H4",76
"CHTF18",76
"POLD3",76
"PCBP1",76
"HOXC4",76
"CRTAP",76
"POLR2L",76
"TSEN54",76
"ZMAT5",76
"XAB2",76
"PCBP2",76
"CTNNBL1",76
"LSM2",76
"TAF1C",76
"MYBBP1A",76
"GTF2F1",76
"WAC",76
"ACP5",78
"PITX1",78
"WNT11",78
"GSTM1",79
"CNDP2",79
"TXNRD2",79
"ALOX5AP",79
"GLRX",80
"CLPP",80
"FTCD",80
"MDH2",80
"FSD1",82
"SMARCD3",82
"CDON",82
"SP1",82
"STARD7",82
"TPST2",82
"SALL2",82
"NFATC4",82
"DYRK1B",82
"PSTPIP1",82
"LPA",82
"CACNA1H",84
"KCNK4",84
"THOC2",89
"NUP210",89
"POM121",89
"GEMIN7",89
"GEMIN4",89
"THOC6",89
"CPSF1",89
"RANGAP1",89
"SEMA4G",90
"RHOT2",90
"LIMS2",90
"RHOBTB1",90
"RHOG",90
"SEMA4F",90
"KCTD17",90
"TNK2",90
"FOXM1",93
"NES",93
"POU3F4",93
"BAZ1B",94
"DHX30",94
"TAL1",96
"GATA2",96
"NDRG2",96
"KRTAP11-1",97
"KRTAP6-2",97
"KRTAP23-1",97
"KRTAP19-6",97
"KRTAP6-3",97
"TUBGCP2",98
"TUBB2B",98
"PDCL3",98
"ARF1",98
"DYNC1LI1",98
"KLC2",98
"KIF1A",98
"DNAH11",98
"TUBB",98
"KIF25",98
"DYNC1H1",98
"SLC39A7",98
"CALML5",98
"SURF4",98
"TBCA",98
"PFDN2",98
"KIFC1",98
"PLP2",98
"CNTROB",98
"RAB3GAP2",98
"LIM2",99
"HAMP",99
"ARPC1B",99
"VAMP8",99
"SLC22A3",99
"RAB11B",99
"RAB5C",99
"DNM2",99
"IGF2R",99
"AP2A1",99
"ARPC5",99
"RAB5B",99
"SYT8",99
"TGOLN2",99
"ARPC4",99
"BLOC1S3",99
"ASNA1",101
"GUCA2B",101
"ENTPD4",102
"CDA",102
"PPP1R1B",103
"CSNK1E",103
"STK24",103
"SLAMF1",104
"SPN",104
"GJA8",105
"CATSPER3",105
"CACNA1A",105
"CACNA2D4",105
"SLC34A1",106
"MSN",106
"TREM1",107
"BST2",107
"LILRA4",107
"TRIM56",107
"IRF3",107
"IRF7",107
"IFITM1",107
"TRIM3",107
"HLA-G",107
"IRF2BP2",107
"ADAR",107
"IFIT2",107
"TRIM22",107
"IRF2",107
"PDXP",114
"CTSH",114
"COMP",114
"TYRO3",114
"SH3GL1",114
"BAD",114
"TNIP1",114
"TNFRSF10C",114
"MICAL1",114
"MCL1",114
"ECE1",114
"NDP",114
"BBC3",114
"TP73",114
"ADAMTSL2",117
"FCN1",117
"HARS2",118
"SARDH",118
"TXLNA",118
"CHCHD4",120
"TIMM8A",120
"ENTPD2",123
"MFNG",123
"LHX2",123
"CDKN1C",123
"IER2",123
"CRB2",123
"GRN",124
"OSBPL1A",124
"TRIM46",124
"HLA-DRB1",124
"HLA-DMA",124
"HLA-DQA2",124
"HLA-DRA",124
"LAT",124
"IFI30",124
"RNASET2",124
"S100A12",125
"HCK",125
"USP2",126
"VPS28",126
"KCNK9",128
"GABRD",128
"SCTR",129
"RTN4R",129
"NPY",129
"FFAR2",129
"ARRB2",129
"PLCB3",129
"SHKBP1",129
"PROK2",129
"PF4",129
"ADCY1",129
"GP9",129
"GNB2",129
"GNAI2",129
"UTS2R",129
"P2RY11",129
"NPW",129
"RTN4RL2",129
"SERPINA6",129
"HTR3A",129
"HTR4",129
"DIRAS3",129
"GRM4",129
"CORT",129
"GPR20",129
"GNB1",129
"ADM2",129
"PIK3R5",129
"FSHR",129
"TRIM47",129
"ASIP",129
"IGFALS",129
"TAS1R1",129
"PLCD1",129
"TRPV2",129
"RGS14",129
"PTPRU",129
"PPRC1",130
"FOXK1",130
"SIN3B",130
"TCF20",130
"HELT",131
"DNAJC5",131
"TH",131
"DBH",131
"SQSTM1",132
"WDR81",132
"HOMER3",133
"CAMK2A",133
"SYNGAP1",133
"RASGRP2",134
"SOS1",134
"SET",135
"FTSJ3",135
"RELB",136
"SELL",136
"PI3",136
"TMEM115",136
"NTAN1",136
"IL13",136
"PAM",136
"CD7",136
"SIGLEC1",136
"TNFSF13",136
"S100A6",136
"NFKB2",136
"TNF",136
"CD207",136
"ELF4",136
"HSPBP1",137
"DLG5",137
"ARHGAP17",138
"FGD3",138
"OBSCN",138
"ARHGEF16",138
"ARHGAP9",138
"FANCG",139
"APEX2",139
"ZNF148",144
"KLF6",144
"AGPAT1",144
"FRS3",145
"BIN2",145
"VAV1",145
"BATF",146
"CEBPA",146
"TMSB4X",147
"LIMD1",147
"KCNQ4",149
"F11R",149
"KCNJ11",149
"KCNIP2",149
"SNCB",151
"GCAT",151
"ACHE",152
"CHRNG",152
"CYB561",157
"SERPINB5",157
"BET1L",157
"TBXAS1",158
"PLA2G2F",158
"HSD17B1",158
"KCNMB1",159
"SCNN1D",159
"GIT1",162
"DOC2A",162
"PRMT8",163
"PPAN",163
"CES2",165
"NT5M",165
