"node","cluster"
"PIGQ",0
"RTN4R",0
"TFAP4",0
"THPO",0
"PCSK1N",0
"ACP5",0
"MT4",0
"ZP2",0
"C8G",0
"WNT3",0
"PIGL",0
"HAND1",0
"GRIN3B",0
"RGS2",0
"GJA8",0
"CHPF",0
"TREM1",0
"CNGB1",0
"PHC1",0
"GDF15",0
"CD63",0
"USP22",0
"LPIN2",0
"TJP3",0
"SCARF1",0
"ABCA7",0
"P2RX3",0
"GEMIN7",0
"TM4SF5",0
"MTA2",0
"RHPN1",0
"NPM1",0
"ACHE",0
"HINT1",0
"IL7R",0
"GABARAP",0
"DRAP1",0
"EEF2",0
"HCFC1",0
"DLGAP1",0
"ARFRP1",0
"GLUD2",0
"CNGA2",0
"ALAS2",0
"KCNE1",0
"UGP2",0
"PLAUR",0
"EIF4EBP1",0
"BAZ1B",0
"PYCR2",0
"PRODH",0
"CACNA1A",0
"CRTC2",0
"LCE2A",0
"ATP6AP1",0
"SET",0
"CSF3R",0
"CSNK2B",0
"CORT",0
"VPS28",0
"MYBBP1A",0
"CHCHD2",0
"FTSJ3",0
"EPPK1",0
"OBSCN",0
"CPE",0
"MT1X",0
"KHSRP",0
"MSX1",0
"TMSB4X",0
"STAB1",0
"SLC25A23",0
"GRIK5",0
"LY6H",0
"CHRNG",0
"SLC9A3R2",0
"NUMA1",0
"DDX11",0
"FXYD2",0
"BET1L",0
"FOXH1",0
"ATP6V1F",0
"CRB2",0
"LCE2C",0
"NDUFB7",5
"NDUFS7",5
"COX7A2L",5
"COX7C",5
"UQCRC2",5
"NDUFB10",5
"NDUFB11",5
"ACAD9",5
"COX5A",5
"NDUFV1",5
"SDHC",5
"UQCRQ",5
"NDUFA3",5
"GSS",6
"ASL",6
"USP11",8
"RAB24",8
"KPNA6",8
"VTN",15
"LCN1",15
"SPI1",16
"ZFPM1",16
"HAMP",20
"EGR1",20
"PITX1",20
"TRIM56",20
"SOX14",20
"IRF3",20
"IRF7",20
"IFITM1",20
"STARD7",20
"TRIM3",20
"IRF2BP2",20
"IFIT2",20
"TRIM22",20
"IRF2",20
"IFI30",20
"TSPAN4",20
"PPP3CC",21
"ILKAP",21
"NPY",23
"SERPINA6",23
"CFP",26
"THSD1",26
"ADAMTS13",26
"GGT1",27
"PCSK4",27
"DLX5",28
"PIAS1",28
"LTBP3",28
"CHRNA10",29
"RAPSN",29
"ACTN4",32
"LAMA5",32
"TMSB4Y",32
"VEGFB",32
"USP2",35
"RGS14",35
"PLCB2",36
"PLCB3",36
"PIP5K1C",36
"SMYD3",36
"PIK3R5",36
"PLCD1",36
"PEPD",39
"MARS",39
"ITGB4",40
"ITGA2B",40
"SLC29A2",40
"ZBTB32",41
"MUS81",41
"DBP",46
"MYOG",46
"SMARCD3",46
"STAT3",46
"MTA1",46
"STAT5A",46
"STAT4",46
"PIAS3",46
"QRSL1",46
"NDRG2",46
"PDXP",47
"COMP",47
"AMBP",47
"APOL1",47
"CRTAP",47
"TNFRSF10C",47
"DNAJC5",47
"NDP",47
"TSPAN1",47
"SRF",48
"MEF2D",48
"BIN2",49
"ALOX5AP",49
"TYRO3",50
"SH3GL1",50
"KCNJ11",50
"EFS",51
"TSC2",51
"CSK",51
"NCK2",51
"HSPB1",51
"PPP1R1B",51
"RIPK1",51
"SIX3",51
"DAXX",51
"AKT1",51
"NONO",51
"ARHGAP17",51
"ANXA5",51
"DCXR",51
"OR5A2",51
"ARR3",51
"OR2Z1",51
"IL32",51
"OR4C46",51
"OR6N1",51
"ISYNA1",51
"MICAL1",51
"CD300A",51
"PGK1",51
"KCTD17",51
"EIF4G3",51
"VAV1",51
"NFATC4",51
"PFDN2",51
"SLC39A4",51
"OR1M1",51
"DPH5",51
"SLC1A5",51
"FRG1",54
"MYL2",54
"TNNI2",54
"TNNT3",54
"MYL3",54
