"node","cluster"
"PIGQ",0
"TFAP4",0
"TXN2",0
"USP11",0
"MT4",0
"ZP2",0
"C8G",0
"PIGL",0
"NCK2",0
"GRIN3B",0
"RGS2",0
"EGR1",0
"MYOG",0
"CHPF",0
"PHC1",0
"GDF15",0
"CD63",0
"RIPK1",0
"USP22",0
"LPIN2",0
"NUBP2",0
"CHTF18",0
"ABCA7",0
"P2RX3",0
"PAIP2",0
"PPIB",0
"GABARAP",0
"DRAP1",0
"DLGAP1",0
"PRMT5",0
"STK11",0
"GLUD2",0
"EPHB3",0
"ALAS2",0
"PPFIA3",0
"KCNE1",0
"DNAJB2",0
"PLAUR",0
"TCF7",0
"EIF4EBP1",0
"PYCR2",0
"PRODH",0
"SPN",0
"RRM2",0
"WDTC1",0
"NKX6-2",0
"CRTC2",0
"S100A8",0
"LCE2A",0
"ATP6AP1",0
"EMD",0
"ZNF503",0
"POU3F1",0
"NR5A1",0
"SLC3A2",0
"USP5",0
"MT1X",0
"ZP3",0
"KHSRP",0
"EIF4G3",0
"VAV1",0
"GRIK5",0
"ADAMTS13",0
"TBX1",0
"GCAT",0
"TREX1",0
"NUMA1",0
"DDX11",0
"FXYD2",0
"BET1L",0
"FOXH1",0
"MPZ",0
"LCE2C",0
"SAMD8",0
"PSMA4",2
"PSMC4",2
"PSMB4",2
"NFKBIB",2
"PSMA7",2
"PSME4",2
"OAZ2",2
"TIMM13",4
"CHCHD2",4
"VTN",11
"FETUB",11
"LCN1",11
"SPI1",12
"TAL1",12
"SOX14",12
"ZFPM1",12
"PPP3CC",17
"CALB2",17
"CREB3L1",17
"UNG",19
"ZBTB32",19
"MUS81",19
"PEPD",21
"MARS",21
"AZGP1",21
"FHIT",21
"CFP",22
"FCN2",22
"ADAMTS4",22
"GSS",23
"GGT1",23
"SCLY",23
"PCSK4",23
"ASL",23
"CD68",24
"TNFRSF13B",24
"CHRNA10",25
"RAPSN",25
"SPARC",27
"ACTN4",27
"LAMA5",27
"SCARF1",27
"TMSB4Y",27
"VEGFB",27
"CAB39",30
"CSNK2B",30
"EXOSC5",31
"SEC61A1",31
"MPHOSPH6",31
"RPL35",31
"RPL8",31
"MOV10L1",31
"SMG6",31
"ZC3H7B",31
"EXOSC7",31
"RPL37",31
"RPL30",31
"MRPL17",31
"RPN1",31
"RPS23",31
"MRPL16",31
"RPS9",31
"EEF2",31
"MRPS12",31
"RPL15",31
"RPL4",31
"TRAPPC5",31
"MRPS24",31
"RPLP2",31
"EXOSC3",31
"EIF4A2",31
"ARFRP1",31
"EEF1G",31
"EIF5A",31
"ZFP36L1",31
"RPLP0",31
"RPL7",31
"GSPT2",31
"RPL10",31
"RPS2",31
"RPL14",31
"RPS21",31
"RPL27A",31
"MRPL52",31
"MRPL21",31
"KPNA6",31
"RPL11",31
"DDOST",31
"RPL13A",31
"RPL32",31
"RPL37A",31
"RPL41",31
"RPL18",31
"PPP2R5A",33
"KLF6",33
"PDZD4",38
"ITGB4",38
"ITGA2B",38
"COL9A3",38
"SLC29A2",38
"INVS",40
"UBE2R2",40
"DTX3L",40
"KRT16",40
"ANAPC2",40
"OS9",40
"SOCS1",40
"TNFAIP2",40
"UBE2V1",40
"HECTD3",40
"MIB2",40
"RNF130",40
"ASB2",40
"RNF149",40
"PRKCG",42
"ATP6V1F",42
"THPO",43
"DBP",43
"PIAS1",43
"STAT3",43
"CTF1",43
"BATF",43
"STAT5A",43
"STAT4",43
"IL6R",43
"PIAS3",43
"CEBPA",43
"QRSL1",43
"PRAM1",43
"P2RY8",43
"COMP",44
"AMBP",44
"DNAJC5",44
"B3GAT3",46
"EXT2",46
"PNMT",47
"APOL1",47
"APOL3",47
"COMT",47
"CRABP2",47
"PAH",47
"BCL3",48
"EFS",48
"SRMS",48
"TSC2",48
"MAZ",48
"CSK",48
"TPSG1",48
"CNTFR",48
"HSPB1",48
"FRS3",48
"VWF",48
"CYBA",48
"THRA",48
"DAXX",48
"AKT1",48
"NONO",48
"SCGB1A1",48
"ANXA5",48
"OR5A2",48
"ORMDL3",48
"IL7R",48
"MRC2",48
"TTLL11",48
"IL32",48
"OR4C46",48
"ISYNA1",48
"UGP2",48
"CD300A",48
"CSF3R",48
"PGK1",48
"WDR6",48
"CXCR4",48
"IER2",48
"PIM2",48
"PFDN2",48
"SLC9A3R2",48
"TSPAN4",48
"SLC39A4",48
"OR1M1",48
"NPM3",48
"AQP7",48
"DPH5",48
"LCE3C",48
"SLC1A5",48
"CD53",49
"LPXN",49
"SRF",50
"MEF2D",50
"DNMT3L",51
"MTA2",51
"MTA1",51
"PHF1",51
"NPM1",52
"STAC3",52
"PKMYT1",54
"CENPH",54
"PLK1",54
"TBC1D2B",54
"CDC25A",54
"BRSK1",54
"CKS1B",54
"CAMKK2",54
"TACC3",54
"FOXM1",54
"ENTPD2",54
"PCNT",54
"SMAP1",54
"POU3F4",54
"INCENP",54
"DUSP23",54
"DYRK2",54
"DNAJC9",54
"BIN2",55
"CRK",55
"KLHDC3",55
"ADAM15",55
"UCN3",55
"EPPK1",55
"STAB1",55
"GIT1",55
"LIMK2",55
"EFNA4",55
"VPS37C",56
"LAMP1",56
"ZFYVE1",56
"PPP1R15A",57
"SAP30",57
"HDAC3",57
"MYT1",57
"BCL9L",57
"SUDS3",57
"ZNHIT1",58
"H2AFY",58
"KCNK3",59
"TSPYL2",59
"CLIC3",59
"KLF16",62
"HCFC1",62
"ANXA11",63
"HRAS",63
"PGLYRP1",64
"SCN3B",64
"VANGL1",64
"VWCE",64
"CYP46A1",65
"CYP4A11",65
"TSC22D3",65
"COX7A2L",67
"COX7C",67
"UQCRC2",67
"HINT1",67
"COX5A",67
"UBL5",67
"SDHC",67
"UQCRQ",67
"HK3",68
"GYS1",68
"IDH2",68
"MGAM",68
"SYTL1",68
"NQO2",68
"HRK",69
"BID",69
"FADS2",71
"CHDH",71
"POR",71
"LSS",71
"HIST1H2AA",72
"HIST1H2AC",72
"TFCP2",72
"PCGF6",72
"ATXN7L3",72
"DLX5",73
"WNT3",73
"SIX3",73
"BARHL1",73
"WNT10B",73
"LTBP3",73
"GBX2",73
"TBX5",73
"FGF8",73
"PORCN",73
"DGCR6",73
"ALX4",73
"MSX1",73
"PAX8",73
"NDUFB7",74
"NDUFS7",74
"NDUFB10",74
"NDUFB11",74
"ACAD9",74
"NDUFV1",74
"NDUFA3",74
"FIS1",75
"ANP32E",75
"PQBP1",76
"PAF1",76
"SF3A2",76
"LSM7",76
"GTF2H4",76
"POLD3",76
"PCBP1",76
"HOXC4",76
"CRTAP",76
"POLR2L",76
"TSEN54",76
"ZMAT5",76
"XAB2",76
"PCBP2",76
"CTNNBL1",76
"LSM2",76
"TAF1C",76
"MYBBP1A",76
"GTF2F1",76
"WAC",76
"ACP5",78
"PITX1",78
"WNT11",78
"FTCD",79
"GSTM1",79
"CNDP2",79
"GNL1",79
"TXNRD2",79
"ALOX5AP",79
"GCLM",79
"GLRX",80
"CLPP",80
"MDH2",80
"FSD1",82
"SMARCD3",82
"CDON",82
"SP1",82
"STARD7",82
"TPST2",82
"SALL2",82
"NFATC4",82
"PSTPIP1",82
"LPA",82
"CACNA1H",85
"KCNK4",85
"THOC2",90
"NUP210",90
"POM121",90
"GEMIN7",90
"GEMIN4",90
"THOC6",90
"CPSF1",90
"RANGAP1",90
"SEMA4G",91
"RHOT2",91
"LIMS2",91
"RHOBTB1",91
"RHOG",91
"SEMA4F",91
"KCTD17",91
"TNK2",91
"BAZ1B",94
"DHX30",94
"GATA2",96
"NDRG2",96
"LIM2",97
"HAMP",97
"ARPC1B",97
"VAMP8",97
"SLC22A3",97
"RAB11B",97
"RAB5C",97
"DNM2",97
"IGF2R",97
"AP2A1",97
"ARPC5",97
"RAB5B",97
"SYT8",97
"TGOLN2",97
"ARPC4",97
"BLOC1S3",97
"KRTAP11-1",98
"KRTAP6-2",98
"KRTAP23-1",98
"KRTAP19-6",98
"KRTAP6-3",98
"TUBGCP2",99
"TUBB2B",99
"PDCL3",99
"ARF1",99
"DYNC1LI1",99
"KLC2",99
"KIF1A",99
"DNAH11",99
"TUBB",99
"KIF25",99
"DYNC1H1",99
"SLC39A7",99
"CALML5",99
"SURF4",99
"TBCA",99
"KIFC1",99
"PLP2",99
"CNTROB",99
"DOC2A",99
"RAB3GAP2",99
"ASNA1",101
"GUCA2B",101
"ENTPD4",102
"CDA",102
"PPP1R1B",103
"CSNK1E",103
"STK24",103
"GRN",104
"MMP15",104
"CTSH",104
"OSBPL1A",104
"TRIM46",104
"TRIM3",104
"HLA-DRB1",104
"HLA-DMA",104
"HLA-DQA2",104
"HLA-DRA",104
"LAT",104
"IFI30",104
"RNASET2",104
"GJA8",106
"CATSPER3",106
"CACNA1A",106
"CACNA2D4",106
"SLC34A1",107
"MFNG",107
"MSN",107
"TREM1",108
"BST2",108
"LILRA4",108
"TRIM56",108
"SLAMF1",108
"IRF3",108
"IRF7",108
"IFITM1",108
"HLA-G",108
"IRF2BP2",108
"ADAR",108
"IFIT2",108
"TRIM22",108
"IRF2",108
"ACTA2",111
"FRG1",111
"MYL2",111
"TNNI2",111
"TNNT3",111
"MYL3",111
"CABP2",111
"MYO1A",111
"TCAP",111
"NUDC",111
"TNNI1",111
"TPM2",111
"ACTA1",111
"TNNT2",111
"MYL6",111
"PTMS",111
"HBQ1",112
"HBZ",112
"HBE1",112
"DCXR",112
"SPHK1",112
"DDA1",112
"ECHS1",112
"HBD",112
"PDXP",117
"TYRO3",117
"SH3GL1",117
"BAD",117
"TNIP1",117
"TNFRSF10C",117
"MCL1",117
"ECE1",117
"NDP",117
"BBC3",117
"TP73",117
"ADAMTSL2",120
"FCN1",120
"HARS2",121
"SNCB",121
"SDSL",121
"SARDH",121
"TXLNA",121
"CHCHD4",123
"TIMM8A",123
"LHX2",126
"CRB2",126
"S100A12",127
"HCK",127
"USP2",128
"VPS28",128
"KCNK9",130
"GABRD",130
"SCTR",131
"RTN4R",131
"NPY",131
"FFAR2",131
"PLCB2",131
"RASL10B",131
"ARRB2",131
"PLCB3",131
"SHKBP1",131
"PROK2",131
"PF4",131
"ADCY1",131
"LRG1",131
"GP9",131
"GNB2",131
"GNAI2",131
"UTS2R",131
"P2RY11",131
"NPW",131
"PIP5K1C",131
"RTN4RL2",131
"SERPINA6",131
"HTR3A",131
"HTR4",131
"DIRAS3",131
"GRM4",131
"CORT",131
"GPR20",131
"GNB1",131
"ADM2",131
"PIK3R5",131
"FSHR",131
"TRIM47",131
"ASIP",131
"IGFALS",131
"TAS1R1",131
"PLCD1",131
"TRPV2",131
"RGS14",131
"PTPRU",131
"PPRC1",132
"FOXK1",132
"SIN3B",132
"TCF20",132
"CYB561",133
"SERPINB5",133
"SQSTM1",134
"WDR81",134
"CYGB",135
"HELT",135
"TH",135
"DBH",135
"HOMER3",136
"CAMK2A",136
"SYNGAP1",136
"RASGRP2",137
"SOS1",137
"SET",138
"FTSJ3",138
"CD22",139
"RELB",139
"CD79A",139
"SELL",139
"PI3",139
"TRAF5",139
"TMEM115",139
"NTAN1",139
"IL13",139
"PAM",139
"CD7",139
"KIR2DL1",139
"SIGLEC1",139
"GAL3ST1",139
"TNFSF13",139
"NES",139
"S100A6",139
"NFKB2",139
"FTL",139
"TNF",139
"CD207",139
"ELF4",139
"CDKN1C",139
"DYRK1B",139
"PADI4",139
"HSPBP1",140
"DLG5",140
"ARHGAP17",141
"FGD3",141
"OBSCN",141
"ARHGEF16",141
"ARHGAP9",141
"FANCG",142
"APEX2",142
"ZNF148",147
"AGPAT1",147
"TMSB4X",150
"LIMD1",150
"KCNQ4",152
"F11R",152
"KCNJ11",152
"MICAL1",152
"KCNIP2",152
"ACHE",156
"CHRNG",156
"DHRS7B",162
"TBXAS1",162
"PLA2G2F",162
"HSD17B1",162
"KCNMB1",163
"SCNN1D",163
"PRMT8",165
"PPAN",165
"CES2",167
"NT5M",167
