"node","cluster"
"TFAP4",0
"PCSK1N",0
"ACP5",0
"MT4",0
"ZP2",0
"C8G",0
"HAND1",0
"GRIN3B",0
"RGS2",0
"EGR1",0
"GJA8",0
"NPY",0
"CHPF",0
"PHC1",0
"GDF15",0
"CD63",0
"RIPK1",0
"USP22",0
"LPIN2",0
"ZBTB32",0
"TJP3",0
"SCARF1",0
"ABCA7",0
"P2RX3",0
"SH3GL1",0
"GEMIN7",0
"TM4SF5",0
"MCM3AP",0
"CRK",0
"HINT1",0
"IL7R",0
"HCFC1",0
"DLGAP1",0
"OS9",0
"PRMT5",0
"ARFRP1",0
"GLUD2",0
"CNGA2",0
"IDH2",0
"EPHB3",0
"PPFIA3",0
"UGP2",0
"BAZ1B",0
"PYCR2",0
"GATA2",0
"PRODH",0
"COMT",0
"WDTC1",0
"CRTC2",0
"S100A8",0
"LCE2A",0
"ATP6AP1",0
"EMD",0
"FCN1",0
"CSF3R",0
"DDOST",0
"HCK",0
"CORT",0
"SLC3A2",0
"CHCHD2",0
"EPPK1",0
"CPE",0
"MT1X",0
"KHSRP",0
"EIF4G3",0
"MSX1",0
"SLC25A23",0
"GRIK5",0
"LY6H",0
"CHRNG",0
"SLC9A3R2",0
"NUMA1",0
"DDX11",0
"FXYD2",0
"BET1L",0
"SCNN1D",0
"FOXH1",0
"ATP6V1F",0
"MPZ",0
"CRB2",0
"LCE2C",0
"PGLYRP1",1
"BRSK1",1
"VWCE",1
"PIGQ",2
"GYS1",2
"RTN4R",3
"CHAD",3
"LRG1",3
"OPTC",3
"IGFALS",3
"TXN2",5
"UNG",5
"MUS81",5
"GSS",6
"ASL",6
"USP11",8
"RAB24",8
"KPNA6",8
"CD22",12
"CD79A",12
"WNT3",14
"PROK2",14
"WNT10B",14
"WNT11",14
"PIGL",15
"ISYNA1",15
"VTN",16
"LCN1",16
"SPI1",17
"SOX14",17
"ZFPM1",17
"PPP3CC",22
"ILKAP",22
"THOC2",26
"NUP210",26
"POM121",26
"GEMIN4",26
"CFP",27
"THSD1",27
"ADAMTS4",27
"ADAMTS13",27
"GGT1",28
"PCSK4",28
"GCLM",28
"CD68",29
"MRC2",29
"CHRNA10",30
"RAPSN",30
"CNGB1",31
"ACHE",31
"CALML5",31
"ACTN4",33
"LAMA5",33
"LPA",33
"HBQ1",35
"HBZ",35
"HBE1",35
"CYGB",35
"HBD",35
"PAH",35
"PLCB2",38
"PLCB3",38
"PIP5K1C",38
"SPARC",39
"VWF",39
"PAIP2",39
"TMSB4Y",39
"PF4",39
"VEGFB",39
"TMSB4X",39
"LIMD1",39
"FLII",39
"PEPD",42
"MARS",42
"SMARCD3",43
"PITX1",43
"ITGB4",44
"ITGA2B",44
"SLC29A2",44
"DBP",50
"DLX5",50
"MYOG",50
"PIAS1",50
"STAT3",50
"BATF",50
"LTBP3",50
"IL32",50
"STAT5A",50
"STAT4",50
"PIAS3",50
"CEBPA",50
"QRSL1",50
"NDRG2",50
"PDXP",51
"COMP",51
"AMBP",51
"APOL1",51
"TNFRSF10C",51
"DNAJC5",51
"TSPAN1",51
"SRF",52
"MEF2D",52
"BIN2",53
"ALOX5AP",53
"BCL3",55
"EFS",55
"TSC2",55
"CSK",55
"NCK2",55
"HSPB1",55
"DAXX",55
"AKT1",55
"NONO",55
"ARHGAP17",55
"DCXR",55
"EIF4EBP1",55
"KCTD17",55
"VAV1",55
"PFDN2",55
"SLC39A4",55
"DPH5",55
"SLC1A5",55
"FRG1",58
"MYL2",58
"TNNI2",58
"TNNT3",58
"MYL3",58
"TCAP",58
"MYO18B",58
"TNNI1",58
"TPM2",58
"TNNT2",58
"PTMS",58
"SIX3",59
"MTA2",59
"TAL1",59
"MTA1",59
"F11R",60
"CLDN6",60
"FCN2",62
"HK3",62
"SLURP1",63
"LY6E",63
"TIMM13",64
"JOSD1",64
"NIPSNAP1",64
"CHCHD4",64
"TREX1",64
"NPM1",65
"STAC3",65
"DHX30",65
"PPIB",66
"CRTAP",66
"COL9A3",66
"PPP2R5A",67
"PKMYT1",67
"NUBP2",67
"CENPH",67
"PLK1",67
"TBC1D2B",67
"CDC25A",67
"CAMKK2",67
"TSC22D3",67
"NUDC",67
"TACC3",67
"RANGAP1",67
"PCNT",67
"FANCG",67
"INCENP",67
"APEX2",67
"DUSP23",67
"PAX8",67
"NPM3",67
"PADI4",67
"AQP7",67
"DYRK2",67
"DNAJC9",67
"PPP1R15A",69
"HDAC3",69
"HELT",69
"PPP1R1B",71
"ZNHIT1",71
"STK24",71
"H2AFY",71
"PI3",72
"IL13",72
"RFXANK",73
"NKX6-2",73
"UNC93A",75
"KCNK9",75
"KCNK3",75
"TSPYL2",75
"GABRD",75
"CLIC3",75
"GABARAP",76
"ADAR",76
"MRPL17",77
"MRPL16",77
"MRPS12",77
