"node","cluster"
"CD22",0
"TFAP4",0
"PCSK1N",0
"USP11",0
"ACP5",0
"MT4",0
"ZP2",0
"PIGL",0
"GRIN3B",0
"CHRNA10",0
"PHC1",0
"GDF15",0
"SCLY",0
"CAB39",0
"USP22",0
"MARS",0
"TJP3",0
"ABCA7",0
"PAIP2",0
"RHPN1",0
"NPM1",0
"PPIB",0
"KCNK9",0
"SLAMF1",0
"MRC2",0
"DRAP1",0
"HCFC1",0
"CRTAP",0
"ODF3",0
"ARFRP1",0
"GLUD2",0
"CNGA2",0
"FOXK1",0
"EPHB3",0
"ALAS2",0
"RAB11B",0
"MTA1",0
"CACNA1H",0
"PPFIA3",0
"KCNE1",0
"TCF7",0
"RANGAP1",0
"ASNA1",0
"ENTPD4",0
"CACNA1A",0
"COMT",0
"ADAMTS4",0
"S100A6",0
"S100A12",0
"LCE2A",0
"FCN1",0
"TIMM8A",0
"POU3F4",0
"NR5A1",0
"HLA-DQA2",0
"CSNK2B",0
"VPS28",0
"SLC3A2",0
"GABRD",0
"SERPINB5",0
"HOMER3",0
"IRF2",0
"CPE",0
"MT1X",0
"AGPAT1",0
"MGAM",0
"GRIK5",0
"LY6H",0
"CHRNG",0
"NUMA1",0
"ATXN7L3",0
"FXYD2",0
"H2AFY",0
"FOXH1",0
"ATP6V1F",0
"NT5M",0
"LCE2C",0
"ITGB4",2
"RAPSN",2
"GSS",4
"CD53",4
"LPXN",4
"SRMS",10
"CSK",10
"PIM2",10
"SF3A2",11
"LPIN2",11
"RAB24",11
"COMP",12
"TYRO3",12
"SEMA4G",13
"FIS1",13
"ACTA2",13
"INVS",13
"TMSB4Y",13
"HIPK4",13
"CABP2",13
"FGD3",13
"SEMA4F",13
"ACTA1",13
"EFHD2",13
"SQSTM1",13
"KCTD17",13
"DYRK1B",13
"TBCA",13
"SYTL1",13
"NQO2",13
"DYRK2",13
"SCNN1D",13
"WDR81",13
"ARHGEF16",13
"SPI1",15
"BIN2",15
"TAL1",15
"SOX14",15
"ZFPM1",15
"HARS2",16
"GLRX",16
"HMGN2",16
"IRX4",17
"SLC25A23",17
"GRN",19
"EGR1",19
"BST2",19
"IRF3",19
"IRF7",19
"IFITM1",19
"IRF2BP2",19
"IFIT2",19
"TRIM22",19
"PPP3CC",20
"ILKAP",20
"CREB3L1",20
"NPY",21
"NPW",21
"SERPINA6",21
"CXCR4",21
"FLII",21
"SEC61A1",22
"EMD",22
"CFP",23
"ADAMTSL2",23
"ADAMTS13",23
"PEPD",24
"GGT1",24
"ASL",24
"SDSL",24
"GAL3ST1",24
"GCLM",24
"CNGB1",26
"CALML5",26
"ACTN4",28
"ZC3H7B",28
"VEGFB",28
"TUBGCP2",30
"STAC3",30
"LAMA5",31
"EPPK1",31
"RIPK1",34
"TP73",34
"USP2",35
"ZFYVE1",35
"RGS14",35
"TSC2",36
"PPP2R5A",36
"OAZ2",36
"ZNF148",36
"KLF6",36
"TRAF5",37
"TNFRSF13B",37
"NTAN1",37
"SET",37
"HSPB1",39
"PFDN1",39
"SPARC",42
"SCARF1",42
"UBE2R2",44
"DTX3L",44
"KRT16",44
"ANAPC2",44
"SOCS1",44
"TNFAIP2",44
"UBE2V1",44
"HECTD3",44
"MIB2",44
"RNF130",44
"ASB2",44
"RNF149",44
"P2RX3",45
"ACHE",45
"BCL3",46
"DBP",46
"PIAS1",46
"SMARCD3",46
"STAT3",46
"PITX1",46
"DAXX",46
"BATF",46
"STAT5A",46
"STAT4",46
"CEBPA",46
"QRSL1",46
"PRAM1",46
"NPM3",46
"PDXP",47
"AMBP",47
"SH3GL1",47
"BAD",47
"APOL1",47
"MCL1",47
"ECE1",47
"NDP",47
"SRF",49
"DHH",49
"MEF2D",49
"NIPSNAP1",50
"CHPF",50
"B3GAT3",50
"CHCHD2",50
"EXT2",50
"PNMT",51
"APOL3",51
"PPP1R15A",52
"RGS2",52
"TREM1",52
"HRK",52
"CYBA",52
"ITGA2B",52
"AKT1",52
"SCGB1A1",52
"ARHGAP17",52
"VPS37C",52
"OR5A2",52
"HRAS",52
"BID",52
"PORCN",52
"TSSC4",52
"LAMP1",52
"ISYNA1",52
"EIF4EBP1",52
"CRTC2",52
"DIRAS2",52
"LAT",52
"RTN2",52
"ELF4",52
"BBC3",52
"PTPRU",52
"CYHR1",52
"FRG1",53
"MYL2",53
"TNNI2",53
"TNNT3",53
"MYL3",53
"TCAP",53
"TNNI1",53
"TPM2",53
"TNNT2",53
"MYL6",53
"THRA",54
"MTA2",54
"SAP30",54
"HINT1",54
"HOXC4",54
"HELT",54
"SIN3B",54
"SUDS3",54
"PLA2G2F",54
"PHF1",54
"PLCB2",55
"PRKCG",55
"PLCB3",55
"PIP5K1C",55
"SMYD3",55
"PIK3R5",55
"PLCD1",55
