"node","cluster"
"RTN4R",1
"TFAP4",1
"NIPSNAP1",1
"PCSK1N",1
"USP11",1
"MT4",1
"ZP2",1
"PIGL",1
"GRIN3B",1
"RGS2",1
"CNGB1",1
"PHC1",1
"GDF15",1
"SCLY",1
"CAB39",1
"RIPK1",1
"USP22",1
"ZBTB32",1
"TJP3",1
"SCARF1",1
"ABCA7",1
"UBE2R2",1
"P2RX3",1
"PAIP2",1
"RHPN1",1
"PF4",1
"NPM1",1
"CRK",1
"GABARAP",1
"MUS81",1
"HCFC1",1
"BRSK1",1
"OR2Z1",1
"KIF1A",1
"ARFRP1",1
"GLUD2",1
"CNGA2",1
"EPHB3",1
"ALAS2",1
"RAB11B",1
"PPFIA3",1
"KCNE1",1
"TCF7",1
"BAZ1B",1
"AP2A1",1
"COMT",1
"S100A8",1
"LCE2A",1
"EMD",1
"FCN1",1
"SARDH",1
"VPS28",1
"SLC3A2",1
"MYBBP1A",1
"HOMER3",1
"CXCR4",1
"FTSJ3",1
"MIB2",1
"OBSCN",1
"CPE",1
"MT1X",1
"KHSRP",1
"MGAM",1
"GRIK5",1
"LY6H",1
"NUMA1",1
"DDX11",1
"FXYD2",1
"SCNN1D",1
"LRRC20",1
"FOXH1",1
"ATP6V1F",1
"MPZ",1
"LCE2C",1
"TXN2",2
"THRA",2
"MDH2",2
"HMGN2",2
"CD22",3
"CD79A",3
"SPI1",4
"BIN2",4
"ZFPM1",4
"ALOX5AP",4
"HAND1",5
"TBX5",5
"IRX4",6
"SLC25A23",6
"EGR1",7
"PITX1",7
"IRF2BP2",7
"NPY",8
"SERPINA6",8
"DGCR6L",9
"DGCR6",9
"PYCR2",9
"GSS",10
"GGT1",10
"ACTN4",11
"ZC3H7B",11
"TMSB4Y",11
"VEGFB",11
"PPP3CC",12
"ILKAP",12
"TTLL11",12
"ADAM15",12
"CREB3L1",12
"GTF2H4",13
"CHTF18",13
"PEPD",14
"MARS",14
"SPARC",15
"VWF",15
"ITGA2B",15
"SLC29A2",15
"DBP",16
"PIAS1",16
"STAT3",16
"BATF",16
"STAT5A",16
"STAT4",16
"CEBPA",16
"QRSL1",16
"PRAM1",16
"AMBP",17
"APOL1",17
"CHPF",18
"B3GAT3",18
"CHCHD2",18
"EXT2",18
"NDUFB7",19
"NDUFS7",19
"UQCRC2",19
"NDUFB10",19
"NDUFB11",19
"ACAD9",19
"NDUFV1",19
"SDHC",19
