"node","cluster"
"PCK2",0
"SLC17A7",0
"TBX4",0
"IRAK2",0
"DGCR8",0
"TRPV5",0
"MAD1L1",0
"INHBE",0
"UCHL1",0
"KCNAB3",0
"RAC3",0
"BRSK1",0
"DYNC1I1",0
"CABP4",0
"SP1",0
"ALAS2",0
"SAMM50",0
"ZNF593",0
"GABBR2",0
"LDLR",0
"DUX4",0
"PELI3",0
"CDT1",0
"PMF1",0
"HLA-DRA",0
"KCNH6",0
"RIMS2",0
"MTG1",0
"CDC34",1
"UBE2E3",1
"GSTZ1",2
"SUPT5H",2
"CBL",8
"FBXL2",8
"ZNRF3",8
"F2RL3",15
"CHRM1",15
"OR1E1",15
"FHL2",15
"OR1J2",15
"OR5C1",15
"POU2F1",15
"OR7G1",15
"SPTBN4",17
"MYO1A",17
"RILP",17
"DNAI2",17
"SPTBN2",17
"UBL4B",17
"PDCD1",17
"CACNA1E",17
"HOXA2",21
"CBX4",21
"CENPH",21
"HIST1H2AK",21
"AMH",24
"ASGR1",24
"TGFB2",24
"BMPER",24
"NFKBIE",26
"LRRK1",26
"CD79B",26
"HIST1H2BN",27
"EEF1D",27
"MPO",27
"SNX17",28
"LPA",28
"NR1H3",28
"ARRB1",28
"AVPR1B",28
"CBLC",28
"LAMB2",28
"RETN",29
"CRTC2",29
"TRPM1",35
"VDR",35
"CLEC1B",37
"ITIH3",37
"IGLL1",38
"CARD11",38
"BCS1L",39
"KRT4",39
"PLEKHG5",42
"ARHGAP10",42
"GNMT",44
"HBD",44
"DPEP1",45
"STK32A",45
