"topology","subject","measure","ontology","BHI"
"string","mets","Resnik","MF",0.415
"string","mets","Resnik","BP",0.38
"string","mets","Resnik","CC",0.361
"string","mets","Lin","MF",0.415
"string","mets","Lin","BP",0.362
"string","mets","Lin","CC",0.321
"string","mets","Rel","MF",0.415
"string","mets","Rel","BP",0.362
"string","mets","Rel","CC",0.321
"string","mets","Jiang","MF",0.39
"string","mets","Jiang","BP",0.325
"string","mets","Jiang","CC",0.325
"string","mets","Wang","MF",0.401
"string","mets","Wang","BP",0.386
"string","mets","Wang","CC",0.321
"string","t2d","Resnik","MF",0.47
"string","t2d","Resnik","BP",0.431
"string","t2d","Resnik","CC",0.431
"string","t2d","Lin","MF",0.469
"string","t2d","Lin","BP",0.432
"string","t2d","Lin","CC",0.442
"string","t2d","Rel","MF",0.469
"string","t2d","Rel","BP",0.446
"string","t2d","Rel","CC",0.44
"string","t2d","Jiang","MF",0.429
"string","t2d","Jiang","BP",0.442
"string","t2d","Jiang","CC",0.418
"string","t2d","Wang","MF",0.447
"string","t2d","Wang","BP",0.449
"string","t2d","Wang","CC",0.418
"string","cad","Resnik","MF",0.452
"string","cad","Resnik","BP",0.451
"string","cad","Resnik","CC",0.446
"string","cad","Lin","MF",0.459
"string","cad","Lin","BP",0.456
"string","cad","Lin","CC",0.445
"string","cad","Rel","MF",0.462
"string","cad","Rel","BP",0.453
"string","cad","Rel","CC",0.449
"string","cad","Jiang","MF",0.454
"string","cad","Jiang","BP",0.448
"string","cad","Jiang","CC",0.44
"string","cad","Wang","MF",0.438
"string","cad","Wang","BP",0.446
"string","cad","Wang","CC",0.447
"inet","mets","Resnik","MF",0.471
"inet","mets","Resnik","BP",0.479
"inet","mets","Resnik","CC",0.447
"inet","mets","Lin","MF",0.408
"inet","mets","Lin","BP",0.436
"inet","mets","Lin","CC",0.417
"inet","mets","Rel","MF",0.408
"inet","mets","Rel","BP",0.436
"inet","mets","Rel","CC",0.417
"inet","mets","Jiang","MF",0.421
"inet","mets","Jiang","BP",0.436
"inet","mets","Jiang","CC",0.352
"inet","mets","Wang","MF",0.441
"inet","mets","Wang","BP",0.376
"inet","mets","Wang","CC",0.333
"inet","t2d","Resnik","MF",0.493
"inet","t2d","Resnik","BP",0.479
"inet","t2d","Resnik","CC",0.482
"inet","t2d","Lin","MF",0.493
"inet","t2d","Lin","BP",0.477
"inet","t2d","Lin","CC",0.482
"inet","t2d","Rel","MF",0.493
"inet","t2d","Rel","BP",0.479
"inet","t2d","Rel","CC",0.482
"inet","t2d","Jiang","MF",0.493
"inet","t2d","Jiang","BP",0.477
"inet","t2d","Jiang","CC",0.483
"inet","t2d","Wang","MF",0.493
"inet","t2d","Wang","BP",0.477
"inet","t2d","Wang","CC",0.482
"inet","cad","Resnik","MF",0.467
"inet","cad","Resnik","BP",0.455
"inet","cad","Resnik","CC",0.475
"inet","cad","Lin","MF",0.466
"inet","cad","Lin","BP",0.457
"inet","cad","Lin","CC",0.472
"inet","cad","Rel","MF",0.453
"inet","cad","Rel","BP",0.451
"inet","cad","Rel","CC",0.474
"inet","cad","Jiang","MF",0.468
"inet","cad","Jiang","BP",0.452
"inet","cad","Jiang","CC",0.466
"inet","cad","Wang","MF",0.467
"inet","cad","Wang","BP",0.453
"inet","cad","Wang","CC",0.468
