"node","cluster"
"204102_s_at",1
"207585_s_at",1
"208620_at",1
"217266_at",1
"200074_s_at",1
"221798_x_at",1
"200019_s_at",1
"200062_s_at",1
"212044_s_at",1
"200926_at",1
"201033_x_at",1
"200717_x_at",1
"201429_s_at",1
"200010_at",1
"221475_s_at",1
"213588_x_at",1
"208856_x_at",1
"213459_at",1
"214317_x_at",1
"212042_x_at",1
"221476_s_at",1
"219138_at",1
"211720_x_at",1
"214041_x_at",1
"217747_s_at",1
"211972_x_at",1
"200002_at",1
"204330_s_at",1
"200936_at",1
"200674_s_at",1
"214167_s_at",1
"200022_at",1
"200092_s_at",1
"214335_at",1
"201492_s_at",1
"222297_x_at",1
"200908_s_at",1
"200834_s_at",1
"217670_at",1
"214097_at",1
"215071_s_at",1
"200094_s_at",1
"204331_s_at",1
"210008_s_at",1
"213840_s_at",1
"201122_x_at",1
"213753_x_at",1
"201123_s_at",1
"201011_at",1
"217980_s_at",1
"205541_s_at",1
"204031_s_at",1
"213263_s_at",1
"209252_at",1
"213264_at",1
"218110_at",1
"218103_at",1
"213517_at",1
"200967_at",1
"200968_s_at",1
"200057_s_at",1
"201638_s_at",1
"208698_s_at",1
"219098_at",1
"210470_x_at",1
"205527_s_at",1
"201114_x_at",1
"203396_at",1
"217099_s_at",1
"216088_s_at",1
"201252_at",1
"209449_at",1
"209026_x_at",1
"211714_x_at",1
"200063_s_at",1
"212320_at",1
"221691_x_at",1
"221923_s_at",1
"202244_at",2
"218555_at",2
"200852_x_at",2
"218679_s_at",2
"201390_s_at",2
"200744_s_at",2
"202243_s_at",2
"200745_s_at",2
"201851_at",2
"200746_s_at",2
"201140_s_at",2
"216326_s_at",3
"218338_at",3
"202247_s_at",3
"203444_s_at",3
"211783_s_at",3
"204898_at",3
"209352_s_at",3
"39705_at",3
"204899_s_at",3
"204900_x_at",3
"213963_s_at",3
"202473_x_at",3
"202474_s_at",3
"207163_s_at",4
"218223_s_at",4
"210575_at",5
"218260_at",5
"215497_s_at",5
"216036_x_at",5
"201173_x_at",5
"210574_s_at",5
"40829_at",5
"219769_at",5
"202112_at",5
"203663_s_at",5
"208992_s_at",6
"215506_s_at",6
"208991_at",6
"214732_at",6
"202580_x_at",6
"201694_s_at",6
"208675_s_at",7
"200714_x_at",7
"217716_s_at",7
"215399_s_at",7
"208674_x_at",7
"202226_s_at",8
"206883_x_at",8
"206493_at",8
"216966_at",8
"218030_at",8
"206494_s_at",8
"207613_s_at",8
"218463_s_at",9
"221219_s_at",9
"202225_at",10
"203833_s_at",10
"212043_at",10
"202224_at",10
"201392_s_at",10
"203834_s_at",10
"212040_at",10
"201393_s_at",10
"202240_at",11
"203660_s_at",11
"222015_at",11
"211928_at",11
"202476_s_at",11
"202477_s_at",11
"213563_s_at",11
"213333_at",12
"202290_at",12
"217624_at",12
"209036_s_at",12
"208984_x_at",12
"217221_x_at",12
"208714_at",13
"202839_s_at",13
"218563_at",13
"211752_s_at",13
"211407_at",13
"201568_at",13
"201134_x_at",13
"202004_x_at",13
"213846_at",13
"210131_x_at",13
"217491_x_at",13
"215088_s_at",13
"216591_s_at",13
"201897_s_at",14
"218308_at",14
"200600_at",15
"200663_at",15
"208894_at",15
"202401_s_at",15
"218076_s_at",16
"212780_at",16
"203175_at",16
"221789_x_at",16
"212651_at",16
"222131_x_at",16
"212777_at",16
"212983_at",17
"201276_at",17
"203136_at",17
"201156_s_at",17
"217793_at",17
"201954_at",18
"211963_s_at",18
"217817_at",18
"217818_s_at",18
"213048_s_at",19
"210800_at",19
"205217_at",19
"210231_x_at",19
"212600_s_at",19
"200883_at",19
"200645_at",20
"209078_s_at",20
"202024_at",20
"209077_at",20
"202799_at",20
"201135_at",20
"212082_s_at",20
"214002_at",20
"208018_s_at",21
"221548_s_at",21
"202329_at",21
"202621_at",22
"203275_at",22
"208436_s_at",22
"201693_s_at",22
"217502_at",22
"201786_s_at",22
"217786_at",23
"219085_s_at",23
"203872_at",24
"205177_at",24
"206393_at",24
"215389_s_at",24
"204083_s_at",24
"209742_s_at",24
"205693_at",24
"212654_at",24
"203577_at",25
"208149_x_at",25
"209773_s_at",26
"213092_x_at",26
"212836_at",26
"203740_at",27
"213648_at",27
"218481_at",27
"212627_s_at",27
"204371_s_at",27
"212303_x_at",27
"204372_s_at",27
"213112_s_at",28
"201708_s_at",28
"201709_s_at",28
"202388_at",28
"201471_s_at",28
"209364_at",29
"206863_x_at",29
"200796_s_at",29
"206864_s_at",29
"1861_at",29
"206865_at",29
"200797_s_at",29
"200798_x_at",29
"214056_at",29
"214057_at",29
"204493_at",29
"201841_s_at",30
"200974_at",30
"215787_at",30
"216438_s_at",30
"210333_at",31
"208502_s_at",31
"217383_at",32
"215996_at",32
"217356_s_at",33
"201040_at",33
"37462_i_at",34
"215089_s_at",34
"205049_s_at",35
"206181_at",35
"207641_at",35
"206219_s_at",36
"205312_at",36
"204039_at",37
"207954_at",37
"206283_s_at",37
"209710_at",37
"205205_at",38
"207535_s_at",38
"211524_at",38
"209381_x_at",39
"212125_at",39
"200738_s_at",40
"214023_x_at",40
"201890_at",41
"213088_s_at",41
"213728_at",42
"202546_at",42
"201553_s_at",43
"200677_at",43
"207282_s_at",44
"209479_at",44
"214062_x_at",44
"214448_x_at",44
"218906_x_at",45
"206453_s_at",45
"214279_s_at",45
"214278_s_at",45
"207136_at",46
"217028_at",46
"203388_at",46
"209201_x_at",46
"211919_s_at",46
"201552_at",47
"219053_s_at",47
"217873_at",48
"204292_x_at",48
"206834_at",49
"205919_at",49
"220807_at",49
"217683_at",49
"206647_at",49
"210150_s_at",50
"201380_at",50
"209941_at",51
"204352_at",51
"210206_s_at",52
"209680_s_at",52
"208159_x_at",53
"214501_s_at",53
"203667_at",54
"218336_at",54
"208826_x_at",55
"206492_at",55
"202093_s_at",56
"221021_s_at",56
"211320_s_at",57
"213368_x_at",57
"215280_s_at",57
"222122_s_at",58
"201936_s_at",58
"203315_at",59
"204927_at",59
"40359_at",59
"206634_at",60
"211219_s_at",60
"206140_at",60
"205932_s_at",60
"213384_x_at",61
"209830_s_at",61
"206793_at",62
"208817_at",62
"215925_s_at",63
"38521_at",63
"212994_at",64
"201935_s_at",64
"211201_at",65
"210382_at",65
"207577_at",65
"209636_at",66
"207001_x_at",66
"205688_at",67
"209338_at",67
"210358_x_at",68
"216928_at",68
"216925_s_at",68
"206390_x_at",69
"203683_s_at",69
"207772_s_at",70
"222360_at",70
"203522_at",71
"218320_s_at",71
"211630_s_at",72
"215333_x_at",72
"207627_s_at",73
"40446_at",73
"202928_s_at",73
"204696_s_at",74
"204267_x_at",74
"210982_s_at",75
"217478_s_at",75
"203564_at",76
"204217_s_at",76
"34408_at",76
"217752_s_at",77
"202108_at",77
"208474_at",78
"213412_at",78
"35148_at",78
"208330_at",79
"207155_at",79
"205863_at",80
"214370_at",80
"205965_at",81
"209783_at",81
"209782_s_at",81
"217728_at",82
"214783_s_at",82
"1316_at",9999
"1438_at",9999
"200083_at",9999
"200093_s_at",9999
"200601_at",9999
"200644_at",9999
"200665_s_at",9999
"200678_x_at",9999
"200737_at",9999
"200747_s_at",9999
"200782_at",9999
"200924_s_at",9999
"201116_s_at",9999
"201117_s_at",9999
"201136_at",9999
"201415_at",9999
"201507_at",9999
"201527_at",9999
"201541_s_at",9999
"201551_s_at",9999
"201641_at",9999
"201673_s_at",9999
"201749_at",9999
"201750_s_at",9999
"201751_at",9999
"201763_s_at",9999
"202005_at",9999
"202012_s_at",9999
"202013_s_at",9999
"202087_s_at",9999
"202186_x_at",9999
"202187_s_at",9999
"202193_at",9999
"202218_s_at",9999
"202245_at",9999
"202253_s_at",9999
"202330_s_at",9999
"202336_s_at",9999
"202354_s_at",9999
"202355_s_at",9999
"202356_s_at",9999
"202400_s_at",9999
"202415_s_at",9999
"202459_s_at",9999
"202460_s_at",9999
"202500_at",9999
"202586_at",9999
"202667_s_at",9999
"202676_x_at",9999
"202758_s_at",9999
"202917_s_at",9999
"202968_s_at",9999
"202969_at",9999
"202970_at",9999
"202971_s_at",9999
"203003_at",9999
"203004_s_at",9999
"203010_at",9999
"203028_s_at",9999
"203035_s_at",9999
"203043_at",9999
"203258_at",9999
"203307_at",9999
"203318_s_at",9999
"203319_s_at",9999
"203416_at",9999
"203490_at",9999
"203591_s_at",9999
"203737_s_at",9999
"203814_s_at",9999
"203828_s_at",9999
"203838_s_at",9999
"203839_s_at",9999
"203849_s_at",9999
"203850_s_at",9999
"203925_at",9999
"203937_s_at",9999
"203938_s_at",9999
"204046_at",9999
"204076_at",9999
"204077_x_at",9999
"204079_at",9999
"204099_at",9999
"204100_at",9999
"204144_s_at",9999
"204150_at",9999
"204152_s_at",9999
"204153_s_at",9999
"204174_at",9999
"204269_at",9999
"204280_at",9999
"204355_at",9999
"204400_at",9999
"204408_at",9999
"204550_x_at",9999
"204559_s_at",9999
"204563_at",9999
"204581_at",9999
"204600_at",9999
"204608_at",9999
"204695_at",9999
"204855_at",9999
"204910_s_at",9999
"204911_s_at",9999
"204954_s_at",9999
"204989_s_at",9999
"204990_s_at",9999
"205096_at",9999
"205129_at",9999
"205377_s_at",9999
"205378_s_at",9999
"205477_s_at",9999
"205480_s_at",9999
"205482_x_at",9999
"205561_at",9999
"205589_at",9999
"205597_at",9999
"205627_at",9999
"205663_at",9999
"205723_at",9999
"205766_at",9999
"205798_at",9999
"205873_at",9999
"205897_at",9999
"205936_s_at",9999
"205945_at",9999
"206001_at",9999
"206031_s_at",9999
"206056_x_at",9999
"206057_x_at",9999
"206096_at",9999
"206118_at",9999
"206194_at",9999
"206200_s_at",9999
"206213_at",9999
"206270_at",9999
"206333_at",9999
"206338_at",9999
"206399_x_at",9999
"206450_at",9999
"206737_at",9999
"206769_at",9999
"206813_at",9999
"207000_s_at",9999
"207113_s_at",9999
"207168_s_at",9999
"207179_at",9999
"207196_s_at",9999
"207211_at",9999
"207213_s_at",9999
"207359_at",9999
"207372_s_at",9999
"207384_at",9999
"207407_x_at",9999
"207578_s_at",9999
"207644_at",9999
"207694_at",9999
"207721_x_at",9999
"207769_s_at",9999
"207809_s_at",9999
"207844_at",9999
"207853_s_at",9999
"207889_at",9999
"208009_s_at",9999
"208103_s_at",9999
"208130_s_at",9999
"208158_s_at",9999
"208177_at",9999
"208206_s_at",9999
"208291_s_at",9999
"208345_s_at",9999
"208445_s_at",9999
"208449_s_at",9999
"208668_x_at",9999
"208723_at",9999
"208763_s_at",9999
"208784_s_at",9999
"208818_s_at",9999
"208854_s_at",9999
"208855_s_at",9999
"208916_at",9999
"208928_at",9999
"208960_s_at",9999
"208961_s_at",9999
"209235_at",9999
"209462_at",9999
"209477_at",9999
"209485_s_at",9999
"209497_s_at",9999
"209587_at",9999
"209667_at",9999
"209668_x_at",9999
"209697_at",9999
"209800_at",9999
"209881_s_at",9999
"209999_x_at",9999
"210000_s_at",9999
"210001_s_at",9999
"210045_at",9999
"210046_s_at",9999
"210063_at",9999
"210114_at",9999
"210234_at",9999
"210314_x_at",9999
"210332_at",9999
"210341_at",9999
"210388_at",9999
"210447_at",9999
"210475_at",9999
"210499_s_at",9999
"210514_x_at",9999
"210560_at",9999
"210582_s_at",9999
"210770_s_at",9999
"210787_s_at",9999
"210845_s_at",9999
"210862_s_at",9999
"210880_s_at",9999
"210890_x_at",9999
"210975_x_at",9999
"211005_at",9999
"211018_at",9999
"211019_s_at",9999
"211021_s_at",9999
"211054_at",9999
"211055_s_at",9999
"211154_at",9999
"211155_s_at",9999
"211178_s_at",9999
"211231_x_at",9999
"211284_s_at",9999
"211313_s_at",9999
"211322_s_at",9999
"211412_at",9999
"211413_s_at",9999
"211431_s_at",9999
"211432_s_at",9999
"211528_x_at",9999
"211529_x_at",9999
"211530_x_at",9999
"211560_s_at",9999
"211570_s_at",9999
"211610_at",9999
"211725_s_at",9999
"211730_s_at",9999
"211831_s_at",9999
"211886_s_at",9999
"211905_s_at",9999
"211924_s_at",9999
"211962_s_at",9999
"211965_at",9999
"212024_x_at",9999
"212025_s_at",9999
"212059_s_at",9999
"212101_at",9999
"212102_s_at",9999
"212103_at",9999
"212127_at",9999
"212219_at",9999
"212220_at",9999
"212222_at",9999
"212252_at",9999
"212518_at",9999
"212667_at",9999
"212674_s_at",9999
"212788_x_at",9999
"212796_s_at",9999
"212958_x_at",9999
"213108_at",9999
"213187_x_at",9999
"213245_at",9999
"213277_at",9999
"213283_s_at",9999
"213284_at",9999
"213336_at",9999
"213337_s_at",9999
"213345_at",9999
"213509_x_at",9999
"213633_at",9999
"213707_s_at",9999
"213783_at",9999
"213812_s_at",9999
"213884_s_at",9999
"213885_at",9999
"213889_at",9999
"213950_s_at",9999
"213981_at",9999
"214049_x_at",9999
"214114_x_at",9999
"214250_at",9999
"214251_s_at",9999
"214292_at",9999
"214367_at",9999
"214368_at",9999
"214369_s_at",9999
"214383_x_at",9999
"214425_at",9999
"214498_at",9999
"214500_at",9999
"214527_s_at",9999
"214551_s_at",9999
"214620_x_at",9999
"214866_at",9999
"214883_at",9999
"214933_at",9999
"214940_s_at",9999
"215188_at",9999
"215340_at",9999
"215348_at",9999
"215535_s_at",9999
"215624_at",9999
"215640_at",9999
"215735_s_at",9999
"215794_x_at",9999
"215822_x_at",9999
"215951_at",9999
"216024_at",9999
"216038_x_at",9999
"216041_x_at",9999
"216204_at",9999
