"node","cluster"
"203396_at",1
"209773_s_at",1
"202243_s_at",1
"201114_x_at",1
"204695_at",1
"201173_x_at",1
"201890_at",1
"201252_at",1
"202244_at",1
"216088_s_at",1
"204696_s_at",1
"210574_s_at",1
"202240_at",1
"210575_at",1
"208620_at",1
"202586_at",1
"211730_s_at",1
"200010_at",1
"218463_s_at",1
"219098_at",1
"201897_s_at",1
"200002_at",1
"201033_x_at",1
"214317_x_at",1
"200094_s_at",1
"200967_at",1
"210231_x_at",1
"208856_x_at",1
"217747_s_at",1
"221798_x_at",1
"200717_x_at",1
"217786_at",1
"204102_s_at",1
"211720_x_at",1
"200968_s_at",1
"200908_s_at",1
"212042_x_at",1
"204031_s_at",1
"211972_x_at",1
"217670_at",1
"213263_s_at",1
"214167_s_at",1
"200063_s_at",1
"213264_at",1
"201122_x_at",1
"201390_s_at",1
"200057_s_at",1
"213517_at",1
"201123_s_at",1
"221691_x_at",1
"200074_s_at",1
"200062_s_at",1
"213753_x_at",1
"208698_s_at",1
"221923_s_at",1
"213588_x_at",1
"200936_at",1
"217266_at",1
"212044_s_at",1
"219138_at",1
"200926_at",1
"221475_s_at",1
"200022_at",1
"221476_s_at",1
"214335_at",1
"201011_at",1
"222297_x_at",1
"200674_s_at",1
"213048_s_at",1
"210470_x_at",1
"213459_at",1
"207585_s_at",1
"201429_s_at",1
"218103_at",1
"214041_x_at",1
"209026_x_at",1
"211714_x_at",1
"209252_at",1
"212320_at",1
"208674_x_at",1
"201638_s_at",1
"208675_s_at",1
"209449_at",1
"218188_s_at",1
"217716_s_at",1
"200092_s_at",1
"213088_s_at",1
"213092_x_at",1
"218110_at",1
"218481_at",1
"212627_s_at",1
"213648_at",1
"216326_s_at",1
"200738_s_at",1
"217356_s_at",1
"200737_at",1
"200744_s_at",1
"217383_at",1
"200745_s_at",1
"200746_s_at",1
"205541_s_at",1
"200852_x_at",1
"207163_s_at",2
"202580_x_at",2
"208991_at",2
"208992_s_at",2
"202621_at",2
"201693_s_at",2
"201694_s_at",2
"214732_at",2
"208436_s_at",2
"201786_s_at",2
"217502_at",2
"213333_at",3
"210447_at",3
"210045_at",3
"202004_x_at",3
"215794_x_at",3
"209036_s_at",3
"210046_s_at",3
"210131_x_at",3
"203663_s_at",3
"201134_x_at",3
"200883_at",3
"208714_at",3
"215088_s_at",3
"213846_at",3
"212600_s_at",3
"201568_at",3
"218320_s_at",3
"202839_s_at",3
"217491_x_at",3
"201256_at",3
"216591_s_at",3
"211407_at",3
"222216_s_at",3
"205217_at",3
"210800_at",3
"218563_at",3
"202799_at",3
"204330_s_at",3
"204331_s_at",3
"210008_s_at",3
"213840_s_at",3
"201135_at",3
"217720_at",3
"217980_s_at",3
"218076_s_at",4
"208009_s_at",4
"212651_at",4
"221789_x_at",4
"203175_at",4
"212777_at",4
"222131_x_at",4
"212780_at",4
"65770_at",4
"202329_at",4
"202226_s_at",5
"202415_s_at",5
"202024_at",5
"202225_at",5
"202224_at",6
"203010_at",6
"209999_x_at",6
"213337_s_at",6
"204269_at",6
"210000_s_at",6
"200601_at",7
"204910_s_at",7
"213885_at",7
"213884_s_at",7
"212983_at",8
"219907_at",8
"200600_at",9
"208018_s_at",9
"201954_at",9
"211963_s_at",9
"201040_at",9
"39705_at",10
"204099_at",10
"209352_s_at",10
"210341_at",10
"211928_at",11
"209680_s_at",11
"202476_s_at",11
"203660_s_at",11
"202477_s_at",11
"214023_x_at",11
"213563_s_at",11
"222015_at",11
"200645_at",12
"212796_s_at",12
"215951_at",12
"215640_at",12
"201156_s_at",13
"220489_s_at",13
"201276_at",13
"220490_at",13
"201140_s_at",13
"201551_s_at",13
"201553_s_at",13
"213728_at",13
"203577_at",14
"212836_at",14
"208149_x_at",14
"204267_x_at",14
"208159_x_at",14
"219769_at",14
"210206_s_at",14
"211783_s_at",15
"203444_s_at",15
"202473_x_at",15
"204898_at",15
"202474_s_at",15
"202247_s_at",15
"204899_s_at",15
"204900_x_at",15
"213963_s_at",15
"209364_at",16
"206863_x_at",16
"200796_s_at",16
"206864_s_at",16
"1861_at",16
"200797_s_at",16
"206865_at",16
"200798_x_at",16
"214056_at",16
"204493_at",16
"214057_at",16
"211725_s_at",16
"201393_s_at",17
"202546_at",17
"201552_at",17
"201392_s_at",17
"201749_at",17
"201750_s_at",17
"200663_at",17
"210333_at",18
"217862_at",18
"205932_s_at",18
"217863_at",18
"217742_s_at",18
"217864_s_at",18
"219679_s_at",18
"204039_at",18
"201841_s_at",19
"213112_s_at",19
"201708_s_at",19
"201471_s_at",19
"211524_at",20
"214062_x_at",20
"214448_x_at",20
"207535_s_at",20
"202917_s_at",20
"207001_x_at",20
"209636_at",20
"208763_s_at",20
"215996_at",21
"213245_at",21
"207577_at",21
"215340_at",21
"211201_at",21
"213108_at",22
"202401_s_at",22
"207282_s_at",22
"202400_s_at",22
"208826_x_at",23
"203667_at",23
"218011_at",23
"200093_s_at",23
"204559_s_at",23
"218555_at",24
"218813_s_at",24
"201851_at",24
"218679_s_at",24
"37462_i_at",25
"217221_x_at",25
"202112_at",26
"216438_s_at",26
"200665_s_at",26
"206390_x_at",26
"203683_s_at",26
"212667_at",26
"208928_at",27
"202245_at",27
"215535_s_at",27
"211018_at",27
"32836_at",27
"211019_s_at",27
"209381_x_at",28
"208984_x_at",28
"217028_at",29
"203388_at",29
"207136_at",29
"209201_x_at",29
"208723_at",30
"217270_s_at",30
"204954_s_at",30
"217734_s_at",30
"212654_at",31
"205177_at",31
"205693_at",31
"206393_at",31
"205589_at",31
"205766_at",31
"209742_s_at",31
"204083_s_at",31
"215389_s_at",31
"221548_s_at",32
"217475_s_at",32
"210582_s_at",32
"205049_s_at",33
"207641_at",33
"204581_at",33
"220674_at",33
"215925_s_at",33
"217422_s_at",33
"211919_s_at",34
"215348_at",34
"210234_at",34
"206001_at",34
"204280_at",34
"220861_at",35
"213336_at",35
"207721_x_at",36
"216204_at",36
"213981_at",36
"202388_at",36
"207613_s_at",37
"203003_at",37
"204174_at",38
"201136_at",38
"208130_s_at",38
"217752_s_at",39
"219808_at",39
"59705_at",39
"221575_at",39
"216964_at",40
"211313_s_at",40
"205205_at",41
"212103_at",41
"221021_s_at",42
"202093_s_at",42
"211560_s_at",43
"207889_at",43
"217099_s_at",44
"203035_s_at",44
"205527_s_at",44
"219085_s_at",44
"212315_s_at",44
"218906_x_at",45
"215735_s_at",45
"204292_x_at",45
"215624_at",45
"220118_at",46
"207954_at",46
"209587_at",46
"216957_at",47
"208445_s_at",47
"218030_at",48
"203315_at",48
"216981_x_at",49
"214049_x_at",49
"216980_s_at",50
"214551_s_at",50
"212127_at",51
"220035_at",51
"216966_at",52
"205798_at",52
"214002_at",53
"200019_s_at",53
"220804_s_at",54
"216038_x_at",54
"201763_s_at",54
"218260_at",55
"215497_s_at",55
"40829_at",55
"216036_x_at",55
"217478_s_at",56
"208894_at",56
"213384_x_at",57
"210388_at",57
"212518_at",57
"204046_at",57
"206834_at",58
"217683_at",58
"220807_at",58
"205919_at",58
"206647_at",58
"216956_s_at",59
"204989_s_at",59
"212125_at",60
"213947_s_at",60
"206057_x_at",61
"38521_at",61
"200083_at",62
"215089_s_at",62
"205312_at",63
"210358_x_at",63
"217873_at",64
"205480_s_at",64
"203872_at",65
"215787_at",65
"200974_at",65
"206219_s_at",66
"210001_s_at",66
"203136_at",67
"205482_x_at",67
"209941_at",68
"204352_at",68
"205688_at",69
"213283_s_at",69
"201492_s_at",70
"200834_s_at",70
"208330_at",71
"207644_at",71
"211886_s_at",71
"203258_at",71
"207694_at",72
"208345_s_at",72
"206634_at",72
"210475_at",72
"213345_at",73
"32541_at",73
"205897_at",74
"32540_at",74
"205936_s_at",75
"200678_x_at",75
"209710_at",76
"216928_at",76
"216925_s_at",76
"206056_x_at",77
"203416_at",77
"210150_s_at",78
"201380_at",78
"206494_s_at",79
"204990_s_at",79
"206493_at",80
"211905_s_at",80
"206270_at",81
"206399_x_at",81
"222122_s_at",82
"218848_at",82
"211630_s_at",83
"204550_x_at",83
"206450_at",84
"208817_at",84
"206793_at",84
"210382_at",85
"207578_s_at",85
"216939_s_at",86
"217002_s_at",86
"203275_at",87
"202356_s_at",87
"202218_s_at",88
"204257_at",88
"216080_s_at",88
"201527_at",89
"207809_s_at",89
"214370_at",90
"205863_at",90
"205965_at",91
"209782_s_at",91
"209783_at",91
"214383_x_at",92
"220347_at",92
"208784_s_at",93
"214940_s_at",93
"211320_s_at",94
"204600_at",94
"206813_at",95
"205945_at",95
"217489_s_at",95
"203564_at",96
"203043_at",96
