"node","cluster"
"207163_s_at",1
"201673_s_at",1
"205480_s_at",1
"212983_at",2
"208992_s_at",2
"208018_s_at",2
"203010_at",2
"208991_at",2
"221798_x_at",3
"200002_at",3
"200717_x_at",3
"200074_s_at",3
"214317_x_at",3
"200092_s_at",3
"212044_s_at",3
"200908_s_at",3
"201429_s_at",3
"200936_at",3
"200022_at",3
"217266_at",3
"201492_s_at",3
"200674_s_at",3
"217670_at",3
"213459_at",3
"221475_s_at",3
"214335_at",3
"200926_at",3
"222297_x_at",3
"221476_s_at",3
"214041_x_at",3
"200834_s_at",3
"213588_x_at",3
"201033_x_at",3
"217747_s_at",3
"214097_at",3
"212042_x_at",3
"219138_at",3
"208856_x_at",3
"211720_x_at",3
"200062_s_at",3
"211972_x_at",3
"214167_s_at",3
"205541_s_at",3
"200010_at",3
"204330_s_at",3
"213840_s_at",3
"204331_s_at",3
"210008_s_at",3
"217980_s_at",3
"200094_s_at",3
"204102_s_at",3
"201011_at",3
"214940_s_at",3
"220347_at",3
"217716_s_at",3
"212627_s_at",3
"213648_at",3
"218481_at",3
"208674_x_at",3
"208675_s_at",3
"207113_s_at",4
"204855_at",4
"207844_at",4
"216326_s_at",5
"204898_at",5
"200093_s_at",5
"209352_s_at",5
"203444_s_at",5
"204899_s_at",5
"39705_at",5
"204900_x_at",5
"207721_x_at",5
"213963_s_at",5
"208826_x_at",5
"215071_s_at",5
"202240_at",6
"215822_x_at",6
"204267_x_at",6
"210341_at",6
"214732_at",7
"202586_at",7
"202354_s_at",7
"203577_at",7
"211730_s_at",7
"202355_s_at",7
"218110_at",7
"202356_s_at",7
"208620_at",7
"209381_x_at",7
"207769_s_at",7
"204031_s_at",7
"201638_s_at",7
"37462_i_at",7
"209449_at",7
"204559_s_at",7
"213263_s_at",7
"210499_s_at",7
"221021_s_at",7
"213264_at",7
"214527_s_at",7
"213517_at",7
"206219_s_at",8
"200744_s_at",8
"212777_at",8
"209881_s_at",8
"212780_at",8
"211005_at",8
"220566_at",8
"201851_at",9
"206022_at",9
"220118_at",9
"205713_s_at",9
"203872_at",10
"206393_at",10
"205693_at",10
"205177_at",10
"212082_s_at",10
"204083_s_at",10
"215389_s_at",10
"205589_at",10
"209742_s_at",10
"212654_at",10
"214002_at",10
"205766_at",10
"201694_s_at",11
"206140_at",11
"211219_s_at",11
"201693_s_at",11
"208449_s_at",11
"206634_at",11
"200782_at",12
"202112_at",12
"200746_s_at",13
"200852_x_at",13
"201040_at",13
"210182_at",13
"210234_at",13
"213245_at",13
"215996_at",13
"200745_s_at",13
"206001_at",13
"209201_x_at",13
"206390_x_at",13
"215340_at",13
"211919_s_at",13
"215348_at",13
"205312_at",14
"203275_at",14
"201393_s_at",15
"216024_at",15
"203388_at",15
"211963_s_at",15
"217817_at",15
"203833_s_at",15
"201392_s_at",15
"202253_s_at",15
"217818_s_at",15
"201276_at",15
"201140_s_at",15
"201156_s_at",15
"203663_s_at",16
"201134_x_at",16
"200883_at",16
"201568_at",16
"202839_s_at",16
"208714_at",16
"211407_at",16
"212600_s_at",16
"202004_x_at",16
"210131_x_at",16
"211752_s_at",16
"215088_s_at",16
"216591_s_at",16
"209036_s_at",16
"213333_at",16
"204563_at",17
"214049_x_at",17
"206056_x_at",17
"204581_at",17
"205049_s_at",17
"214551_s_at",17
"217422_s_at",17
"211928_at",18
"212320_at",18
"203660_s_at",18
"217976_s_at",18
"209026_x_at",18
"202476_s_at",18
"211714_x_at",18
"209680_s_at",18
"202477_s_at",18
"216088_s_at",19
"203396_at",19
"202243_s_at",19
"201252_at",19
"212219_at",19
"202244_at",19
"201114_x_at",19
"212220_at",19
"212222_at",19
"214062_x_at",19
"214448_x_at",19
"207535_s_at",19
"209636_at",19
"205205_at",19
"211524_at",19
"202580_x_at",20
"221923_s_at",20
"205129_at",20
"200063_s_at",20
"202621_at",21
"208436_s_at",21
"213293_s_at",21
"214022_s_at",21
"201641_at",21
"217502_at",21
"210514_x_at",21
"201786_s_at",21
"211528_x_at",21
"202226_s_at",22
"1438_at",22
"203315_at",22
"202224_at",22
"205096_at",23
"212315_s_at",23
"212994_at",23
"218848_at",23
"212316_at",23
"222122_s_at",23
"213945_s_at",23
"213947_s_at",23
"205798_at",24
"206813_at",24
"205945_at",24
"205723_at",24
"217489_s_at",24
"211432_s_at",25
"214057_at",25
"211431_s_at",26
"214056_at",26
"202225_at",27
"204600_at",27
"213108_at",28
"206489_s_at",28
"210750_s_at",28
"207613_s_at",28
"220427_at",29
"203175_at",29
"212651_at",29
"221789_x_at",29
"218076_s_at",29
"222131_x_at",29
"208291_s_at",30
"206793_at",30
"208817_at",30
"206450_at",30
"208818_s_at",30
"213981_at",30
"216204_at",30
"41657_at",31
"215497_s_at",31
"204292_x_at",32
"40829_at",32
"200798_x_at",33
"204493_at",33
"1861_at",33
"211725_s_at",33
"210560_at",34
"221990_at",34
"214528_s_at",34
"209941_at",35
"213061_s_at",35
"213062_at",35
"217873_at",36
"213812_s_at",36
"218906_x_at",37
"203850_s_at",37
"200797_s_at",38
"209364_at",38
"210358_x_at",39
"204039_at",39
"210982_s_at",40
"211530_x_at",40
"200600_at",41
"209830_s_at",41
"206737_at",42
"219330_at",42
"218632_at",43
"222058_at",43
"218555_at",43
"217865_at",43
"208894_at",44
"211529_x_at",44
"200796_s_at",45
"211163_s_at",45
"219085_s_at",46
"205527_s_at",46
"217099_s_at",46
"220035_at",46
"214933_at",47
"205845_at",47
"216939_s_at",48
"217002_s_at",48
"206834_at",49
"217683_at",49
"220807_at",49
"206647_at",49
"205919_at",49
"221505_at",50
"201541_s_at",50
"208103_s_at",50
"207168_s_at",50
"214500_at",50
"202175_at",51
"35179_at",51
"202012_s_at",51
"203452_at",51
"202013_s_at",51
"202108_at",52
"209252_at",52
"211630_s_at",53
"217752_s_at",53
"203925_at",53
"201415_at",53
"207578_s_at",54
"216615_s_at",54
"219098_at",55
