"node","cluster"
"207163_s_at",1
"202580_x_at",1
"215497_s_at",1
"216036_x_at",1
"204292_x_at",1
"200094_s_at",1
"40829_at",1
"41657_at",1
"204102_s_at",1
"208991_at",1
"212983_at",1
"208992_s_at",1
"221539_at",1
"200010_at",2
"221798_x_at",2
"214317_x_at",2
"200062_s_at",2
"200717_x_at",2
"200022_at",2
"201033_x_at",2
"200908_s_at",2
"201429_s_at",2
"217747_s_at",2
"200926_at",2
"212042_x_at",2
"214335_at",2
"208856_x_at",2
"200936_at",2
"200074_s_at",2
"217670_at",2
"200002_at",2
"207585_s_at",2
"212044_s_at",2
"222297_x_at",2
"200674_s_at",2
"213588_x_at",2
"211720_x_at",2
"213459_at",2
"217266_at",2
"200834_s_at",2
"221475_s_at",2
"214041_x_at",2
"211972_x_at",2
"219138_at",2
"214097_at",2
"221476_s_at",2
"214167_s_at",2
"201492_s_at",2
"200092_s_at",2
"214940_s_at",2
"220347_at",2
"217716_s_at",2
"201011_at",2
"208674_x_at",2
"208675_s_at",2
"213753_x_at",2
"201122_x_at",2
"217980_s_at",2
"204330_s_at",2
"201123_s_at",2
"204331_s_at",2
"213840_s_at",2
"210008_s_at",2
"218481_at",2
"205541_s_at",2
"213648_at",2
"212627_s_at",2
"203740_at",2
"207113_s_at",3
"207641_at",3
"204581_at",3
"205049_s_at",3
"217422_s_at",3
"206056_x_at",3
"220674_at",3
"204563_at",3
"206057_x_at",3
"38521_at",3
"216980_s_at",3
"214049_x_at",3
"216981_x_at",3
"214551_s_at",3
"202240_at",4
"201890_at",4
"204267_x_at",4
"204695_at",4
"209773_s_at",4
"204696_s_at",4
"217786_at",4
"216326_s_at",5
"202247_s_at",5
"203444_s_at",5
"215071_s_at",5
"209352_s_at",5
"204898_at",5
"39705_at",5
"204899_s_at",5
"200093_s_at",5
"204900_x_at",5
"207721_x_at",5
"213963_s_at",5
"201694_s_at",6
"202400_s_at",6
"214732_at",6
"201693_s_at",6
"202401_s_at",6
"210333_at",6
"208502_s_at",6
"200601_at",7
"213885_at",7
"213884_s_at",7
"202621_at",7
"208436_s_at",7
"204910_s_at",7
"203275_at",7
"204911_s_at",7
"210514_x_at",7
"208894_at",7
"215996_at",8
"204046_at",8
"200744_s_at",8
