"node","cluster"
"207163_s_at",1
"202580_x_at",1
"215497_s_at",1
"216036_x_at",1
"204292_x_at",1
"40829_at",1
"41657_at",1
"200094_s_at",1
"204102_s_at",1
"208991_at",1
"200010_at",2
"221798_x_at",2
"214317_x_at",2
"200062_s_at",2
"201429_s_at",2
"200908_s_at",2
"200022_at",2
"200717_x_at",2
"201033_x_at",2
"217747_s_at",2
"200926_at",2
"214335_at",2
"212042_x_at",2
"200936_at",2
"208856_x_at",2
"200074_s_at",2
"217670_at",2
"213459_at",2
"200002_at",2
"222297_x_at",2
"207585_s_at",2
"217266_at",2
"200834_s_at",2
"200674_s_at",2
"212044_s_at",2
"221475_s_at",2
"214097_at",2
"214041_x_at",2
"201492_s_at",2
"221476_s_at",2
"213588_x_at",2
"211720_x_at",2
"219138_at",2
"200092_s_at",2
"211972_x_at",2
"214167_s_at",2
"214940_s_at",2
"220347_at",2
"201011_at",2
"217716_s_at",2
"208674_x_at",2
"208675_s_at",2
"210008_s_at",2
"217980_s_at",2
"204330_s_at",2
"204331_s_at",2
"213840_s_at",2
"201122_x_at",2
"201123_s_at",2
"213753_x_at",2
"205541_s_at",2
"218481_at",2
"207113_s_at",3
"207641_at",3
"204581_at",3
"205049_s_at",3
"217422_s_at",3
"206056_x_at",3
"220674_at",3
"204563_at",3
"206057_x_at",3
"38521_at",3
"212983_at",4
"219907_at",4
"212777_at",4
"208018_s_at",4
"212780_at",4
"206219_s_at",4
"212651_at",4
"208992_s_at",5
"203035_s_at",5
"202247_s_at",5
"211783_s_at",5
"216326_s_at",5
"203444_s_at",5
"202240_at",6
"209773_s_at",6
"204267_x_at",6
"204695_at",6
"201890_at",6
"204696_s_at",6
"217786_at",6
"201694_s_at",7
"202401_s_at",7
"214732_at",7
"201693_s_at",7
"202400_s_at",7
"203872_at",8
"209742_s_at",8
"215389_s_at",8
"205589_at",8
"204083_s_at",8
"205693_at",8
"205177_at",8
"206393_at",8
"205766_at",8
"212654_at",8
"212082_s_at",8
"214002_at",8
"200852_x_at",9
"210388_at",9
"200744_s_at",9
"201040_at",9
"204046_at",9
"220566_at",9
"200745_s_at",9
"215996_at",9
"200746_s_at",9
"219619_at",9
"213384_x_at",9
"215348_at",9
"209201_x_at",9
