"node","cluster"
"207163_s_at",1
"202580_x_at",1
"215497_s_at",1
"216036_x_at",1
"204292_x_at",1
"40829_at",1
"41657_at",1
"200094_s_at",1
"204102_s_at",1
"212983_at",1
"215624_at",1
"215735_s_at",1
"221539_at",1
"208991_at",1
"207113_s_at",2
"207641_at",2
"205049_s_at",2
"204581_at",2
"220674_at",2
"206056_x_at",2
"217422_s_at",2
"204563_at",2
"206057_x_at",2
"214049_x_at",2
"38521_at",2
"216980_s_at",2
"214551_s_at",2
"216981_x_at",2
"200010_at",3
"221798_x_at",3
"214317_x_at",3
"200062_s_at",3
"200022_at",3
"200717_x_at",3
"201033_x_at",3
"200908_s_at",3
"201429_s_at",3
"200936_at",3
"200074_s_at",3
"200926_at",3
"217747_s_at",3
"214335_at",3
"212042_x_at",3
"208856_x_at",3
"200002_at",3
"212044_s_at",3
"200674_s_at",3
"217670_at",3
"222297_x_at",3
"213588_x_at",3
"211720_x_at",3
"213459_at",3
"217266_at",3
"207585_s_at",3
"221475_s_at",3
"214041_x_at",3
"211972_x_at",3
"219138_at",3
"200834_s_at",3
"201492_s_at",3
"221476_s_at",3
"214097_at",3
"214167_s_at",3
"214940_s_at",3
"200092_s_at",3
"220347_at",3
"201011_at",3
"217716_s_at",3
"208674_x_at",3
"208675_s_at",3
"205541_s_at",3
"218481_at",3
"201123_s_at",3
"213753_x_at",3
"201122_x_at",3
"217980_s_at",3
"212627_s_at",3
"213648_at",3
"203740_at",3
"200019_s_at",3
"204330_s_at",3
"213840_s_at",3
"204331_s_at",3
"210008_s_at",3
"208992_s_at",4
"203035_s_at",4
"202247_s_at",4
"211783_s_at",4
"216326_s_at",4
"217864_s_at",4
"203010_at",4
"206118_at",4
"217862_at",4
"217863_at",4
"202240_at",5
"209773_s_at",5
"204267_x_at",5
"204695_at",5
"201890_at",5
"204696_s_at",5
"201897_s_at",5
"217786_at",5
"213092_x_at",5
"213088_s_at",5
"201694_s_at",6
"202401_s_at",6
"214732_at",6
"201693_s_at",6
"202400_s_at",6
"202004_x_at",6
"210333_at",6
"210131_x_at",6
"215088_s_at",6
"200601_at",7
"213885_at",7
"213884_s_at",7
"202621_at",7
"208436_s_at",7
"203275_at",7
"204910_s_at",7
"204911_s_at",7
