"node","cluster"
"206634_at",1
"211219_s_at",1
"202586_at",9999
"202917_s_at",9999
"204638_at",9999
"205237_at",9999
"205541_s_at",9999
"205713_s_at",9999
"206022_at",9999
"206140_at",9999
"207372_s_at",9999
"207641_at",9999
"207853_s_at",9999
"209235_at",9999
"210314_x_at",9999
"211560_s_at",9999
"211730_s_at",9999
"212836_at",9999
"214317_x_at",9999
"214370_at",9999
"217747_s_at",9999
"217973_at",9999
"218555_at",9999
"218678_at",9999
"220428_at",9999
"221657_s_at",9999
"221961_at",9999
"38069_at",9999
