"node","cluster"
"206607_at",1
"218832_x_at",1
"202067_s_at",1
"221861_at",1
"202068_s_at",1
"43511_s_at",1
"214515_at",1
"49111_at",1
"217005_at",1
"214732_at",2
"203920_at",2
"209531_at",3
"203113_s_at",3
"210587_at",4
"220407_s_at",4
"220406_at",4
"205755_at",4
"209908_s_at",4
"208267_at",5
"214410_at",5
"206479_at",5
"211177_s_at",6
"201509_at",6
"210418_s_at",6
"210803_at",6
"210014_x_at",6
"201480_s_at",7
"207226_at",7
"214644_at",7
"221413_at",8
"211045_s_at",8
"221023_s_at",8
"211046_at",8
"205348_s_at",9
"205155_s_at",9
"220185_at",9
"200991_s_at",10
"217173_s_at",10
"207634_at",11
"208894_at",11
"210982_s_at",11
"211560_s_at",12
"210328_at",12
"206103_at",13
"219431_at",13
"201387_s_at",14
"213240_s_at",14
"204230_s_at",15
"209990_s_at",15
"204229_at",16
"217077_s_at",16
"212540_at",17
"210024_s_at",17
"201569_s_at",9999
"201570_at",9999
"202337_at",9999
"202366_at",9999
"202847_at",9999
"202949_s_at",9999
"203948_s_at",9999
"203949_at",9999
"204175_at",9999
"204253_s_at",9999
"204254_s_at",9999
"204255_s_at",9999
"204857_at",9999
"205297_s_at",9999
"205983_at",9999
"206660_at",9999
"206724_at",9999
"206743_s_at",9999
"206789_s_at",9999
"206834_at",9999
"207221_at",9999
"207584_at",9999
"207618_s_at",9999
"208260_at",9999
"209832_s_at",9999
"209909_s_at",9999
"209991_x_at",9999
"210300_at",9999
"210746_s_at",9999
"211679_x_at",9999
"211916_s_at",9999
"212767_at",9999
"213087_s_at",9999
"213692_s_at",9999
"214394_x_at",9999
"214395_x_at",9999
"214399_s_at",9999
"214436_at",9999
"214457_at",9999
"216952_s_at",9999
"217103_at",9999
"219441_s_at",9999
"220496_at",9999
"220570_at",9999
"220636_at",9999
"220638_s_at",9999
"221668_s_at",9999
