"node","cluster"
"RPL4",1
"RPLP2",1
"RPL27A",1
"RPL37",1
"RPL37A",1
"RPL8",1
"RPL15",1
"RPL18",1
"RPL32",1
"RPL41",1
"RPL35",1
"RPS23",1
"RPS21",1
"RPS2",1
"RPL14",1
"RPL7",1
"RPS9",1
"RPLP0",1
"RPL13A",1
"RPL30",1
"RPL10",1
"GSPT2",1
"HARS2",1
"EEF2",1
"EIF4A2",1
"RPL11",1
"MRPL16",1
"MRPS12",1
"MRPL17",1
"MRPL21",1
"PSMA4",2
"PSMB4",2
"PSMA7",2
"CLPP",2
"PSMC4",2
"PSME4",2
"ANAPC2",2
"RPN1",2
"PCBP1",2
"HDAC3",3
"HIST1H2AA",3
"HIST1H2AC",3
"PRMT5",3
"TUBB",4
"DYNC1H1",4
"PPAN",4
"TUBGCP2",4
"AKT1",5
"SERPINB5",5
"POLR2L",6
"GTF2H4",6
"XAB2",6
"GTF2F1",6
"CPSF1",6
"SF3A2",6
"FRG1",6
"LSM2",6
"PCBP2",6
"MUS81",6
"FTSJ3",6
"PAF1",6
"STAT3",7
"KPNA6",7
"PPIB",8
"TBCA",8
"NUDC",8
"CSNK2B",9
"GNB1",9
"GNB2",9
"SH3GL1",9
"NPM1",10
"NPM3",10
"NDUFV1",11
"NDUFB11",11
"NDUFA3",11
"NDUFB7",11
"NDUFB10",11
"NDUFS7",11
"COX5A",11
"UQCRQ",11
"UQCRC2",11
"COX7C",11
"COX7A2L",11
"SDHC",11
"MDH2",11
"PLK1",12
"ZBED1",12
"MARS",12
"RAB5C",13
"RAB5B",13
"SMAP1",13
"YIF1B",13
"RAB11B",13
"ARF1",13
"CRK",14
"VAV1",14
"SOCS1",14
"SIN3B",15
"KLF16",15
"SOS1",16
"CTF1",16
"IL6R",16
"TIMM13",17
"SEC61A1",17
"ASNA1",17
"MYBBP1A",18
"EIF4G3",18
"ZNF598",18
"HLA-DRB1",19
"HLA-DRA",19
"HLA-DMA",19
"IFI30",19
"ARPC1B",20
"ARPC4",20
"ARPC5",20
"ARHGAP17",21
"RHOBTB1",21
"RHOG",21
"FGD3",21
"RHOT2",21
"ARHGEF16",21
"MTA1",22
"SAP30",22
"HCFC1",22
"SUDS3",22
"MTA2",22
"TPM2",23
"TNNI2",23
"TNNT3",23
"TNNI1",23
"MYL3",23
"MYL2",23
"TCAP",23
"RIPK1",24
"TNF",24
"HINT1",25
"FHIT",25
"ADCY1",26
"GNAI2",26
"GABARAP",27
"SQSTM1",27
"IRF2",28
"IRF7",28
"IRF3",28
"EGR1",28
"ADAR",28
"EXOSC5",29
"EXOSC3",29
"EXOSC7",29
"MPHOSPH6",29
"KHSRP",29
"P2RY11",30
"GNL1",30
"NFKB2",31
"RELB",31
"BCL3",31
"IGF2R",32
"LAMP1",32
"UGP2",33
"GYS1",33
"PIAS1",34
"CEBPA",34
"STK11",35
"USP11",35
"HBE1",36
"HBD",36
"HBQ1",36
"HBZ",36
"PLCB3",37
"UTS2R",37
"PLCB2",37
"CNDP2",38
"GSS",38
"GCLM",38
"BAD",39
"BBC3",39
"BID",39
"MCL1",39
"ACTA2",40
"ACTA1",40
"SPI1",41
"GATA2",41
"ZFPM1",41
"IDH2",42
"PEPD",42
"HTR4",43
"SCTR",43
"ADM2",43
"FSHR",43
"FAU",44
"MRPS24",44
"USP22",45
"ATXN7L3",45
"ATP6V1F",46
"ATP6AP1",46
"CYBA",47
"CD68",47
"SMARCD3",48
"NR5A1",48
"UNG",49
"APEX2",49
"OR5A2",50
"OR4C46",50
"OR1M1",50
"FGF8",51
"GBX2",51
"DDA1",52
"WDTC1",52
"PNMT",53
"DBH",53
"COMT",53
"TNFRSF13B",54
"TNFSF13",54
"NPY",55
"GRM4",55
"NPW",55
"ABCA7",9999
"ACAD9",9999
"ACHE",9999
"ACP5",9999
"ACTN4",9999
"ADAM15",9999
"ADAMTS13",9999
"AGPAT1",9999
"ALAS2",9999
"ALKBH7",9999
"ALOX5AP",9999
"ALX4",9999
"AMBP",9999
"ANP32E",9999
"ANXA11",9999
"ANXA5",9999
"AP2A1",9999
"APLP1",9999
"ARFRP1",9999
"ARHGAP9",9999
"ARRB2",9999
"ASIP",9999
"ASL",9999
"BATF",9999
"BAZ1B",9999
"BET1L",9999
"BIN2",9999
"BRI3",9999
"BRSK1",9999
"BST2",9999
"C8G",9999
"CAB39",9999
"CACNA1A",9999
"CACNA2D4",9999
"CALML5",9999
"CAMK2A",9999
"CAMKK2",9999
"CCS",9999
"CD22",9999
"CD53",9999
"CD63",9999
"CD7",9999
"CD72",9999
"CD79A",9999
"CDA",9999
"CDC25A",9999
"CENPH",9999
"CES2",9999
"CHCHD2",9999
"CHCHD4",9999
"CHDH",9999
"CHRNG",9999
"CHTF18",9999
"CKS1B",9999
"CLCN7",9999
"CLSTN3",9999
"CNTFR",9999
"CNTROB",9999
"CPE",9999
"CRTAP",9999
"CSF3R",9999
"CSK",9999
"CSNK1E",9999
"CTNNBL1",9999
"CTSL",9999
"CXCR4",9999
"CYGB",9999
"CYP4A11",9999
"DAXX",9999
"DBP",9999
"DCXR",9999
"DDOST",9999
"DDX11",9999
"DGCR6",9999
"DHRS7B",9999
"DHX30",9999
"DIRAS3",9999
"DLX5",9999
"DNAJB2",9999
"DNAJC5",9999
"DNAJC9",9999
"DNM2",9999
"DPH5",9999
"DRAP1",9999
"DTX3L",9999
"DUSP23",9999
"DYNC1LI1",9999
"DYRK1B",9999
"DYRK2",9999
"ECE1",9999
"ECHS1",9999
"EEF1G",9999
"EFS",9999
"EIF4EBP1",9999
"EIF5A",9999
"ELF4",9999
"EMD",9999
"ENTPD2",9999
"ENTPD4",9999
"EPHB3",9999
"EXT2",9999
"F11R",9999
"FADS2",9999
"FADS3",9999
"FANCG",9999
"FASTK",9999
"FATE1",9999
"FFAR2",9999
"FIS1",9999
"FOXH1",9999
"FOXK1",9999
"FOXM1",9999
"FRS3",9999
"FTL",9999
"GDF15",9999
"GEMIN4",9999
"GEMIN7",9999
"GGT1",9999
"GIT1",9999
"GJA8",9999
"GLUD2",9999
"GP9",9999
"GRN",9999
"GSTM1",9999
"H2AFY",9999
"HAND1",9999
"HCK",9999
"HK3",9999
"HLA-DQA2",9999
"HLA-G",9999
"HMGN2",9999
"HOXC4",9999
"HRAS",9999
"HRK",9999
"HSPB1",9999
"HSPBP1",9999
"HTR3A",9999
"IFIT2",9999
"IL13",9999
"IL32",9999
"IL7R",9999
"INCENP",9999
"INVS",9999
"IRF2BP2",9999
"ISYNA1",9999
"ITGA2B",9999
"ITGB4",9999
"JOSD1",9999
"KCNH3",9999
"KCNK9",9999
"KCNQ4",9999
"KCTD17",9999
"KIF1A",9999
"KIFC1",9999
"KIR2DL1",9999
"KLC2",9999
"KLF6",9999
"KLHDC3",9999
"KRT16",9999
"LAMA5",9999
"LAT",9999
"LCN1",9999
"LHX2",9999
"LIM2",9999
"LIMD1",9999
"LIMK2",9999
"LPIN2",9999
"LPXN",9999
"LSM7",9999
"LSS",9999
"LST1",9999
"MEF2D",9999
"MFNG",9999
"MICAL1",9999
"MRPL52",9999
"MSI1",9999
"MSN",9999
"MSX1",9999
"MYL6",9999
"MYOG",9999
"MYT1",9999
"NCK2",9999
"NDFIP1",9999
"NDRG2",9999
"NES",9999
"NFATC4",9999
"NFKBIB",9999
"NIPSNAP1",9999
"NONO",9999
"NQO2",9999
"NT5M",9999
"NUBP2",9999
"NUMA1",9999
"NUP210",9999
"ORMDL3",9999
"OS9",9999
"OSBPL1A",9999
"PADI4",9999
"PAIP2",9999
"PAM",9999
"PCBP3",9999
"PCGF6",9999
"PCNT",9999
"PDAP1",9999
"PDCL3",9999
"PDXP",9999
"PF4",9999
"PFDN2",9999
"PGK1",9999
"PGLYRP1",9999
"PHC1",9999
"PHF1",9999
"PIAS3",9999
"PIGL",9999
"PIGQ",9999
"PIM2",9999
"PIP5K1C",9999
"PITX1",9999
"PKMYT1",9999
"PLA2G2F",9999
"PLAUR",9999
"PLP2",9999
"PLSCR3",9999
"POLD3",9999
"POM121",9999
"POR",9999
"POU3F1",9999
"POU3F4",9999
"PPFIA3",9999
"PPP1R1B",9999
"PPP2R5A",9999
"PPP3CC",9999
"PPRC1",9999
"PQBP1",9999
"PRKCG",9999
"PRMT8",9999
"PROK2",9999
"PSTPIP1",9999
"PTMS",9999
"PTPRU",9999
"PTTG1IP",9999
"PYCR2",9999
"QRSL1",9999
"RANGAP1",9999
"RAPSN",9999
"RASGRP2",9999
"RASL10B",9999
"RBM10",9999
"RBM4B",9999
"REEP4",9999
"RGS14",9999
"RGS2",9999
"RNF149",9999
"RRM2",9999
"S100A12",9999
"S100A14",9999
"S100A6",9999
"S100A8",9999
"SALL2",9999
"SARDH",9999
"SCLY",9999
"SDSL",9999
"SELL",9999
"SET",9999
"SH3BP1",9999
"SHKBP1",9999
"SIGIRR",9999
"SIGLEC1",9999
"SIX3",9999
"SLAMF1",9999
"SLC1A5",9999
"SLC34A1",9999
"SLC39A7",9999
"SLC3A2",9999
"SLC44A4",9999
"SLC9A3R2",9999
"SMG6",9999
"SNCB",9999
"SP1",9999
"SPARC",9999
"SPHK1",9999
"SPN",9999
"SRF",9999
"ST14",9999
"STAB1",9999
"STAT4",9999
"STAT5A",9999
"STK24",9999
"SURF4",9999
"SYNGAP1",9999
"SYTL1",9999
"TACC3",9999
"TAF1C",9999
"TAL1",9999
"TBC1D2B",9999
"TBX5",9999
"TBXAS1",9999
"TFAP4",9999
"TFCP2",9999
"TGOLN2",9999
"TH",9999
"THOC2",9999
"THOC6",9999
"THPO",9999
"THRA",9999
"TIMM8A",9999
"TMEM115",9999
"TMSB4X",9999
"TMSB4Y",9999
"TNIP1",9999
"TNK2",9999
"TNNT2",9999
"TP73",9999
"TPST2",9999
"TRAF5",9999
"TRAPPC5",9999
"TRIM3",9999
"TRIM46",9999
"TRPC4AP",9999
"TSC2",9999
"TSC22D3",9999
"TSEN54",9999
"TUBB2B",9999
"TXN2",9999
"TYRO3",9999
"UBE2R2",9999
"UBE2V1",9999
"UBL5",9999
"UNC93A",9999
"USP2",9999
"USP5",9999
"VAMP8",9999
"VEGFB",9999
"VGF",9999
"VPS28",9999
"VPS37C",9999
"VTN",9999
"VWF",9999
"WAC",9999
"WDR6",9999
"WNT10B",9999
"WNT11",9999
"WNT3",9999
"ZBTB32",9999
"ZFP36L1",9999
"ZNF148",9999
"ZNF35",9999
"ZNHIT1",9999
"ZP2",9999
"ZP3",9999
