"node","cluster"
"AKT1",1
"WDTC1",1
"STK11",1
"HRAS",1
"ITGA2B",1
"TNF",1
"VWF",1
"GP9",1
"PF4",1
"ANXA5",1
"IL13",1
"STAT5A",1
"FAU",2
"RPL4",2
"RPL30",2
"RPL27A",2
"RPS23",2
"RPL37A",2
"RPL15",2
"RPL14",2
"RPL36AL",2
"RPL7",2
"RPLP0",2
"RPL10",2
"RPL11",2
"RPS9",2
"MRPS12",2
"RPLP2",2
"RPL8",2
"RPL18",2
"RPL37",2
"RPL32",2
"RPL35",2
"RPL13A",2
"RPS2",2
"RPS21",2
"RPL41",2
"MPHOSPH6",2
"EEF2",2
"GSPT2",2
"EIF4A2",2
"EEF1G",2
"MRPL16",2
"RPN1",2
"EIF5A",2
"EXOSC3",2
"EXOSC7",2
"EXOSC5",2
"SMG6",2
"SEC61A1",2
"DDOST",2
"PLK1",3
"ANAPC2",3
"MIB2",3
"HECTD3",3
"UBE2R2",3
"ASB2",3
"UBE2V1",3
"RNF130",3
"DTX3L",3
"SOCS1",3
"STAT3",4
"DIRAS3",4
"IL32",4
"SPI1",4
"GATA2",4
"ACTA1",5
"TNNI1",5
"MYL2",5
"TNNI2",5
"TPM2",5
"MYL6",5
"TNNT2",5
"TNNT3",5
"TCAP",5
"MYL3",5
"SH3GL1",6
"TGOLN2",6
"ARPC5",6
"ARPC4",6
"ARRB2",6
"DNM2",6
"RAB5C",6
"RAB5B",6
"AP2A1",6
"VAMP8",6
"IGF2R",6
"ARF1",6
"SYT8",6
"GNB1",7
"GNB2",7
"LRG1",7
"GNAI2",7
"NPW",7
"DIRAS2",7
"CXCR4",7
"NPY",7
"CORT",7
"HDAC3",8
"ACTA2",8
"SP1",8
"SRF",8
"EGR1",8
"MYOG",8
"MEF2D",8
"HIST1H2AC",9
"HIST1H2AA",9
"MTA2",9
"MTA1",9
"SAP30",9
"SUDS3",9
"SIN3B",9
"FOXK1",9
"HCFC1",9
"IRF3",10
"IFITM1",10
"IRF2",10
"IRF7",10
"TRIM22",10
"IFIT2",10
"BST2",10
"HLA-G",10
"ADAR",10
"PPP3CC",11
"PPP2R5A",11
"INCENP",11
"RANGAP1",11
"NUDC",11
"CENPH",11
"XAB2",12
"POLR2L",12
"POLD3",12
"GTF2H4",12
"GTF2F1",12
"PCBP2",12
"SF3A2",12
"CTNNBL1",12
"LSM7",12
"PCBP1",12
"LSM2",12
"CPSF1",12
"PQBP1",12
"CD79A",13
"TNFRSF13B",13
