"node","cluster"
"AKT1",1
"FOXM1",1
"WDTC1",1
"STAT3",1
"STK11",1
"HRAS",1
"NPM1",1
"SP1",1
"EGR1",1
"RPL11",2
"SDSL",2
"RPL35",2
"RPL27A",2
"EEF1G",2
"RPL8",2
"RPS23",2
"RPL32",2
"RPL18",2
"RPL36AL",2
"RPL10",2
"RPL13A",2
"RPS9",2
"RPL4",2
"RPL7",2
"RPS2",2
"RPL30",2
"RPLP0",2
"RPLP2",2
"RPL14",2
"RPL37A",2
"RPL15",2
"EEF2",2
"RPS21",2
"RPL41",2
"RPL37",2
"SEC61A1",2
"RPN1",2
"DDOST",2
"SMG6",2
"EIF5A",2
"MRPL16",2
"MRPS12",2
"GSPT2",2
"EXOSC5",2
"EXOSC3",2
"EXOSC7",2
"MPHOSPH6",2
"EIF4A2",2
"TNF",3
"TNFRSF13B",3
"CD22",3
"CD79A",3
"SPN",3
"SELL",3
"IL7R",3
"CD7",3
"GNB1",4
"PLCB2",4
"GNB2",4
"GNAI2",4
"DIRAS2",4
"PIK3R5",4
"RTN4RL2",4
"LRG1",4
"PLCB3",4
"PLK1",5
"RRM2",5
"PKMYT1",5
"CDC25A",5
"BRSK1",5
"PRMT5",5
"ACTA1",6
"DYNC1H1",6
"DNAH11",6
"TUBB",6
"DYNC1LI1",6
"TUBB2B",6
"KIFC1",6
"KIF25",6
"HDAC3",7
"MTA1",7
"MTA2",7
"HIST1H2AC",7
"HIST1H2AA",7
"SUDS3",7
"SAP30",7
"SIN3B",7
"HINT1",7
"FOXK1",7
"ARRB2",8
"OR4C46",8
"OR2Z1",8
"OR1M1",8
"DNM2",9
"MPZ",9
"POLR2L",10
"POLR2J2",10
"GTF2H4",10
"GTF2F1",10
"PAF1",10
"XAB2",10
"CTNNBL1",10
"PPP3CC",11
"PIM2",11
"SOCS1",11
"ANAPC2",11
"UBE2R2",11
"UBE2V1",11
"DTX3L",11
"RNF130",11
"MIB2",11
"ASB2",11
"ACTN4",12
"TRIM3",12
"IRF3",12
"IRF7",12
"IRF2",12
"IFI30",12
"TRIM22",12
"IFIT2",12
"ITGA2B",13
"SLAMF1",13
"PSMA7",13
"THPO",13
"VWF",13
"ACTA2",14
"RHOG",14
"PRKCG",14
"RHOBTB1",14
"ARHGEF16",14
"RHOT2",14
"RAB5C",15
"RAB5B",15
"VAMP8",15
"IGF2R",15
"AP2A1",15
"TGOLN2",15
"SYT8",15
"ARPC5",15
"ARPC4",15
"SH3GL1",15
"ARF1",15
"NDUFV1",16
"NDUFB7",16
"NDUFB11",16
"NDUFA3",16
"NDUFB10",16
"NDUFS7",16
"ACAD9",16
"SDHC",16
"COX5A",16
"UQCRC2",16
"UQCRQ",16
"COX7C",16
"MCL1",17
"HRK",17
"BAD",17
"BBC3",17
"BID",17
"MYL2",18
"TPM2",18
"TNNT2",18
"MYL3",18
"TNNT3",18
"TNNI1",18
"TCAP",18
"TNNI2",18
"SPI1",19
"GATA2",19
"CEBPA",19
"TAL1",19
"ZFPM1",19
"TH",20
"PAH",20
"CYGB",20
"HBD",20
"HBE1",20
"HBZ",20
"HBQ1",20
"TXNRD2",21
"SCLY",21
"HLA-DRB1",22
"HLA-DRA",22
"HLA-DQA2",22
"HLA-G",22
"HLA-DMA",22
"OSBPL1A",22
"KLC2",22
"PSMA4",23
"NFKBIB",23
"PSMB4",23
"PSME4",23
"PSMC4",23
"NFKB2",23
"RELB",23
"ADCY1",24
"GRM4",24
"CXCR4",24
"NPW",24
"PF4",24
"NPY",24
"CORT",24
"AMBP",25
"NDP",25
"COMP",25
"ECE1",25
"HCK",26
"FRS3",26
"SOS1",26
"VAV1",26
"CRK",26
"CAMK2A",27
"DLGAP1",27
"SYNGAP1",27
"CPSF1",28
"SF3A2",28
"LSM7",28
"LSM2",28
"PQBP1",28
"PCBP1",28
"PCBP2",28
"P2RY11",29
"FFAR2",29
"UTS2R",29
"RANGAP1",30
"INCENP",30
"CENPH",30
"NUDC",30
"PPP2R5A",30
"HK3",31
"MGAM",31
"UGP2",31
"CACNA1A",32
"CALB2",32
"FGF8",33
"WNT11",33
"WNT10B",33
"WNT3",33
"GGT1",34
"GSS",34
"CNDP2",34
"GCLM",34
"MDH2",35
"GLUD2",35
"IDH2",35
"NUP210",36
"POM121",36
"THOC6",36
"THOC2",36
"STAT5A",37
"STAT4",37
"PIAS3",37
"ANXA5",38
"LAMP1",38
"CD63",38
"ZBTB32",39
"HELT",39
"OBSCN",40
"CSNK1E",40
"CAB39",41
"STK24",41
"MRPL21",42
"MRPL17",42
"MRPL52",42
"MRPS24",42
"KRTAP6-3",43
"KRTAP11-1",43
"KRTAP23-1",43
"KRTAP6-2",43
"KRTAP19-6",43
"KCNE1",44
"KCNIP2",44
"NR5A1",45
"TCF7",45
"POR",46
"CYP4A11",46
"CACNA1H",47
"GJA8",47
"PPIB",48
"CRTAP",48
"COL9A3",48
"IL6R",49
"CTF1",49
"CNTFR",49
"FCN1",50
"S100A8",50
"S100A12",50
"ILKAP",51
"LIMK2",51
"HTR4",52
"FSHR",52
"GPR20",52
"SCTR",52
"SARDH",53
"ALAS2",53
"GCAT",53
"COMT",54
"APOL3",54
"MSN",55
"HSPB1",55
