"node","cluster"
"DYNC1H1",1
"DNAH11",1
"DYNC1LI1",1
"POLR2L",2
"POLR2J2",2
"GTF2H4",2
"MYL2",3
"MYO18B",3
"MYL6",3
"TNNT2",4
"TNNT3",4
"TNNI1",4
"HBD",5
"HBQ1",5
"HBZ",5
"HBE1",5
"ABCA7",9999
"ACAD9",9999
"ACHE",9999
"ACP5",9999
"ACTA1",9999
"ACTA2",9999
"ACTN4",9999
"ADAM15",9999
"ADAMTS13",9999
"ADAMTS4",9999
"ADAR",9999
"ADCY1",9999
"ADM2",9999
"AGPAT1",9999
"AKT1",9999
"ALAS2",9999
"ALOX5AP",9999
"ALX4",9999
"AMBP",9999
"ANAPC2",9999
"ANP32E",9999
"ANXA11",9999
"ANXA5",9999
"AP2A1",9999
"APEX2",9999
"APOL1",9999
"APOL3",9999
"AQP7",9999
"ARF1",9999
"ARFRP1",9999
"ARHGAP17",9999
"ARHGAP9",9999
"ARHGEF16",9999
"ARPC1B",9999
"ARPC4",9999
"ARPC5",9999
"ARR3",9999
"ARRB2",9999
"ASB2",9999
"ASIP",9999
"ASL",9999
"ASNA1",9999
"ATP6AP1",9999
"ATP6V1F",9999
"ATXN7L3",9999
"AZGP1",9999
"B3GAT3",9999
"BAD",9999
"BATF",9999
"BAZ1B",9999
"BBC3",9999
"BCL3",9999
"BCL9L",9999
"BET1L",9999
"BID",9999
"BIN2",9999
"BLOC1S3",9999
"BRSK1",9999
"BST2",9999
"C8G",9999
"CAB39",9999
"CABP2",9999
"CACNA1A",9999
"CACNA1H",9999
"CACNA2D4",9999
"CALB2",9999
"CALML5",9999
"CAMK2A",9999
"CAMKK2",9999
"CATSPER3",9999
"CD207",9999
"CD22",9999
"CD300A",9999
"CD53",9999
"CD63",9999
"CD68",9999
"CD7",9999
"CD72",9999
"CD79A",9999
"CDA",9999
"CDC25A",9999
"CDKN1C",9999
"CDON",9999
"CEBPA",9999
"CENPH",9999
"CES2",9999
"CFP",9999
"CHAD",9999
"CHCHD2",9999
"CHCHD4",9999
"CHDH",9999
"CHPF",9999
"CHRNA10",9999
"CHRNG",9999
"CHTF18",9999
"CKS1B",9999
"CLCN7",9999
"CLDN6",9999
"CLIC3",9999
"CLPP",9999
"CNDP2",9999
"CNGA2",9999
"CNGB1",9999
"CNTFR",9999
"CNTROB",9999
"COL9A3",9999
"COMP",9999
"COMT",9999
"CORT",9999
"COX5A",9999
"COX7A2L",9999
"COX7C",9999
"CPE",9999
"CPSF1",9999
"CRABP2",9999
"CRB2",9999
"CREB3L1",9999
"CRK",9999
"CRTAP",9999
"CRTC2",9999
"CSF3R",9999
"CSK",9999
"CSNK1E",9999
"CSNK2B",9999
"CTF1",9999
"CTNNBL1",9999
"CTSH",9999
"CXCR4",9999
"CYB561",9999
"CYBA",9999
"CYGB",9999
"CYHR1",9999
"CYP46A1",9999
"CYP4A11",9999
"DAXX",9999
"DBH",9999
"DBP",9999
"DCXR",9999
"DDA1",9999
"DDOST",9999
"DDX11",9999
"DGCR6",9999
"DHRS7B",9999
"DHX30",9999
"DIRAS2",9999
"DLG5",9999
"DLGAP1",9999
"DLX5",9999
"DNAJB2",9999
"DNAJC5",9999
"DNAJC9",9999
"DNM2",9999
"DNMT3L",9999
"DOC2A",9999
"DPH5",9999
"DRAP1",9999
"DTX3L",9999
"DUSP23",9999
"DYRK1B",9999
"DYRK2",9999
"ECE1",9999
"ECHS1",9999
"EEF1G",9999
"EEF2",9999
"EFNA4",9999
"EFS",9999
"EGR1",9999
"EIF4A2",9999
"EIF4EBP1",9999
"EIF4G3",9999
"EIF5A",9999
"ELF4",9999
"EMD",9999
"ENTPD2",9999
"ENTPD4",9999
"EPHB3",9999
"EPN3",9999
"EPPK1",9999
"EVX1",9999
"EXOSC3",9999
"EXOSC5",9999
"EXOSC7",9999
"EXT2",9999
"F11R",9999
"FADS2",9999
"FANCG",9999
"FCN1",9999
"FCN2",9999
"FETUB",9999
"FFAR2",9999
"FGD3",9999
"FGF8",9999
"FHIT",9999
"FIS1",9999
"FLII",9999
"FOXH1",9999
"FOXK1",9999
"FOXM1",9999
"FRG1",9999
"FRS3",9999
"FSD1",9999
"FSHR",9999
"FTCD",9999
"FTL",9999
"FTSJ3",9999
"FXYD2",9999
"GABARAP",9999
"GABRD",9999
"GAL3ST1",9999
"GATA2",9999
"GCAT",9999
"GCLM",9999
"GDF15",9999
"GEMIN4",9999
"GEMIN7",9999
"GGT1",9999
"GIT1",9999
"GJA8",9999
"GLRX",9999
"GLUD2",9999
"GNAI2",9999
"GNB1",9999
"GNB2",9999
"GNL1",9999
"GP9",9999
"GPR20",9999
"GRIK5",9999
"GRIN3B",9999
"GRM4",9999
"GRN",9999
"GSPT2",9999
"GSS",9999
"GSTM1",9999
"GTF2F1",9999
"GUCA2B",9999
"GYS1",9999
"H2AFY",9999
"HAMP",9999
"HAND1",9999
"HARS2",9999
"HCFC1",9999
"HCK",9999
"HDAC3",9999
"HECTD3",9999
"HELT",9999
"HINT1",9999
"HIST1H2AA",9999
"HIST1H2AC",9999
"HK3",9999
"HLA-DMA",9999
"HLA-DQA2",9999
"HLA-DRA",9999
"HLA-DRB1",9999
"HLA-G",9999
"HMGN2",9999
"HOMER3",9999
"HOXC4",9999
"HRAS",9999
"HRK",9999
"HSD17B1",9999
"HSPB1",9999
"HSPBP1",9999
"HTR3A",9999
"HTR4",9999
"IDH2",9999
"IER2",9999
"IFI30",9999
"IFIT2",9999
"IFITM1",9999
"IGF2R",9999
"IGFALS",9999
"IL13",9999
"IL32",9999
"IL6R",9999
"IL7R",9999
"ILKAP",9999
"INCENP",9999
"IRF2",9999
"IRF2BP2",9999
"IRF3",9999
"IRF7",9999
"ISYNA1",9999
"ITGA2B",9999
"ITGB4",9999
"JOSD1",9999
"KCNE1",9999
"KCNIP2",9999
"KCNJ11",9999
"KCNK3",9999
"KCNK4",9999
"KCNK9",9999
"KCNMB1",9999
"KCNQ4",9999
"KCTD17",9999
"KHSRP",9999
"KIF1A",9999
"KIF25",9999
