"node","cluster"
"RPL4",1
"RPLP2",1
"RPL27A",1
"RPL37",1
"RPL37A",1
"RPL8",1
"RPL15",1
"RPL18",1
"RPL32",1
"RPL41",1
"RPL35",1
"RPS2",1
"RPS23",1
"RPS21",1
"RPL14",1
"RPL13A",1
"RPLP0",1
"RPL7",1
"RPS9",1
"RPL10",1
"RPL30",1
"RPL11",1
"GSPT2",1
"EEF2",1
"EIF4A2",1
"HARS2",1
"MRPL16",1
"MRPS12",1
"MRPL17",1
"EIF5A",1
"PSMA4",1
"PSMA7",1
"PSMB4",1
"RPN1",1
"PSMC4",1
"DDOST",1
"POLR2L",1
"PCBP1",1
"MARS",1
"PCBP2",1
"CPSF1",1
"NPM1",1
"FTSJ3",1
"SET",1
"HDAC3",2
"HIST1H2AA",2
"PLK1",2
"PRMT5",2
"PPAN",2
"HIST1H2AC",2
"AKT1",3
"SERPINB5",3
"NDUFV1",4
"NDUFB11",4
"NDUFA3",4
"NDUFB7",4
"NDUFB10",4
"NDUFS7",4
"UQCRC2",4
"COX5A",4
"UQCRQ",4
"COX7C",4
"COX7A2L",4
"MDH2",4
"SDHC",4
"ECHS1",4
"IDH2",4
"STAT3",5
"KPNA6",5
"NONO",6
"MYBBP1A",6
"GTF2H4",6
"XAB2",6
"MUS81",7
"PSME4",7
"USP22",7
"PPIB",8
"TBCA",8
"NUDC",8
"CRK",9
"SOS1",9
"NCK2",9
"CSK",9
"TUBB",10
"DYNC1H1",10
"KIFC1",10
"TUBB2B",10
"TUBGCP2",10
"PCNT",10
"RAB5C",11
"RAB5B",11
"SMAP1",11
"ARF1",11
"RAB11B",11
"YIF1B",11
"SURF4",11
"SP1",12
"EGR1",12
"SRF",12
"CKS1B",13
"PKMYT1",13
"CDC25A",13
"FOXM1",13
"FRG1",14
"LSM2",14
"LSM7",14
"SF3A2",14
"CTNNBL1",14
"TIMM13",15
"SEC61A1",15
"ASNA1",15
"MSN",16
"SLC9A3R2",16
"HLA-DRB1",17
"IFI30",17
"HLA-DMA",17
"HLA-DQA2",17
"HLA-G",17
"HLA-DRA",17
"ACTN4",18
"TMSB4X",18
"SPARC",18
"VEGFB",18
"PF4",18
"HCK",19
"HRAS",19
"VAV1",19
"SIN3B",20
"MTA2",20
"SAP30",20
"HCFC1",20
"MTA1",20
"SUDS3",20
"ARPC1B",21
"ARPC5",21
"ARPC4",21
"RHOG",22
"ARHGAP17",22
"RHOBTB1",22
"FGD3",22
"RHOT2",22
"ARHGEF16",22
"ARHGAP9",22
"TPM2",23
"TNNI1",23
"TNNT3",23
"MYL3",23
"TNNI2",23
"MYL2",23
"TCAP",23
"GNB1",24
"GNB2",24
"GNAI2",24
"EXOSC5",25
"EXOSC3",25
"EXOSC7",25
"KHSRP",25
"MPHOSPH6",25
"IRF2",26
"IRF7",26
"IRF3",26
"ADAR",26
"IFIT2",26
"GTF2F1",26
"GABARAP",27
"SQSTM1",27
"SPI1",28
"GATA2",28
"CEBPA",28
"ZFPM1",28
"HINT1",29
"FHIT",29
"ZNF598",30
"UBE2R2",30
"PIAS1",31
"WAC",31
"LAMP1",32
"IGF2R",32
"CD63",32
"NFKB2",33
"RELB",33
"BCL3",33
"RIPK1",34
"BID",34
"DDX11",35
"CHTF18",35
"SMARCD3",36
"PAF1",36
"ZBED1",36
"STK11",37
"CAB39",37
"BRSK1",37
"VWF",38
"CD68",38
"CYBA",38
"CD79A",39
"TNFRSF13B",39
"CD22",39
"GSS",40
"CNDP2",40
"GCLM",40
"BAD",41
"BBC3",41
"MCL1",41
"HBE1",42
"HBD",42
"HBQ1",42
"HBZ",42
"PLCB3",43
"UTS2R",43
"PLCB2",43
"PROK2",43
"UGP2",44
"GYS1",44
"STAT5A",45
"SOCS1",45
"CLPP",46
"TXN2",46
"HTR4",47
"SCTR",47
"ADM2",47
"ATP6V1F",48
"ATP6AP1",48
"ACTA1",49
"ACTA2",49
"PPP3CC",50
"PPP1R1B",50
"THOC2",51
"THOC6",51
"MRPL52",52
"MRPL21",52
"MRPS24",52
"GEMIN4",53
"GEMIN7",53
"OR5A2",54
"OR4C46",54
"OR1M1",54
"S100A8",55
"S100A12",55
"FADS2",56
"FADS3",56
"LHX2",57
"FGF8",57
"DDA1",58
"WDTC1",58
"PNMT",59
"DBH",59
"COMT",59
"ALOX5AP",60
"TBXAS1",60
"NPY",61
"GRM4",61
"NPW",61
"ABCA7",0
"ACAD9",0
"ACHE",0
"ACP5",0
"ADAM15",0
"ADAMTS13",0
"ADCY1",0
"AGPAT1",0
"ALAS2",0
"ALKBH7",0
"ALX4",0
"AMBP",0
"ANAPC2",0
"ANP32E",0
"ANXA11",0
"ANXA5",0
"AP2A1",0
"APEX2",0
"APLP1",0
"ARFRP1",0
"ARRB2",0
"ASIP",0
"ASL",0
"ATXN7L3",0
"BATF",0
"BAZ1B",0
"BET1L",0
"BIN2",0
"BRI3",0
"BST2",0
"C8G",0
"CACNA1A",0
"CACNA2D4",0
"CALML5",0
"CAMK2A",0
"CAMKK2",0
"CCS",0
"CD53",0
"CD7",0
"CD72",0
"CDA",0
"CENPH",0
"CES2",0
"CHCHD2",0
"CHCHD4",0
"CHDH",0
"CHRNG",0
"CLCN7",0
"CLSTN3",0
"CNTFR",0
"CNTROB",0
"CPE",0
"CRTAP",0
"CSF3R",0
"CSNK1E",0
"CSNK2B",0
"CTF1",0
"CTSL",0
"CXCR4",0
"CYGB",0
"CYP4A11",0
"DAXX",0
"DBP",0
"DCXR",0
"DGCR6",0
"DHRS7B",0
"DHX30",0
"DIRAS3",0
"DLX5",0
"DNAJB2",0
"DNAJC5",0
"DNAJC9",0
"DNM2",0
"DPH5",0
"DRAP1",0
"DTX3L",0
"DUSP23",0
"DYNC1LI1",0
"DYRK1B",0
"DYRK2",0
"ECE1",0
"EEF1G",0
"EFS",0
"EIF4EBP1",0
"EIF4G3",0
"ELF4",0
"EMD",0
"ENTPD2",0
"ENTPD4",0
"EPHB3",0
"EXT2",0
"F11R",0
"FANCG",0
"FASTK",0
"FATE1",0
"FFAR2",0
"FIS1",0
"FOXH1",0
"FOXK1",0
"FRS3",0
"FSHR",0
"FTL",0
"GBX2",0
"GDF15",0
"GGT1",0
"GIT1",0
"GJA8",0
"GLUD2",0
"GNL1",0
"GP9",0
"GRN",0
"GSTM1",0
"H2AFY",0
"HAND1",0
"HK3",0
"HMGN2",0
"HOXC4",0
"HRK",0
"HSPB1",0
"HSPBP1",0
"HTR3A",0
"IL13",0
"IL32",0
"IL6R",0
"IL7R",0
"INCENP",0
"INVS",0
"IRF2BP2",0
"ISYNA1",0
"ITGA2B",0
"ITGB4",0
"JOSD1",0
"KCNH3",0
"KCNQ4",0
"KCTD17",0
"KIF1A",0
"KIR2DL1",0
"KLC2",0
"KLF16",0
"KLF6",0
"KLHDC3",0
"KRT16",0
"LAMA5",0
"LAT",0
"LCN1",0
"LIM2",0
"LIMD1",0
"LIMK2",0
"LPIN2",0
"LPXN",0
"LSS",0
"LST1",0
"MEF2D",0
"MFNG",0
"MICAL1",0
"MSI1",0
"MSX1",0
"MYL6",0
"MYOG",0
"MYT1",0
"NDFIP1",0
"NDRG2",0
"NES",0
"NFATC4",0
"NFKBIB",0
"NIPSNAP1",0
"NPM3",0
"NQO2",0
"NR5A1",0
"NT5M",0
"NUBP2",0
"NUMA1",0
"NUP210",0
"ORMDL3",0
"OS9",0
"OSBPL1A",0
"P2RY11",0
"PADI4",0
"PAIP2",0
"PAM",0
"PCBP3",0
"PCGF6",0
"PDAP1",0
"PDCL3",0
"PDXP",0
"PEPD",0
"PFDN2",0
"PGK1",0
"PGLYRP1",0
"PHC1",0
"PHF1",0
"PIAS3",0
"PIGL",0
"PIGQ",0
"PIM2",0
"PIP5K1C",0
"PITX1",0
"PLA2G2F",0
"PLAUR",0
"PLP2",0
"PLSCR3",0
"POLD3",0
"POM121",0
"POR",0
"POU3F1",0
"POU3F4",0
"PPFIA3",0
"PPP2R5A",0
"PPRC1",0
"PQBP1",0
"PRKCG",0
"PRMT8",0
"PSTPIP1",0
"PTMS",0
"PTPRU",0
"PTTG1IP",0
"PYCR2",0
"QRSL1",0
"RANGAP1",0
"RAPSN",0
"RASGRP2",0
"RASL10B",0
"RBM4B",0
"REEP4",0
"RGS14",0
"RGS2",0
"RNF149",0
"RRM2",0
"S100A14",0
"S100A6",0
"SALL2",0
"SARDH",0
"SCLY",0
"SDSL",0
"SELL",0
"SH3BP1",0
"SH3GL1",0
"SHKBP1",0
"SIGIRR",0
"SIGLEC1",0
"SIX3",0
"SLAMF1",0
"SLC1A5",0
"SLC34A1",0
"SLC39A7",0
"SLC3A2",0
"SLC44A4",0
"SMG6",0
"SNCB",0
"SPHK1",0
"SPN",0
"ST14",0
"STAB1",0
"STAT4",0
"STK24",0
"SYNGAP1",0
"SYTL1",0
"TACC3",0
"TAF1C",0
"TAL1",0
"TBC1D2B",0
"TBX5",0
"TFAP4",0
"TFCP2",0
"TGOLN2",0
"TH",0
"THPO",0
"THRA",0
"TIMM8A",0
"TMEM115",0
"TMSB4Y",0
"TNF",0
"TNFSF13",0
"TNIP1",0
"TNK2",0
"TNNT2",0
"TP73",0
"TPST2",0
"TRAF5",0
"TRAPPC5",0
"TRIM3",0
"TRIM46",0
"TRPC4AP",0
"TSC2",0
"TSC22D3",0
"TSEN54",0
"TYRO3",0
"UBE2V1",0
"UBL5",0
"UNG",0
"USP11",0
"USP2",0
"USP5",0
"VAMP8",0
"VGF",0
"VPS28",0
"VPS37C",0
"VTN",0
"WDR6",0
"WNT10B",0
"WNT11",0
"WNT3",0
"ZBTB32",0
"ZFP36L1",0
"ZNF148",0
"ZNF35",0
"ZNHIT1",0
"ZP2",0
"ZP3",0
