"node","cluster"
"RPL4",1
"RPLP2",1
"RPL27A",1
"RPL37",1
"RPL37A",1
"RPL8",1
"RPL15",1
"RPL18",1
"RPL32",1
"RPL41",1
"RPL35",1
"RPS2",1
"RPS23",1
"RPS21",1
"RPL14",1
"RPL13A",1
"RPLP0",1
"RPL7",1
"RPS9",1
"RPL30",1
"RPL10",1
"RPL11",1
"GSPT2",1
"EIF4A2",1
"HARS2",1
"EEF2",1
"MRPL16",1
"MRPS12",1
"MRPL17",1
"EIF5A",1
"PSMA4",1
"PSMA7",1
"PSMB4",1
"RPN1",1
"PSMC4",1
"DDOST",1
"MRPS24",1
"POLR2L",1
"MARS",1
"PCBP1",1
"PCBP2",1
"CPSF1",1
"HDAC3",2
"HIST1H2AA",2
"PLK1",2
"PRMT5",2
"PPAN",2
"NPM1",2
"AKT1",3
"GYS1",3
"UGP2",3
"MDH2",3
"STAT3",4
"KPNA6",4
"NDUFV1",5
"UQCRC2",5
"NDUFA3",5
"NDUFB7",5
"NDUFB10",5
"NDUFB11",5
"NDUFS7",5
"COX5A",5
"UQCRQ",5
"COX7C",5
"COX7A2L",5
"SDHC",5
"NONO",6
"MYBBP1A",6
"SET",6
"MUS81",7
"APEX2",7
"UNG",7
"CRK",8
"SOS1",8
"NCK2",8
"CSK",8
"RAB5C",9
"RAB5B",9
"SMAP1",9
"ARF1",9
"RAB11B",9
"YIF1B",9
"SURF4",9
"PPIB",10
"TBCA",10
"NUDC",10
"XAB2",11
"FRG1",11
"SF3A2",11
"LSM2",11
"FTSJ3",11
"CTNNBL1",11
"EXOSC3",11
"EXOSC7",11
"EXOSC5",11
"TUBB",12
"DYNC1H1",12
"KIFC1",12
"TUBB2B",12
"TUBGCP2",12
"PCNT",12
"SP1",13
"EGR1",13
"SRF",13
"HLA-DRB1",14
"IFI30",14
"HLA-DMA",14
"HLA-DQA2",14
"HLA-G",14
"CKS1B",15
"PKMYT1",15
"CDC25A",15
"MSN",16
"SLC9A3R2",16
"SIN3B",17
"MTA2",17
"SAP30",17
"HCFC1",17
"MTA1",17
"SUDS3",17
"HCK",18
"HRAS",18
"VAV1",18
"ACTN4",19
"TMSB4X",19
"SPARC",19
"VEGFB",19
"PF4",19
"ARPC1B",20
"ARPC5",20
"ARPC4",20
"GTF2H4",21
"ZBED1",21
"PAF1",21
"GTF2F1",21
"TPM2",22
"TNNI1",22
"TNNT3",22
"MYL3",22
"TNNI2",22
"MYL2",22
"TCAP",22
"ECHS1",23
"PGK1",23
"HINT1",23
"GABARAP",24
"SQSTM1",24
"GNB1",25
"GNB2",25
"GNAI2",25
"ARHGAP17",26
"RHOG",26
"RHOBTB1",26
"FGD3",26
"RHOT2",26
"ARHGEF16",26
"ARHGAP9",26
"IRF3",27
"IRF7",27
"IRF2",27
"ADAR",27
"IFIT2",27
"SEC61A1",28
"ASNA1",28
"ZNF598",29
"EIF4G3",29
"LAMP1",30
"IGF2R",30
"CD63",30
"SPI1",31
"GATA2",31
"CEBPA",31
"ZFPM1",31
"RIPK1",32
"TNF",32
"GSS",33
"CNDP2",33
"GCLM",33
"VWF",34
"CD68",34
"CYBA",34
"USP22",35
"ATXN7L3",35
"DDX11",36
"CHTF18",36
"NFKB2",37
"RELB",37
"BCL3",37
"CD79A",38
"CD22",38
"TNFRSF13B",38
"STK11",39
"USP11",39
"BAD",40
"BID",40
"BBC3",40
"MCL1",40
"HBE1",41
"HBD",41
"HBQ1",41
"HBZ",41
"PLCB3",42
"UTS2R",42
"PLCB2",42
"AP2A1",43
"DNM2",43
"CLPP",44
"TXN2",44
"PPP3CC",45
"PPP1R1B",45
"GEMIN4",46
"GEMIN7",46
"OR5A2",47
"OR4C46",47
"OR1M1",47
"S100A8",48
"S100A12",48
"FADS2",49
"FADS3",49
"LHX2",50
"FGF8",50
"PNMT",51
"DBH",51
"COMT",51
"SCTR",52
"HTR4",52
"ADM2",52
"ABCA7",0
"ACAD9",0
"ACHE",0
"ACP5",0
"ACTA1",0
"ACTA2",0
"ADAM15",0
"ADAMTS13",0
"ADCY1",0
"AGPAT1",0
"ALAS2",0
"ALKBH7",0
"ALOX5AP",0
"ALX4",0
"AMBP",0
"ANAPC2",0
"ANP32E",0
"ANXA11",0
"ANXA5",0
"APLP1",0
"ARFRP1",0
"ARRB2",0
"ASIP",0
"ASL",0
"ATP6AP1",0
"ATP6V1F",0
"BATF",0
"BAZ1B",0
"BET1L",0
"BIN2",0
"BRI3",0
"BRSK1",0
"BST2",0
"C8G",0
"CAB39",0
"CACNA1A",0
"CACNA2D4",0
"CALML5",0
"CAMK2A",0
"CAMKK2",0
"CCS",0
"CD53",0
"CD7",0
"CD72",0
"CDA",0
"CENPH",0
"CES2",0
"CHCHD2",0
"CHCHD4",0
"CHDH",0
"CHRNG",0
"CLCN7",0
"CLSTN3",0
"CNTFR",0
"CNTROB",0
"CPE",0
"CRTAP",0
"CSF3R",0
"CSNK1E",0
"CSNK2B",0
"CTF1",0
"CTSL",0
"CXCR4",0
"CYGB",0
"CYP4A11",0
"DAXX",0
"DBP",0
"DCXR",0
"DDA1",0
"DGCR6",0
"DHRS7B",0
"DHX30",0
"DIRAS3",0
"DLX5",0
"DNAJB2",0
"DNAJC5",0
"DNAJC9",0
"DPH5",0
"DRAP1",0
"DTX3L",0
"DUSP23",0
"DYNC1LI1",0
"DYRK1B",0
"DYRK2",0
"ECE1",0
"EEF1G",0
"EFS",0
"EIF4EBP1",0
"ELF4",0
"EMD",0
"ENTPD2",0
"ENTPD4",0
"EPHB3",0
"EXT2",0
"F11R",0
"FANCG",0
"FASTK",0
"FATE1",0
"FFAR2",0
"FHIT",0
"FIS1",0
"FOXH1",0
"FOXK1",0
"FOXM1",0
"FRS3",0
"FSHR",0
"FTL",0
"GBX2",0
"GDF15",0
"GGT1",0
"GIT1",0
"GJA8",0
"GLUD2",0
"GNL1",0
"GP9",0
"GRM4",0
"GRN",0
"GSTM1",0
"H2AFY",0
"HAND1",0
"HIST1H2AC",0
"HK3",0
"HLA-DRA",0
"HMGN2",0
"HOXC4",0
"HRK",0
"HSPB1",0
"HSPBP1",0
"HTR3A",0
"IDH2",0
"IL13",0
"IL32",0
"IL6R",0
"IL7R",0
"INCENP",0
"INVS",0
"IRF2BP2",0
"ISYNA1",0
"ITGA2B",0
"ITGB4",0
"JOSD1",0
"KCNH3",0
"KCNQ4",0
"KCTD17",0
"KHSRP",0
"KIF1A",0
"KIR2DL1",0
"KLC2",0
"KLF16",0
"KLF6",0
"KLHDC3",0
"KRT16",0
"LAMA5",0
"LAT",0
"LCN1",0
"LIM2",0
"LIMD1",0
"LIMK2",0
"LPIN2",0
"LPXN",0
"LSM7",0
"LSS",0
"LST1",0
"MEF2D",0
"MFNG",0
"MICAL1",0
"MPHOSPH6",0
"MRPL21",0
"MRPL52",0
"MSI1",0
"MSX1",0
"MYL6",0
"MYOG",0
"MYT1",0
"NDFIP1",0
"NDRG2",0
"NES",0
"NFATC4",0
"NFKBIB",0
"NIPSNAP1",0
"NPM3",0
"NPW",0
"NPY",0
"NQO2",0
"NR5A1",0
"NT5M",0
"NUBP2",0
"NUMA1",0
"NUP210",0
"ORMDL3",0
"OS9",0
"OSBPL1A",0
"P2RY11",0
"PADI4",0
"PAIP2",0
"PAM",0
"PCBP3",0
"PCGF6",0
"PDAP1",0
"PDCL3",0
"PDXP",0
"PEPD",0
"PFDN2",0
"PGLYRP1",0
"PHC1",0
"PHF1",0
"PIAS1",0
"PIAS3",0
"PIGL",0
"PIGQ",0
"PIM2",0
"PIP5K1C",0
"PITX1",0
"PLA2G2F",0
"PLAUR",0
"PLP2",0
"PLSCR3",0
"POLD3",0
"POM121",0
"POR",0
"POU3F1",0
"POU3F4",0
"PPFIA3",0
"PPP2R5A",0
"PPRC1",0
"PQBP1",0
"PRKCG",0
"PRMT8",0
"PROK2",0
"PSME4",0
"PSTPIP1",0
"PTMS",0
"PTPRU",0
"PTTG1IP",0
"PYCR2",0
"QRSL1",0
"RANGAP1",0
"RAPSN",0
"RASGRP2",0
"RASL10B",0
"RBM4B",0
"REEP4",0
"RGS14",0
"RGS2",0
"RNF149",0
"RRM2",0
"S100A14",0
"S100A6",0
"SALL2",0
"SARDH",0
"SCLY",0
"SDSL",0
"SELL",0
"SERPINB5",0
"SH3BP1",0
"SH3GL1",0
"SHKBP1",0
"SIGIRR",0
"SIGLEC1",0
"SIX3",0
"SLAMF1",0
"SLC1A5",0
"SLC34A1",0
"SLC39A7",0
"SLC3A2",0
"SLC44A4",0
"SMARCD3",0
"SMG6",0
"SNCB",0
"SOCS1",0
"SPHK1",0
"SPN",0
"ST14",0
"STAB1",0
"STAT4",0
"STAT5A",0
"STK24",0
"SYNGAP1",0
"SYTL1",0
"TACC3",0
"TAF1C",0
"TAL1",0
"TBC1D2B",0
"TBX5",0
"TBXAS1",0
"TFAP4",0
"TFCP2",0
"TGOLN2",0
"TH",0
"THOC2",0
"THOC6",0
"THPO",0
"THRA",0
"TIMM13",0
"TIMM8A",0
"TMEM115",0
"TMSB4Y",0
"TNFSF13",0
"TNIP1",0
"TNK2",0
"TNNT2",0
"TP73",0
"TPST2",0
"TRAF5",0
"TRAPPC5",0
"TRIM3",0
"TRIM46",0
"TRPC4AP",0
"TSC2",0
"TSC22D3",0
"TSEN54",0
"TYRO3",0
"UBE2R2",0
"UBE2V1",0
"UBL5",0
"USP2",0
"USP5",0
"VAMP8",0
"VGF",0
"VPS28",0
"VPS37C",0
"VTN",0
"WAC",0
"WDR6",0
"WDTC1",0
"WNT10B",0
"WNT11",0
"WNT3",0
"ZBTB32",0
"ZFP36L1",0
"ZNF148",0
"ZNF35",0
"ZNHIT1",0
"ZP2",0
"ZP3",0
