"node","cluster"
"PSMA4",1
"RRM2",1
"PSMB4",1
"PSMA7",1
"CDC25A",1
"NUDC",1
"PSMC4",1
"PCBP1",1
"RPL11",1
"POLR2L",1
"RPL4",1
"RPLP0",1
"RPS9",1
"RPS2",1
"RPL35",1
"MARS",1
"RPL7",1
"PCBP2",1
"MYBBP1A",1
"EEF2",1
"RPLP2",1
"EIF5A",1
"RPL13A",1
"RPL14",1
"RPS23",1
"RPL18",1
"RPL10",1
"RPL30",1
"PPIB",1
"RPL15",1
"RPL27A",1
"RPL8",1
"RPL36AL",1
"RPL32",1
"NPM1",1
"PRMT5",1
"RPN1",1
"RPL37A",1
"CSNK2B",1
"NONO",1
"SET",1
"FTSJ3",1
"HARS2",1
"TUBB",1
"DDOST",1
"EIF4A2",1
"RPL37",1
"PPAN",1
"CPSF1",1
"MUS81",1
"TIMM13",1
"CKS1B",1
"ARF1",1
"SEC61A1",1
"LSM2",1
"GSPT2",1
"EXOSC3",1
"XAB2",1
"EXOSC5",1
"EXOSC7",1
"TRAPPC5",1
"PYCR2",1
"PGK1",1
"POLR2J2",1
"DNAJC9",1
"GNB1",1
"GNB2",1
"HDAC3",2
"AKT1",2
"STAT3",2
"IRF3",2
"EGR1",2
"GATA2",2
"SPI1",2
"STAT5A",2
"NDUFV1",3
"NIPSNAP1",3
"UQCRC2",3
"CLPP",3
"MDH2",3
"COX5A",3
"NDUFB10",3
"NDUFB11",3
"NDUFB7",3
"MRPL17",3
"UQCRQ",3
"MRPS24",3
"COX7C",3
"MRPS12",3
"NDUFA3",3
"SDHC",3
"COX7A2L",3
"TIMM8A",3
"NDUFS7",3
"MRPL16",3
"IDH2",3
"ECHS1",3
"CHCHD2",3
"PLK1",4
"FOXM1",4
"FANCG",4
"KIFC1",4
"TACC3",4
"INCENP",4
"DDX11",4
"ARHGAP17",5
"ARHGEF16",5
"RHOBTB1",5
"RHOT2",5
"RHOG",5
"SOS1",5
"ARHGAP9",5
"FGD3",5
"CRK",6
"HSPBP1",6
"ASNA1",6
"RAB5C",7
"SERINC2",7
"RAB5B",7
"LAMP1",7
"DYRK1B",7
"RAB11B",7
"ACTN4",8
"TRIM3",8
"MSN",9
"HCK",9
"ARPC1B",9
"ARPC5",9
"GNAI2",9
"MTA1",10
"SUDS3",10
"SIN3B",10
"SAP30",10
"HCFC1",10
"MTA2",10
"RCOR2",10
"DYNC1H1",11
"CSK",11
"ARRB2",11
"FLII",11
"HLA-DRB1",12
"HLA-DRA",12
"HLA-DMA",12
"HLA-G",12
"HLA-DQA2",12
"SP1",13
"MYOG",13
"MEF2D",13
"TFAP4",13
"SRF",13
"GABARAP",14
"UBE2R2",14
"SH3GL1",14
"SH3GLB2",14
"ANAPC2",14
"HRAS",15
"FRS3",15
"SURF4",16
