"node","cluster"
"RAC3",1
"ARHGAP10",1
"PLEKHG5",1
"OR5C1",2
"OR1E1",2
"OR1J2",2
"HIST1H2BN",3
"HIST1H2AK",3
"POU2F1",4
"VDR",4
"PELI3",5
"IRAK2",5
"MAP3K14",5
"PYCR1",6
"IDH3B",6
"SAMM50",7
"BCS1L",7
"ABCB11",8
"LY6D",8
"ABCA4",-1
"ACADS",-1
"ADSSL1",-1
"ALAS2",-1
"ARRB1",-1
"B3GNT7",-1
"CBL",-1
"CD79B",-1
"CDC34",-1
"CDT1",-1
"CHRM1",-1
"CLEC1B",-1
"DERL3",-1
"DGCR8",-1
"DYNC1I1",-1
"F2RL3",-1
"FBXL2",-1
"GNMT",-1
"HBD",-1
"LAMB2",-1
"LDLR",-1
"LMNB2",-1
"MYO1A",-1
"NRBP1",-1
"RILP",-1
"SERINC5",-1
"SLC35D2",-1
"SNX17",-1
"SP1",-1
"SPTBN2",-1
"SPTBN4",-1
"SUPT5H",-1
"TXNRD2",-1
"UCHL1",-1
