"node","cluster"
"SAMM50",1
"BCS1L",1
"TXNRD2",1
"RAC3",2
"NRBP1",2
"POU2F1",3
"SP1",3
"PELI3",4
"MAP3K14",4
"SPTBN2",5
"SPTBN4",5
"ABCA4",-1
"ABCB11",-1
"ACADS",-1
"ADSSL1",-1
"ALAS2",-1
"ARHGAP10",-1
"ARRB1",-1
"B3GNT7",-1
"CBL",-1
"CD79B",-1
"CDC34",-1
"CDT1",-1
"CHRM1",-1
"CLEC1B",-1
"DERL3",-1
"DGCR8",-1
"DYNC1I1",-1
"F2RL3",-1
"FBXL2",-1
"GNMT",-1
"HBD",-1
"HIST1H2AK",-1
"HIST1H2BN",-1
"IDH3B",-1
"IRAK2",-1
"LAMB2",-1
"LDLR",-1
"LMNB2",-1
"OR1E1",-1
"OR5C1",-1
"PLEKHG5",-1
"PYCR1",-1
"RILP",-1
"SERINC5",-1
"SLC35D2",-1
"SNX17",-1
"SUPT5H",-1
"UCHL1",-1
"VDR",-1
