"node","cluster"
"AKT1",1
"GYS1",1
"RPL7",2
"PPAN",2
"FTSJ3",2
"RPL8",3
"RPL27A",3
"RPL15",3
"RPL41",3
"RPL32",3
"RPL18",3
"RPL37",3
"RPLP2",3
"RPL4",3
"RPL37A",3
"RPS23",3
"RPS21",3
"STAT3",4
"KPNA6",4
"EEF2",5
"DPH5",5
"HLA-DRB1",6
"HLA-DRA",6
"HLA-DMA",6
"HLA-DQA2",6
"COX5A",7
"NDUFV1",7
"NDUFB7",7
"NDUFB10",7
"UQCRQ",7
"UQCRC2",7
"SDHC",7
"NDUFS7",7
"IRF3",8
"IRF7",8
"NPM1",9
"NPM3",9
"RAB5C",10
"RAB5B",10
"MRPS12",11
"MRPL16",11
"MRPL17",11
"MRPL21",11
"MRPS24",11
"MRPL52",11
"GGT1",12
"CNDP2",12
"GCLM",12
"GSS",12
"TH",13
"PNMT",13
"DBH",13
"COMT",13
"PSMA4",14
"PSMA7",14
"PSMB4",14
"ARPC5",15
"ARPC4",15
"ARPC1B",15
"EXOSC3",16
"EXOSC7",16
"EXOSC5",16
"KHSRP",16
"HBD",17
"HBE1",17
"HBQ1",17
"HBZ",17
"EIF4A2",18
"PAIP2",18
"WNT11",19
"VANGL1",19
"MDH2",20
"IDH2",20
"EIF4EBP1",21
"EIF4G3",21
"KRTAP6-3",22
"KRTAP11-1",22
"KRTAP23-1",22
"KRTAP6-2",22
"KRTAP19-6",22
"CHDH",23
"PLA2G2F",23
"ABCA7",0
"ACAD9",0
"ACHE",0
"ACP5",0
"ACTA1",0
"ACTA2",0
"ACTN4",0
"ADAM15",0
"ADAMTS13",0
"ADAMTS4",0
"ADAMTSL2",0
"ADAR",0
"ADCY1",0
"ADM2",0
"AGPAT1",0
"ALAS2",0
"ALOX5AP",0
"ALX4",0
"AMBP",0
"ANAPC2",0
"ANP32E",0
"ANXA11",0
"ANXA5",0
"AP2A1",0
"APEX2",0
"APOL1",0
"APOL3",0
"AQP7",0
"ARF1",0
"ARFRP1",0
"ARHGAP17",0
"ARHGAP9",0
"ARHGEF16",0
"ARRB2",0
"ASB2",0
"ASIP",0
"ASL",0
"ASNA1",0
"ATP6AP1",0
"ATP6V1F",0
"ATXN7L3",0
"AZGP1",0
"B3GAT3",0
"BAD",0
"BARHL1",0
"BATF",0
"BAZ1B",0
"BBC3",0
"BCL3",0
"BCL9L",0
"BET1L",0
"BID",0
"BIN2",0
"BLOC1S3",0
"BRSK1",0
"BST2",0
"C8G",0
"CAB39",0
"CABP2",0
"CACNA1A",0
"CACNA1H",0
"CACNA2D4",0
"CALB2",0
"CALML5",0
"CAMK2A",0
"CAMKK2",0
"CATSPER3",0
"CD207",0
"CD22",0
"CD300A",0
"CD53",0
"CD63",0
"CD68",0
"CD7",0
"CD72",0
"CD79A",0
"CDA",0
"CDC25A",0
"CDKN1C",0
"CDON",0
"CEBPA",0
"CENPH",0
"CES2",0
"CFP",0
"CHCHD2",0
"CHCHD4",0
"CHPF",0
"CHRNA10",0
"CHRNG",0
"CHTF18",0
"CKS1B",0
"CLCN7",0
"CLIC3",0
"CLPP",0
"CNTFR",0
"CNTROB",0
"COL9A3",0
"COMP",0
"CORT",0
"COX7A2L",0
"COX7C",0
"CPSF1",0
"CRABP2",0
"CRB2",0
"CREB3L1",0
"CRK",0
"CRTAP",0
"CRTC2",0
"CSF3R",0
"CSK",0
"CSNK1E",0
"CSNK2B",0
"CTF1",0
"CTNNBL1",0
"CTSH",0
"CXCR4",0
"CYB561",0
"CYBA",0
"CYGB",0
"CYP46A1",0
"CYP4A11",0
"DAXX",0
"DBP",0
"DCXR",0
"DDA1",0
"DDOST",0
"DDX11",0
"DGCR6",0
"DHRS7B",0
"DHX30",0
"DIRAS3",0
"DLG5",0
"DLGAP1",0
"DLX5",0
"DNAH11",0
"DNAJB2",0
"DNAJC5",0
"DNAJC9",0
"DNM2",0
"DNMT3L",0
"DOC2A",0
"DRAP1",0
"DTX3L",0
"DUSP23",0
"DYNC1H1",0
"DYNC1LI1",0
"DYRK1B",0
"DYRK2",0
"ECE1",0
"ECHS1",0
"EEF1G",0
"EFNA4",0
"EFS",0
"EGR1",0
"EIF5A",0
"ELF4",0
"EMD",0
"ENTPD2",0
"ENTPD4",0
"EPHB3",0
"EPPK1",0
"EXT2",0
"F11R",0
"FADS2",0
"FANCG",0
"FCN1",0
"FCN2",0
"FETUB",0
"FFAR2",0
"FGD3",0
"FGF8",0
"FHIT",0
"FIS1",0
"FOXH1",0
"FOXK1",0
"FOXM1",0
"FRG1",0
"FRS3",0
"FSD1",0
"FSHR",0
"FTCD",0
"FTL",0
"FXYD2",0
"GABARAP",0
"GABRD",0
"GAL3ST1",0
"GATA2",0
"GBX2",0
"GCAT",0
"GDF15",0
"GEMIN4",0
"GEMIN7",0
"GIT1",0
"GJA8",0
"GLRX",0
"GLUD2",0
"GNAI2",0
"GNB1",0
"GNB2",0
"GNL1",0
"GP9",0
"GPR20",0
"GRIK5",0
"GRIN3B",0
"GRM4",0
"GRN",0
"GSPT2",0
"GSTM1",0
"GTF2F1",0
"GTF2H4",0
"GUCA2B",0
"H2AFY",0
"HAMP",0
"HAND1",0
"HARS2",0
"HCFC1",0
"HCK",0
"HDAC3",0
"HECTD3",0
"HELT",0
"HINT1",0
"HIST1H2AA",0
"HIST1H2AC",0
"HK3",0
"HLA-G",0
"HMGN2",0
"HOMER3",0
"HOXC4",0
"HRAS",0
"HRK",0
"HSD17B1",0
"HSPB1",0
"HSPBP1",0
"HTR3A",0
"HTR4",0
"IER2",0
"IFI30",0
"IFIT2",0
"IFITM1",0
"IGF2R",0
"IGFALS",0
"IL13",0
"IL32",0
"IL6R",0
"IL7R",0
"INCENP",0
"INVS",0
"IRF2",0
"IRF2BP2",0
"ISYNA1",0
"ITGA2B",0
"ITGB4",0
"JOSD1",0
"KCNE1",0
