"node","cluster"
"HIST1H2BN",1
"HIST1H2AK",1
"UBL4B",2
"CDC34",2
"UBE2E3",2
"ZNRF3",2
"SP1",3
"NR1H3",3
"DYNC1I1",4
"DNAI2",4
"ARRB1",5
"CBL",5
"LDLR",5
"HLA-DRA",6
"PDCD1",6
"ALAS2",7
"GNMT",7
"UCHL1",8
"BCS1L",8
"KRT4",8
"CARD11",9
"NFKBIE",9
"ITIH3",10
"ASGR1",10
"CLEC1B",10
"CENPH",11
"MAD1L1",11
"PMF1",11
"CDT1",12
"LMNB2",12
"SAMM50",13
"DPEP1",13
"F2RL3",14
"CHRM1",14
"ACADS",0
"AMH",0
"ARHGAP10",0
"AVPR1B",0
"BRSK1",0
"CABP4",0
"CACNA1E",0
"CBLC",0
"CBX4",0
"CD79B",0
"CRTC2",0
"DGCR8",0
"DUX4",0
"EEF1D",0
"EPB42",0
"FBXL2",0
"FHL2",0
"GABBR2",0
"GSTZ1",0
"HBD",0
"HOXA2",0
"IDH3B",0
"IGLL1",0
"INHBE",0
"IRAK2",0
"KCNAB3",0
"KCNH6",0
"LAMB2",0
"LPA",0
"LRRC38",0
"LRRK1",0
"MPO",0
"MTG1",0
"OR1E1",0
"OR5C1",0
"OR7G1",0
"PCK2",0
"PELI3",0
"PLEKHG5",0
"POU2F1",0
"RAC3",0
"REM1",0
"RHPN1",0
"RILP",0
"RIMS2",0
"SLC17A7",0
"SNX17",0
"SPTBN2",0
"SPTBN4",0
"STK32A",0
"SUPT5H",0
"TBX4",0
"TGFB2",0
"TRPM1",0
"TRPV5",0
"TXNRD2",0
"USP37",0
"VDR",0
"ZNF593",0
