"node","cluster"
"ARRB1",1
"OR1J2",1
"OR7G1",1
"SPTBN2",2
"DYNC1I1",2
"HLA-DRA",2
"RILP",2
"SP1",3
"VDR",3
"CDC34",4
"UBE2E3",4
"ZNRF3",4
"CBL",5
"CBLC",5
"CARD11",6
"NFKBIE",6
"ITIH3",7
"TGFB2",7
"HIST1H2BN",8
"HIST1H2AK",8
"ACADS",0
"ALAS2",0
"AMH",0
"ARHGAP10",0
"ASGR1",0
"AVPR1B",0
"BCS1L",0
"BMPER",0
"BRSK1",0
"CABP4",0
"CACNA1E",0
"CBX4",0
"CD79B",0
"CDT1",0
"CENPH",0
"CHRM1",0
"CLEC1B",0
"CRTC2",0
"DGCR8",0
"DNAI2",0
"DPEP1",0
"DUX4",0
"EEF1D",0
"F2RL3",0
"FBXL2",0
"FHL2",0
"GABBR2",0
"GNMT",0
"GSTZ1",0
"HBD",0
"HOXA2",0
"IDH3B",0
"IGLL1",0
"INHBE",0
"IRAK2",0
"KCNAB3",0
"KCNH6",0
"KRT4",0
"LAMB2",0
"LDLR",0
"LPA",0
"LRRK1",0
"MAD1L1",0
"MPO",0
"MTG1",0
"MYO1A",0
"NR1H3",0
"OR1E1",0
"OR5C1",0
"PCK2",0
"PDCD1",0
"PELI3",0
"PLEKHG5",0
"PMF1",0
"POU2F1",0
"RAC3",0
"RETN",0
"RIMS2",0
"SAMM50",0
"SLC17A7",0
"SNX17",0
"SPTBN4",0
"STK32A",0
"SUPT5H",0
"TBX4",0
"TRPM1",0
"TRPV5",0
"TXNRD2",0
"UBL4B",0
"UCHL1",0
"USP37",0
"ZNF593",0
