"node","cluster"
"ARRB1",1
"OR1E1",1
"OR7G1",1
"OR5C1",1
"HIST1H2BN",2
"CENPH",2
"PMF1",2
"MAD1L1",2
"SP1",3
"NR1H3",3
"CBL",4
"CD79B",4
"DYNC1I1",5
"RILP",5
"SPTBN2",5
"HLA-DRA",5
"INHBE",6
"TGFB2",6
"BMPER",6
"AMH",6
"REM1",7
"LRRC38",7
"ALAS2",8
"GNMT",8
"RAC3",9
"ARHGAP10",9
"CHRM1",10
"F2RL3",10
"AVPR1B",10
"TXNRD2",11
"IDH3B",11
"EEF1D",12
"GSTZ1",12
"CDC34",13
"UBE2E3",13
"ACADS",-1
"ASGR1",-1
"BCS1L",-1
"BRSK1",-1
"CABP4",-1
"CACNA1E",-1
"CARD11",-1
"CBLC",-1
"CBX4",-1
"CDT1",-1
"CLEC1B",-1
"CRTC2",-1
"DGCR8",-1
"DNAI2",-1
"DPEP1",-1
"EPB42",-1
"FBXL2",-1
"FHL2",-1
"GABBR2",-1
"HBD",-1
"HIST1H2AK",-1
"HOXA2",-1
"IGLL1",-1
"IRAK2",-1
"ISLR2",-1
"ITIH3",-1
"ITIH5",-1
"KCNAB3",-1
"KCNH6",-1
"KIAA1549",-1
"KRT4",-1
"LAMB2",-1
"LDLR",-1
"LMNB2",-1
"LPA",-1
"LRRC24",-1
"LRRK1",-1
"MPO",-1
"MTG1",-1
"MYO1A",-1
"NFKBIE",-1
"OR1J2",-1
"PCK2",-1
"PDCD1",-1
"PELI3",-1
"PLEKHG5",-1
"POU2F1",-1
"RETN",-1
"RHPN1",-1
"RIMS2",-1
"SAMM50",-1
"SLC17A7",-1
"SNX17",-1
"SPTBN4",-1
"SUPT5H",-1
"TRPM1",-1
"TRPV5",-1
"UCHL1",-1
"USP37",-1
"VDR",-1
"ZNF593",-1
"ZNRF3",-1
