"ABCA4"	"ABCB11"	0.651
"ACADS"	"SAMM50"	0.581
"ALAS2"	"HBD"	0.258
"ALAS2"	"GNMT"	0.442
"ARRB1"	"GNMT"	1
"BCS1L"	"SAMM50"	0.647
"CBL"	"CD79B"	0.682
"CDC34"	"FBXL2"	0.305
"CHRM1"	"LAMB2"	0.023
"CHRM1"	"SP1"	0.068
"CHRM1"	"F2RL3"	0.692
"DYNC1I1"	"SPTBN2"	0.394
"DYNC1I1"	"RILP"	0.564
"IDH3B"	"PYCR1"	0.894
"IDH3B"	"SAMM50"	0.606
"IRAK2"	"PELI3"	1
"LDLR"	"SNX17"	0.667
"MYO1A"	"RAC3"	0.544
"POU2F1"	"SP1"	0.709
"POU2F1"	"VDR"	0.852
"PYCR1"	"SUPT5H"	0.472
"PYCR1"	"ADSSL1"	0.457
"RAC3"	"NRBP1"	0.444
"RAC3"	"CLEC1B"	1
"RAC3"	"PLEKHG5"	0.481
"RAC3"	"ARHGAP10"	1
"SPTBN2"	"SPTBN4"	0.506
"SPTBN2"	"RILP"	0.34
"UCHL1"	"HIST1H2BN"	0.675
"HIST1H2AK"	"HIST1H2BN"	0.828
"OR1E1"	"OR1J2"	1
"OR1E1"	"OR5C1"	1
"LY6D"	"ABCB11"	0.902
"MAP3K14"	"PELI3"	1
"TXNRD2"	"SAMM50"	0.583
"SLC35D2"	"B3GNT7"	0.927
"OR1J2"	"OR5C1"	1
"DGCR8"	"CDT1"	0.733
"PLEKHG5"	"ARHGAP10"	1
"CDT1"	"LMNB2"	0.519
"DERL3"	"SERINC5"	0.223
