"207163_s_at"	"201673_s_at"	"205480_s_at"
"212983_at"	"208992_s_at"	"208018_s_at"	"203010_at"	"208991_at"
"221798_x_at"	"200002_at"	"200717_x_at"	"200074_s_at"	"214317_x_at"	"200092_s_at"	"212044_s_at"	"200908_s_at"	"201429_s_at"	"200936_at"	"200022_at"	"217266_at"	"201492_s_at"	"200674_s_at"	"217670_at"	"213459_at"	"221475_s_at"	"214335_at"	"200926_at"	"222297_x_at"	"221476_s_at"	"214041_x_at"	"200834_s_at"	"213588_x_at"	"201033_x_at"	"217747_s_at"	"214097_at"	"212042_x_at"	"219138_at"	"208856_x_at"	"211720_x_at"	"200062_s_at"	"211972_x_at"	"214167_s_at"	"205541_s_at"	"200010_at"	"204330_s_at"	"213840_s_at"	"204331_s_at"	"210008_s_at"	"217980_s_at"	"200094_s_at"	"204102_s_at"	"201011_at"	"214940_s_at"	"220347_at"	"217716_s_at"	"212627_s_at"	"213648_at"	"218481_at"	"208674_x_at"	"208675_s_at"
"207113_s_at"	"204855_at"	"207844_at"
"216326_s_at"	"204898_at"	"200093_s_at"	"209352_s_at"	"203444_s_at"	"204899_s_at"	"39705_at"	"204900_x_at"	"207721_x_at"	"213963_s_at"	"208826_x_at"	"215071_s_at"
"202240_at"	"215822_x_at"	"204267_x_at"	"210341_at"
"214732_at"	"202586_at"	"202354_s_at"	"203577_at"	"211730_s_at"	"202355_s_at"	"218110_at"	"202356_s_at"	"208620_at"	"209381_x_at"	"207769_s_at"	"204031_s_at"	"201638_s_at"	"37462_i_at"	"209449_at"	"204559_s_at"	"213263_s_at"	"210499_s_at"	"221021_s_at"	"213264_at"	"214527_s_at"	"213517_at"
"206219_s_at"	"200744_s_at"	"212777_at"	"209881_s_at"	"212780_at"	"211005_at"	"220566_at"
"201851_at"	"206022_at"	"220118_at"	"205713_s_at"
"203872_at"	"206393_at"	"205693_at"	"205177_at"	"212082_s_at"	"204083_s_at"	"215389_s_at"	"205589_at"	"209742_s_at"	"212654_at"	"214002_at"	"205766_at"
"201694_s_at"	"206140_at"	"211219_s_at"	"201693_s_at"	"208449_s_at"	"206634_at"
"200782_at"	"202112_at"
"200746_s_at"	"200852_x_at"	"201040_at"	"210182_at"	"210234_at"	"213245_at"	"215996_at"	"200745_s_at"	"206001_at"	"209201_x_at"	"206390_x_at"	"215340_at"	"211919_s_at"	"215348_at"
"205312_at"	"203275_at"
"201393_s_at"	"216024_at"	"203388_at"	"211963_s_at"	"217817_at"	"203833_s_at"	"201392_s_at"	"202253_s_at"	"217818_s_at"	"201276_at"	"201140_s_at"	"201156_s_at"
"203663_s_at"	"201134_x_at"	"200883_at"	"201568_at"	"202839_s_at"	"208714_at"	"211407_at"	"212600_s_at"	"202004_x_at"	"210131_x_at"	"211752_s_at"	"215088_s_at"	"216591_s_at"	"209036_s_at"	"213333_at"
"204563_at"	"214049_x_at"	"206056_x_at"	"204581_at"	"205049_s_at"	"214551_s_at"	"217422_s_at"
"211928_at"	"212320_at"	"203660_s_at"	"217976_s_at"	"209026_x_at"	"202476_s_at"	"211714_x_at"	"209680_s_at"	"202477_s_at"
"216088_s_at"	"203396_at"	"202243_s_at"	"201252_at"	"212219_at"	"202244_at"	"201114_x_at"	"212220_at"	"212222_at"	"214062_x_at"	"214448_x_at"	"207535_s_at"	"209636_at"	"205205_at"	"211524_at"
"202580_x_at"	"221923_s_at"	"205129_at"	"200063_s_at"
"202621_at"	"208436_s_at"	"213293_s_at"	"214022_s_at"	"201641_at"	"217502_at"	"210514_x_at"	"201786_s_at"	"211528_x_at"
"202226_s_at"	"1438_at"	"203315_at"	"202224_at"
"205096_at"	"212315_s_at"	"212994_at"	"218848_at"	"212316_at"	"222122_s_at"	"213945_s_at"	"213947_s_at"
"205798_at"	"206813_at"	"205945_at"	"205723_at"	"217489_s_at"
"211432_s_at"	"214057_at"
"211431_s_at"	"214056_at"
"202225_at"	"204600_at"
"213108_at"	"206489_s_at"	"210750_s_at"	"207613_s_at"
"220427_at"	"203175_at"	"212651_at"	"221789_x_at"	"218076_s_at"	"222131_x_at"
"208291_s_at"	"206793_at"	"208817_at"	"206450_at"	"208818_s_at"	"213981_at"	"216204_at"
"41657_at"	"215497_s_at"
"204292_x_at"	"40829_at"
"200798_x_at"	"204493_at"	"1861_at"	"211725_s_at"
"210560_at"	"221990_at"	"214528_s_at"
"209941_at"	"213061_s_at"	"213062_at"
"217873_at"	"213812_s_at"
"218906_x_at"	"203850_s_at"
"200797_s_at"	"209364_at"
"210358_x_at"	"204039_at"
"210982_s_at"	"211530_x_at"
"200600_at"	"209830_s_at"
"206737_at"	"219330_at"
"218632_at"	"222058_at"	"218555_at"	"217865_at"
"208894_at"	"211529_x_at"
"200796_s_at"	"211163_s_at"
"219085_s_at"	"205527_s_at"	"217099_s_at"	"220035_at"
"214933_at"	"205845_at"
"216939_s_at"	"217002_s_at"
"206834_at"	"217683_at"	"220807_at"	"206647_at"	"205919_at"
"221505_at"	"201541_s_at"	"208103_s_at"	"207168_s_at"	"214500_at"
"202175_at"	"35179_at"	"202012_s_at"	"203452_at"	"202013_s_at"
"202108_at"	"209252_at"
"211630_s_at"	"217752_s_at"	"203925_at"	"201415_at"
"207578_s_at"	"216615_s_at"
"219098_at"	"203937_s_at"	"208445_s_at"
"214023_x_at"	"213563_s_at"	"207682_s_at"
"204696_s_at"	"201897_s_at"
"213384_x_at"	"210388_at"	"205125_at"	"204046_at"
"205237_at"	"206380_s_at"
"207282_s_at"	"202400_s_at"
"210150_s_at"	"214292_at"
"221539_at"	"201935_s_at"
"38521_at"	"207641_at"
"215794_x_at"	"210045_at"
"208457_at"	"205952_at"
"201390_s_at"	"215188_at"
"210447_at"	"210046_s_at"
"214370_at"	"205863_at"
"210333_at"	"211201_at"
"203938_s_at"	"211313_s_at"
"211783_s_at"	"217862_at"
"207577_at"	"210382_at"	"214510_at"	"220538_at"
"215735_s_at"	"212252_at"
"217864_s_at"	"216038_x_at"
"206213_at"	"213707_s_at"
"202401_s_at"	"213345_at"
"208514_at"	"221321_s_at"
"203591_s_at"	"211831_s_at"
"212667_at"	"203683_s_at"
"221577_x_at"	"209263_x_at"
"221576_at"	"209264_s_at"
"207772_s_at"	"217786_at"
"219708_at"	"204077_x_at"
"220331_at"	"202245_at"
"202460_s_at"	"215535_s_at"
"202459_s_at"	"32836_at"
"210314_x_at"	"204352_at"
"217395_at"	"204326_x_at"
"204408_at"	"202330_s_at"
"204144_s_at"	"205873_at"	"213889_at"
