"cluster"	"node"
1	"WNT10B,WNT11,WNT3"
2	"BATF,CEBPA,DBP"
3	"ADAR,NONO,NPM1,PCBP1,PSMB4,RPL11,RPL35,RPS2"
4	"DDOST,RNF149,RPL11,RPL13A,RPL35,RPL4,RPL8,RPS2,RPS9"
5	"ASNA1,EEF2,EIF5A,ISYNA1,MDH2,PCBP1,PPIB,RPS2,RPS9"
6	"AGPAT1,EIF5A,GNB1,MARS,RPN1,TUBB"
7	"CKS1B,DDOST,EEF2,EIF4A2,EIF4G3,EXOSC3,EXOSC5,GNL1,GSPT2,KPNA6,MARS,MUS81,P2RY11,PDCL3,PLK1,PPAN,PSMA4,PYCR2,RPL4,SURF4,THOC2"
8	"DDOST,GNAI2,MUS81,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,RPL11,RPN1,RRM2,SLC44A4,UGP2"
9	"CKS1B,DDOST,HDAC3,KHSRP,MUS81,MYBBP1A,PAF1,POLR2L,PPIB,RPL4,SET,SIN3B,SMARCD3"
10	"DDOST,EIF5A,EMD,HDAC3,LSM2,MTA1,MYL6,RPL35,SEC61A1,TUBB"
11	"ACTA1,ASNA1,EEF1G,EIF4A2,LSM2,MRPS24,PFDN1,PFDN2,PRMT5,PSMA4,RPL11,RPL14,RPL15,RPL18,RPL27A,RPL32,RPL35,RPL36AL,RPL37,RPL4,RPL7,RPLP0,RPLP2,RPS23,SH3GL1,TIMM13,TUBB2B"
12	"AKT1,CSNK2B,DDOST,EIF4G3,EIF5A,PPP2R5A,PSMA4,PSMA7,PSMC4,RPL7,RPLP2,SET"
13	"KIFC1,MARS,MRPL16,NUBP2,NUDC,PFDN1,PSMA4,PSMB4,RPL36AL,RPL8,TIMM13,UBE2R2"
14	"ARPC1B,CENPH,CSNK2B,DDOST,DNAJC9,EEF2,EIF4A2,EIF5A,GNL1,HARS2,HDAC3,INCENP,KIFC1,MARS,MYBBP1A,NUDC,P2RY11,PLK1,PPAN,PPIB,PSMA4,RANGAP1,RPL11,RPL13A,RPL14,RPL15,RPL27A,RPL37A,RPL7,RPS9,RRM2,TIMM13,TUBB"
15	"CKS1B,DDOST,EEF2,EIF5A,FAU,GNB2,GSPT2,GTF2F1,GTF2H4,LSM2,LSM7,MARS,MRPL16,MUS81,NONO,P2RY11,PDCL3,PGK1,POLR2J2,POLR2L,PPAN,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL27A,RPL30,RPL32,RPL35,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS23,RPS9,TIMM13,TRAPPC5,ZBED1"
16	"ALAS2,CYGB,HBD,HBE1,HBQ1,HBZ"
17	"EMD,FATE1,NDUFB11,PRRG2"
18	"CNTFR,CTF1,IL6R,SOS1"
19	"ASL,ATP6V1F,COX5A,DDOST,EEF2,GLUD2,GNB2,IDH2,MDH2,PGK1,PSMA4,PSMA7,PSMB4,PSMC4,RRM2,SDHC"
20	"ATP6V1F,CSNK2B,DYNC1H1,EEF2,ENTPD4,PGK1,POLR2L,POR,PPIB,RAB5B,RABAC1,RPN1,SEC61A1,SIN3B,SURF4,TRAPPC5,UGP2"
21	"ASNA1,DNM2,EXOSC3,EXOSC5,EXOSC7,FRG1,FTL,MPHOSPH6,MTA2,PSMB4,TBCA"
22	"ACTN4,AP2A1,CAMK2A,CD22,EPN3,PIP5K1C"
23	"ADCY1,CXCR4,GRM4,NPW,NPY,RGS14"
24	"BAD,EIF4EBP1,PIM2,SOCS1"
25	"DAXX,HRAS,PIAS1,TNK2,TP73"
26	"ALOX5AP,ANXA11,HLA-DRA,S100A6"
27	"ANAPC2,CDC25A,CSNK2B,HCFC1,INVS,NONO,PCGF6"
28	"CLPP,MRPL16,MRPL17,MRPL21,MRPL52,MRPS12,MRPS24,NDUFB10,NPM1,PSMA7,PSMB4,RPL14,RPL18,RPL32,RPL8,RPLP2,RPS2"
29	"DGCR6,IL32,NQO2,RELB"
30	"CSNK1E,DNAJC9,GABARAP,GLUD2,GYS1,MDH2,SLC44A4,UGP2"
31	"COMT,DBH,PNMT,TH"
32	"ACTA1,CHRNG,LAMA5,RAPSN,TMSB4Y"
33	"ANAPC2,ASNA1,CPSF1,CSNK1E,CSNK2B,DDX11,EEF1G,HDAC3,KLHDC3,MTA1,PCGF6,PHC1,PRMT5,PSMA4,PSMC4,SMARCD3,SMG6"
34	"NDRG2,PPIB,PSMC4,RAB11B,RAB5B,RAB5C,RABAC1,RPL4,RPLP2,SNX15,SURF4,TMEM115,TNIP1,TRAPPC5,TXN2"
35	"CSK,EPHB3,HCK,ILKAP,LIMK2,PIM2,RIPK1,SRMS,STK11,TYRO3"
36	"ARHGAP17,ARHGAP9,ARHGEF16,CRK,CSK,FGD3,RHOBTB1,RHOG,RHOT2,SOS1"
37	"PLAUR,PLP2,TBCA,VTN"
38	"COMT,CSNK2B,FHIT,HINT1,MDH2"
39	"ARF1,ARFRP1,BET1L,CTSL,GNB1,PIP5K1C,RELB"
40	"IRF3,IRF7,NFKBIB,RIPK1,TNF,TRAF5,TRPC4AP,TUBB,UBE2V1,USP2"
41	"CDC25A,CKS1B,CPSF1,CSNK1E,NPM1,NUDC,PKMYT1,PPAN,PSMA4,PSMA7,PSMB4,PSMC4,RRM2"
42	"CHTF18,CKS1B,CPSF1,DDOST,DDX11,DNAJC9,EIF5A,INCENP,KIFC1,MUS81,MYBBP1A,PCBP1,PCBP2,POLR2L,PPAN,PPIB,PRMT5,PSMA4,PSMA7,PSMC4,RPL11,RPL18,RPL4,RPLP0,RPLP2,RPN1,RPS9,RRM2,SH3GL1,TBCA,TRAPPC5,TUBB,TUBGCP2"
43	"BID,CAMK2A,EEF2,GABARAP,GEMIN4,HSPB1,LIMD1,NPM1,PSMA7,PSMB4,RIPK1,RPL37,SQSTM1,STAT5A,TNK2"
44	"DNAJC9,DPH5,EEF2,EIF4A2,EXOSC7,FTSJ3,GNL1,GSPT2,HIST1H2AA,HIST1H2AC,MARS,PPAN,PPIB,PRMT5,PRMT8,PSMA4,PSMC4,PYCR2,RPL11,RPL13A,RPL14,RPL15,RPL18,RPL27A,RPL32,RPL36AL,RPL37A,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPS2,RPS23,RPS9,SET,TIMM13"
45	"AKT1,BAD,BBC3,BID,HRK,MCL1,STAT3,STAT5A"
46	"ACTA2,ARPC1B,ARPC5,HDAC3,KLF6,MEF2D,MYOG,PGK1,PRMT5,RPLP2,SRF"
47	"ACTA1,ACTA2,ACTN4,DYNC1H1,MYL2,MYL3,NONO,TCAP,TNNI1,TNNI2,TNNT2,TNNT3,TPM2"
48	"CD22,CD7,DAXX,SIGLEC1,SPN"
49	"ABCA7,ATXN7L3,DYRK1B,PDXP,RAB5B,RAB5C,SH3BP1,UBL5,USP22"
50	"AP2A1,ARF1,CD72,CSK,DDOST,DYNC1H1,HLA-DRB1,MSN,OSBPL1A"
51	"AKT1,CPSF1,EXOSC3,EXOSC5,EXOSC7,KHSRP,NONO,NUDC,PCBP2,RRM2,SET,XAB2,ZFP36L1"
