"entrez1","entrez2"
"43","815"
"43","9421"
"54","968"
"58","59"
"58","81"
"58","207"
"58","375"
"58","1445"
"58","1650"
"58","1938"
"58","1974"
"58","1984"
"58","3315"
"58","3911"
"58","5201"
"58","5230"
"58","5913"
"58","6124"
"58","6175"
"58","6181"
"58","6203"
"58","7114"
"58","7135"
"58","7136"
"58","7169"
"58","9087"
"58","23708"
"58","56259"
"58","203068"
"58","221613"
"58","347733"
"59","81"
"59","1316"
"59","1938"
"59","1984"
"59","3315"
"59","5230"
"59","6124"
"59","6129"
"59","6175"
"59","6181"
"59","6203"
"59","6228"
"59","6722"
"59","7114"
"59","7169"
"59","9045"
"59","10095"
"59","23708"
"59","29920"
"59","203068"
"59","347733"
"81","160"
"81","207"
"81","815"
"81","1445"
"81","1460"
"81","1785"
"81","1938"
"81","2197"
"81","2782"
"81","2783"
"81","4191"
"81","4478"
"81","4637"
"81","5196"
"81","5230"
"81","5878"
"81","6124"
"81","6129"
"81","6132"
"81","6157"
"81","6181"
"81","6184"
"81","6418"
"81","6678"
"81","7114"
"81","7136"
"81","7140"
"81","7169"
"81","7249"
"81","7423"
"81","7450"
"81","9351"
"81","10095"
"81","10612"
"81","23521"
"81","203068"
"103","1958"
"103","3433"
"103","3660"
"103","3661"
"103","3665"
"103","4841"
"103","4869"
"103","5093"
"103","5692"
"103","6135"
"103","6187"
"103","11224"
"107","2492"
"107","2771"
"107","2783"
"107","2914"
"107","3265"
"107","3360"
"107","4852"
"107","6344"
"107","7852"
"107","79924"
"107","283869"
"160","409"
"160","815"
"160","933"
"160","1398"
"160","1460"
"160","1785"
"160","1938"
"160","1984"
"160","3123"
"160","5533"
"160","5869"
"160","5878"
"160","6184"
"160","6203"
"160","9230"
"160","23396"
"160","23521"
"160","51411"
"160","55040"
"207","375"
"207","409"
"207","572"
"207","677"
"207","815"
"207","1398"
"207","1445"
"207","1650"
"207","1938"
"207","1958"
"207","1978"
"207","2305"
"207","2314"
"207","2624"
"207","2771"
"207","2783"
"207","2997"
"207","3265"
"207","3315"
"207","3661"
"207","3674"
"207","3691"
"207","4170"
"207","4209"
"207","4478"
"207","4841"
"207","4869"
"207","5093"
"207","5268"
"207","5347"
"207","5525"
"207","5688"
"207","5692"
"207","5704"
"207","6129"
"207","6187"
"207","6203"
"207","6391"
"207","6654"
"207","6768"
"207","6774"
"207","6776"
"207","6794"
"207","7124"
"207","7169"
"207","7249"
"207","8440"
"207","8554"
"207","8570"
"207","8841"
"207","8877"
"207","10726"
"207","51177"
"207","84958"
"207","91608"
"207","203068"
"212","1757"
"212","4047"
"212","4191"
"212","4723"
"212","51024"
"241","963"
"241","968"
"241","3123"
"241","5355"
"241","6277"
"241","6916"
"241","7940"
"241","8673"
"259","973"
"308","1938"
"308","4478"
"308","5230"
"308","5479"
"308","10491"
"311","3122"
"311","6277"
"333","1363"
"333","7425"
"375","439"
"375","1163"
"375","1460"
"375","1514"
"375","1650"
"375","1778"
"375","1937"
"375","1938"
"375","1974"
"375","1984"
"375","2197"
"375","2782"
"375","2783"
"375","3123"
"375","3265"
"375","4478"
"375","4869"
"375","5093"
"375","5230"
"375","5347"
"375","5479"
"375","5533"
"375","5685"
"375","5688"
"375","5692"
"375","5704"
"375","5869"
"375","5878"
"375","6124"
"375","6132"
"375","6135"
"375","6138"
"375","6141"
"375","6156"
"375","6157"
"375","6161"
"375","6166"
"375","6167"
"375","6175"
"375","6181"
"375","6184"
"375","6187"
"375","6203"
"375","6228"
"375","6836"
"375","7385"
"375","9045"
"375","9230"
"375","10139"
"375","11224"
"375","23016"
"375","23396"
"375","23521"
"375","23708"
"375","29920"
"375","29927"
"375","51160"
"375","51272"
"375","51719"
"375","56342"
"375","60682"
"375","126003"
"375","203068"
"391","1445"
"391","1535"
"391","2771"
"391","3055"
"391","6654"
"391","6688"
"391","6774"
"391","7409"
"391","8428"
"391","9886"
"391","27237"
"391","55114"
"391","64333"
"391","89846"
"391","89941"
"407","409"
"407","2492"
"407","7852"
"409","1445"
"409","1778"
"409","1938"
"409","3055"
"409","4637"
"409","4841"
"409","5878"
"409","5905"
"409","6124"
"409","6129"
"409","6135"
"409","6141"
"409","6175"
"409","6181"
"409","7852"
"409","8241"
"409","9045"
"409","10726"
"409","11224"
"409","55114"
"434","50848"
"435","1650"
"435","2747"
"435","2783"
"435","5479"
"435","6124"
"435","6181"
"439","1460"
"439","1892"
"439","1937"
"439","1938"
"439","1984"
"439","2771"
"439","2782"
"439","2783"
"439","2968"
"439","3094"
"439","4141"
"439","4723"
"439","4841"
"439","5032"
"439","5093"
"439","5201"
"439","5441"
"439","5479"
"439","5685"
"439","5688"
"439","5692"
"439","5704"
"439","6124"
"439","6181"
"439","6183"
"439","6203"
"439","8078"
"439","8192"
"439","9189"
"439","9296"
"439","10200"
"439","10726"
"439","11224"
"439","11337"
"439","23640"
"439","23708"
"439","25828"
"439","26517"
"439","29927"
"439","51024"
"439","51477"
"439","56342"
"439","56915"
"439","56949"
"439","57819"
"439","80198"
"439","90522"
"439","116138"
"439","126003"
"439","203068"
"516","517"
"516","1350"
"516","1678"
"516","1892"
"516","1984"
"516","3418"
"516","4191"
"516","4696"
"516","4713"
"516","4716"
"516","4723"
"516","6183"
"516","6391"
"516","7385"
"516","9167"
"516","9377"
"516","9556"
"516","25828"
"516","26517"
"516","27089"
"516","54539"
"516","54948"
"516","63875"
"516","131474"
"517","1350"
"517","1984"
"517","4191"
"517","4713"
"517","4716"
"517","4723"
"517","6183"
"517","6391"
"517","7385"
"517","8241"
"517","9167"
"517","9377"
"517","26517"
"517","27089"
"517","54539"
"517","54948"
"537","3482"
"537","3916"
"537","9296"
