topology,subject,time(s),memory(mb)
inet,cad,25.46784,1490.353
inet,cad,25.73915,1466.700904
inet,cad,30.43694,1766.61104
inet,cad,30.33009,1700.193328
inet,cad,26.27105,1479.91952
inet,cad,27.5381,1556.822416
inet,cad,29.98486,1692.115624
inet,cad,27.269,1589.582512
inet,cad,34.27663,2074.980448
inet,cad,28.88858,1691.662336
inet,cad,26.14829,1519.522568
inet,cad,31.56115,1835.223392
inet,cad,29.26064,1671.35644
inet,cad,24.73456,1512.907432
inet,cad,29.40408,1590.614504
,cad Result,28.4873973333333,1642.57103093333
inet,mets,0.74256,1.07944
inet,mets,0.78753,1.182848
inet,mets,0.75918,0.772592
inet,mets,0.80352,0.911616
inet,mets,0.82642,1.062064
inet,mets,0.9127,0.772592
inet,mets,0.7113,0.851224
inet,mets,0.94693,1.182848
inet,mets,0.70765,0.772592
inet,mets,0.83898,0.990248
inet,mets,0.70782,0.94128
inet,mets,0.82105,0.81148
inet,mets,0.78361,0.975992
inet,mets,0.86165,0.990248
inet,mets,0.74211,0.81148
,mets Result,0.796867333333333,0.9405696
inet,t2d,1.15702,4.45988
inet,t2d,2.23283,4.61136
inet,t2d,1.1526,5.58468
inet,t2d,1.18251,4.654992
inet,t2d,1.03191,4.070864
inet,t2d,1.08761,4.517496
inet,t2d,1.01958,4.216464
inet,t2d,1.10269,4.124528
inet,t2d,1.15844,5.036488
inet,t2d,1.22287,5.096792
inet,t2d,1.167,3.66232
inet,t2d,1.06546,4.98276
inet,t2d,1.08325,4.589624
inet,t2d,1.27914,4.700832
inet,t2d,1.08324,4.735872
,t2d Result,1.20174333333333,4.6029968
string,cad,40.59044,2571.45776
string,cad,41.33321,2330.432984
string,cad,41.56336,2463.649256
string,cad,35.56903,2216.524544
string,cad,36.67946,2306.897008
string,cad,40.67096,2394.103944
string,cad,31.94449,2193.916688
string,cad,30.65351,1903.22
string,cad,35.38376,2226.91064
string,cad,39.93416,2460.458536
string,cad,35.77069,2183.975968
string,cad,37.28832,2284.081944
string,cad,39.07565,2336.681832
string,cad,35.79348,2199.172656
string,cad,38.87264,2406.250184
,cad Result,37.4082106666667,2298.51559626667
string,mets,0.35821,1.302504
string,mets,0.21802,0.888376
string,mets,0.26826,1.121048
string,mets,0.28517,1.302504
string,mets,0.24577,1.02404
string,mets,0.22404,0.971648
string,mets,0.23856,1.215752
string,mets,0.23443,0.963648
string,mets,0.22444,0.971648
string,mets,0.28268,1.498912
string,mets,0.27808,1.110752
string,mets,0.28074,1.244824
string,mets,0.32571,1.715896
string,mets,0.26503,1.283264
string,mets,0.30375,1.182728
,mets Result,0.268859333333333,1.18650293333333
string,t2d,1.26549,15.628984
string,t2d,1.10983,18.383664
string,t2d,1.26825,21.11456
string,t2d,1.12994,14.501216
string,t2d,1.28204,19.119728
string,t2d,1.26118,22.571928
string,t2d,1.03769,13.152648
string,t2d,1.16281,19.1954
string,t2d,1.13965,20.342832
string,t2d,1.46554,23.168232
string,t2d,1.09956,15.816104
string,t2d,1.27521,22.705632
string,t2d,1.26509,20.842864
string,t2d,1.21317,20.11408
string,t2d,1.21786,21.033728
,t2d Result,1.21288733333333,19.17944
