Sample;Group
GSM988950;Resistant
GSM988951;Resistant
GSM988952;Resistant
GSM988953;Resistant
GSM988954;Resistant
GSM988955;Resistant
GSM988956;Resistant
GSM988957;Sensitive
GSM988958;Sensitive
GSM988959;Resistant
GSM988960;Sensitive
GSM988961;Resistant
GSM988962;Sensitive
GSM988963;Resistant
GSM988964;Sensitive
GSM988965;Sensitive
GSM988966;Resistant
GSM988967;Sensitive
GSM988968;Sensitive
GSM988969;Resistant
GSM988970;Resistant
GSM988971;Sensitive
GSM988972;Resistant
GSM988973;Sensitive
GSM988974;Sensitive
GSM988975;Resistant
GSM988976;Sensitive
GSM988977;Sensitive
GSM988978;Sensitive
GSM988979;Resistant
GSM988980;Resistant
GSM988981;Sensitive
GSM988982;Resistant
GSM988983;Resistant
GSM988984;Resistant
GSM988985;Sensitive
GSM988986;Resistant
GSM988987;Sensitive
GSM988988;Resistant
GSM988989;Sensitive
GSM988990;Resistant
GSM988991;Sensitive
GSM988992;Sensitive
GSM988993;Sensitive
GSM988994;Resistant
GSM988995;Resistant
GSM988996;Sensitive
GSM988997;Sensitive
GSM988998;Sensitive
GSM988999;Sensitive
GSM989000;Resistant
GSM989001;Resistant
GSM989002;Sensitive
GSM989003;Sensitive
GSM989004;Sensitive
GSM989005;Resistant
GSM989006;Resistant
GSM989007;Resistant
GSM989008;Resistant
GSM989009;Resistant
GSM989010;Resistant
GSM989011;Resistant
